-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.15.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total Constraints in utilisation","Total in use"
"ANDAMAN & NICOBARS","NICOBAR",6,0,0,0,0,0,6
"ANDHRA PRADESH","ADILABAD",21572,0,0,2913,0,2913,24485
"ANDHRA PRADESH","ANANTHAPUR",9847,867,94,23556,504,25021,34868
"ANDHRA PRADESH","CHITTOOR",37684,4976,205,50330,414,55925,93609
"ANDHRA PRADESH","CUDDAPAH",3501,861,77,14844,278,16060,19561
"ANDHRA PRADESH","EAST GODAVARI",1456,197,276,55,6,534,1990
"ANDHRA PRADESH","GUNTUR",10269,704,76,525,296,1601,11870
"ANDHRA PRADESH","KARIMNAGAR",99640,2441,853,50286,42779,96359,195999
"ANDHRA PRADESH","KHAMMAM",23274,2,0,10755,0,10757,34031
"ANDHRA PRADESH","KRISHNA",9632,712,411,2097,1273,4493,14125
"ANDHRA PRADESH","KURNOOL",18095,1017,223,9440,283,10963,29058
"ANDHRA PRADESH","MAHABOOBNAGAR",18711,780,88,22821,240,23929,42640
"ANDHRA PRADESH","MEDAK",6487,2235,55,19827,0,22117,28604
"ANDHRA PRADESH","NALGONDA",31708,2844,418,53866,603,57731,89439
"ANDHRA PRADESH","NELLORE",18911,228,32,9356,297,9913,28824
"ANDHRA PRADESH","NIZAMABAD",12028,1487,11,15,129,1642,13670
"ANDHRA PRADESH","PRAKASAM",1218,0,0,17112,0,17112,18330
"ANDHRA PRADESH","RANGAREDDY",6299,1198,58,12503,112,13871,20170
"ANDHRA PRADESH","SRIKAKULAM",18338,46,206,14438,768,15458,33796
"ANDHRA PRADESH","VISAKHAPATNAM",9692,485,8795,3625,37,12942,22634
"ANDHRA PRADESH","VIZIANAGARAM",9482,1196,39,17451,1495,20181,29663
"ANDHRA PRADESH","WARANGAL",109399,0,0,39902,0,39902,149301
"ANDHRA PRADESH","WEST GODAVARI",8406,513,16,586,205,1320,9726
"ARUNACHAL PRADESH","CHANGLANG",0,1,0,0,0,1,1
"ARUNACHAL PRADESH","EAST SIANG",1,0,0,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",2,0,0,0,0,0,2
"ASSAM","BARPETA",23,0,0,0,0,0,23
"ASSAM","CACHAR",0,0,0,1,0,1,1
"ASSAM","DHUBRI",1,0,0,0,13,13,14
"ASSAM","GOALPARA",7,3,2,2,4,11,18
"ASSAM","JORHAT",0,7,1,0,2,10,10
"ASSAM","KOKRAJHAR",3,0,0,0,1,1,4
"ASSAM","LAKHIMPUR",37,0,0,1,13,14,51
"ASSAM","MORIGAON",17,0,0,0,0,0,17
"ASSAM","NAGOAN",1,0,0,0,0,0,1
"ASSAM","SIBSAGAR",0,0,0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0,0,0
"BIHAR","AURANGABAD",3,484,1083,2774,415,4756,4759
"BIHAR","BANKA",1152,46,656,5590,193,6485,7637
"BIHAR","BHAGALPUR",1933,43,55,2361,339,2798,4731
"BIHAR","BHOJPUR",1017,32,95,134,360,621,1638
"BIHAR","BUXAR",1,22,0,130,196,348,349
"BIHAR","EAST CHAMPARAN",4,18,0,0,0,18,22
"BIHAR","GAYA",0,770,2667,3212,9699,16348,16348
"BIHAR","GOPAALGANJ",0,26,89,94,141,350,350
"BIHAR","JAMUI",4333,142,262,3491,392,4287,8620
"BIHAR","JEHANABAD",129,221,631,883,160,1895,2024
"BIHAR","KAIMUR (BHABUA)",2938,1508,1006,1854,169,4537,7475
"BIHAR","KATIHAR",0,0,0,0,8,8,8
"BIHAR","LAKHISARAI",0,36,30,251,765,1082,1082
"BIHAR","MADHEPURA",0,0,0,0,0,0,0
"BIHAR","MADHUBANI",7,0,11,15,82,108,115
"BIHAR","MUNGER",1272,33,26,1840,183,2082,3354
"BIHAR","MUZAFFARPUR",0,0,16,2,2,20,20
"BIHAR","NALANDA",12207,1509,2715,1520,31,5775,17982
"BIHAR","NAWADA",0,170,210,2261,129,2770,2770
"BIHAR","PATNA",0,2955,394,26,0,3375,3375
"BIHAR","ROHTAS(SASARAM)",1555,847,324,1268,786,3225,4780
"BIHAR","SARAN",204,1,317,855,98,1271,1475
"BIHAR","SHEKHPURA",110,4,80,277,80,441,551
"BIHAR","SIWAN",0,1,12,70,800,883,883
"BIHAR","VAISHALI",593,58,65,122,69,314,907
"CHHATTISGARH","BASTER",4,18,2,753,2452,3225,3229
"CHHATTISGARH","BILASPUR",2138,33,12,54,7645,7744,9882
"CHHATTISGARH","DANTEWADA",4,8,0,228,289,525,529
"CHHATTISGARH","DHAMTARI",165,7,20,1845,2641,4513,4678
"CHHATTISGARH","DURG",19,43,38,1879,2812,4772,4791
"CHHATTISGARH","JANJGIR-CHAMPA",1882,5,3,70,10576,10654,12536
"CHHATTISGARH","JASHPUR",2066,73,14,1624,22340,24051,26117
"CHHATTISGARH","KANKER",101,21,25,890,2543,3479,3580
"CHHATTISGARH","KORBA",1581,60,4,193,5053,5310,6891
"CHHATTISGARH","KORIA",2053,52,7,3012,13136,16207,18260
"CHHATTISGARH","KVARDHA",0,102,21,87,574,784,784
"CHHATTISGARH","MAHASAMUND",24,177,6,1091,2351,3625,3649
"CHHATTISGARH","RAIGARH",1547,36,4,463,13337,13840,15387
"CHHATTISGARH","RAIPUR",157,77,44,1373,9918,11412,11569
"CHHATTISGARH","RAJNANDGAON",473,38,1,715,3741,4495,4968
"CHHATTISGARH","SURGUJA",10031,117,27,3425,41919,45488,55519
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",572,0,0,0,0,0,572
"GOA","NORTH GOA",2081,95,75,469,959,1598,3679
"GOA","SOUTH GOA",1010,25,18,115,186,344,1354
"GUJARAT","AHMEDABAD",49,440,87,1476,354,2357,2406
"GUJARAT","AMRELI",0,0,0,31418,0,31418,31418
"GUJARAT","ANAND",43,6,0,0,1509,1515,1558
"GUJARAT","BANASKANTHA",155,2341,2878,13191,24255,42665,42820
"GUJARAT","BHARUCH",1123,1258,13,75,1504,2850,3973
"GUJARAT","BHAVNAGAR",0,0,0,102769,0,102769,102769
"GUJARAT","DAHOD",145,37,102,30929,95,31163,31308
"GUJARAT","DANG",0,1,2,1237,0,1240,1240
"GUJARAT","GANDHINAGAR",0,0,0,0,0,0,0
"GUJARAT","JAMNAGAR",0,0,0,0,82941,82941,82941
"GUJARAT","JUNAGADH",12,7,31,106168,27386,133592,133604
"GUJARAT","KACHCHH",17096,1182,52,1016,2886,5136,22232
"GUJARAT","KHEDA",0,1759,0,7421,7,9187,9187
"GUJARAT","MEHSANA",85,63,28,1169,1534,2794,2879
"GUJARAT","NARMADA",60,34,65,116,2135,2350,2410
"GUJARAT","NAVSARI",2159,3266,16,4321,2744,10347,12506
"GUJARAT","PANCHMAHAL",6,2,29,37337,55,37423,37429
"GUJARAT","PATAN",0,24,0,49,16,89,89
"GUJARAT","PORBANDAR",1,1,31,11630,0,11662,11663
"GUJARAT","RAJKOT",268,398,11267,19927,17331,48923,49191
"GUJARAT","SABARKANTHA",0,1770,80,68363,13918,84131,84131
"GUJARAT","SURAT",2,0,0,2191,18930,21121,21123
"GUJARAT","SURENDRANAGAR",962,377,2812,10876,1699,15764,16726
"GUJARAT","VADODARA",8320,2485,55,4677,2289,9506,17826
"GUJARAT","VALSAD",4368,50,38,3893,120,4101,8469
"HARYANA","AMBALA",0,159,69,0,118,346,346
"HARYANA","BHIWANI",0,442,38,134,2317,2931,2931
"HARYANA","FATEHABAD",0,0,1,0,66,67,67
"HARYANA","GURGAON",0,44,7,29,1969,2049,2049
"HARYANA","HISSAR",0,0,0,0,104,104,104
"HARYANA","JHAJJAR",0,0,0,185,1269,1454,1454
"HARYANA","KAITHAL",0,0,0,0,732,732,732
"HARYANA","KARNAL",0,146,0,0,1434,1580,1580
"HARYANA","MAHENDRAGARH",0,32,0,22,549,603,603
"HARYANA","PANCHKULA",0,3,0,0,87,90,90
"HARYANA","PANIPAT",0,41,0,0,644,685,685
"HARYANA","REWARI",0,16,9,1,479,505,505
"HARYANA","ROHTAK",0,0,91,0,84,175,175
"HARYANA","SIRSA",0,50,25,37,644,756,756
"HARYANA","SONEPAT",0,44,2,3,1552,1601,1601
"HARYANA","YAMUNANAGAR",0,191,111,33,263,598,598
"HIMACHAL PRADESH","Bilaspur",34,1,0,0,0,1,35
"HIMACHAL PRADESH","Hamirpur",221,0,0,0,0,0,221
"HIMACHAL PRADESH","Kangra",144,0,2,109,1,112,256
"HIMACHAL PRADESH","Kullu",0,0,0,2,0,2,2
"HIMACHAL PRADESH","Mandi",8,0,0,1,0,1,9
"HIMACHAL PRADESH","Sirmaur",113,0,0,15,266,281,394
"HIMACHAL PRADESH","Solan",299,12,32,104,295,443,742
"HIMACHAL PRADESH","Una",204,0,0,0,23,23,227
"JAMMU & KASHMIR","ANANTNAG",0,0,0,1,1,2,2
"JAMMU & KASHMIR","BADGAM",1,0,0,0,0,0,1
"JAMMU & KASHMIR","BARAMULLA",26,0,0,2,1,3,29
"JAMMU & KASHMIR","JAMMU",948,62,9,188,106,365,1313
"JAMMU & KASHMIR","KATHUA",913,61,0,27,82,170,1083
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",18,0,0,3,0,3,21
"JAMMU & KASHMIR","UDHAMPUR",9,0,0,1,3,4,13
"JHARKHAND","BOKARO",0,0,0,13299,0,13299,13299
"JHARKHAND","CHATRA",0,71,12,13834,28,13945,13945
"JHARKHAND","DEOGHAR",30,45,228,12034,304,12611,12641
"JHARKHAND","DHANBAD",0,8,41,5521,101,5671,5671
"JHARKHAND","DUMKA",3,466,122,24862,357,25807,25810
"JHARKHAND","EAST SINGHBHUM",0,0,0,1290,0,1290,1290
"JHARKHAND","GARHWA",0,45,127,18618,112,18902,18902
"JHARKHAND","GIRIDIH",5,98,86,22391,107,22682,22687
"JHARKHAND","GODDA",0,17,189,16710,99,17015,17015
"JHARKHAND","GUMLA",32,303,9,22284,313,22909,22941
"JHARKHAND","HAZARIBAGH",0,28,316,38564,455,39363,39363
"JHARKHAND","JAMTARA",4,54,43,7966,89,8152,8156
"JHARKHAND","KODERMA",0,1,0,3833,0,3834,3834
"JHARKHAND","LATEHAR",2,153,94,11006,611,11864,11866
"JHARKHAND","LOHARDAGA",2,378,29,12280,280,12967,12969
"JHARKHAND","PAKUR",1,2,19,158,9,188,189
"JHARKHAND","PALAMU",0,314,98,18525,154,19091,19091
"JHARKHAND","RANCHI",2,221,263,36776,348,37608,37610
"JHARKHAND","SAHEBGANJ",0,3,13,1305,40,1361,1361
"JHARKHAND","SARAIKELA",0,13,14,1576,5,1608,1608
"JHARKHAND","SIMDEGA",0,42,23,13762,1212,15039,15039
"JHARKHAND","WEST SINGHBHUM",0,15,10,1298,3,1326,1326
"KARNATAKA","Bagalkote",4510,1393,95,1920,3323,6731,11241
"KARNATAKA","Bangalore",331,116,0,7,174,297,628
"KARNATAKA","Bangalore Rural",5560,1307,50,330,1394,3081,8641
"KARNATAKA","Belgaum",36094,4682,640,15129,7607,28058,64152
"KARNATAKA","Bellary",2011,164,1,132,129,426,2437
"KARNATAKA","Bidar",8116,3044,335,2152,1097,6628,14744
"KARNATAKA","Bijapur",25150,3718,436,8460,3712,16326,41476
"KARNATAKA","Chamaraja Nagara",6967,37,1,15,215,268,7235
"KARNATAKA","Chikmagalur",1152,23,1,76,14,114,1266
"KARNATAKA","Chitradurga",1469,182,8,146,240,576,2045
"KARNATAKA","Dakshina Kannada",27010,1973,96,4100,3210,9379,36389
"KARNATAKA","Davanagere",366,238,9,112,22,381,747
"KARNATAKA","Dharwar",89,49,1,38,219,307,396
"KARNATAKA","Gadag",944,72,22,563,491,1148,2092
"KARNATAKA","Gulbarga",8075,1112,234,4366,3902,9614,17689
"KARNATAKA","Hassan",906,379,54,91,239,763,1669
"KARNATAKA","Haveri",80,13,0,13,65,91,171
"KARNATAKA","Kodagu",67,0,0,24,27,51,118
"KARNATAKA","Kolar",1861,3412,91,2949,2092,8544,10405
"KARNATAKA","Koppal",816,241,0,229,401,871,1687
"KARNATAKA","Mandya",5096,1178,34,516,1510,3238,8334
"KARNATAKA","Mysore",1344,644,3,109,2401,3157,4501
"KARNATAKA","Raichur",3028,1177,5,3103,2442,6727,9755
"KARNATAKA","Shimoga",5177,364,60,564,1073,2061,7238
"KARNATAKA","Tumkur",5041,3422,131,2420,2571,8544,13585
"KARNATAKA","Udupi",17393,5041,372,4305,1397,11115,28508
"KARNATAKA","Uttara Kannada",16927,944,16,520,248,1728,18655
"KERALA","ALAPPUZHA",1626,468,127,1180,1279,3054,4680
