-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "BiharNSDPconst.csv", 
 "title": "Download CSV for Bihar Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/BiharNSDPconst.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","1862279","1713833","2231468","2026085","2274580","2033146","2298671","2714512","2776312"
"Foresty and Logging","268864","263612","257807","252387","247835","243317","238597","233801","229235"
"Fishing","98995","104606","94976","101498","99799","96584","93826","111870","115985"
"Ag and Allied","2230138","2082050","2584251","2379970","2622213","2373047","2631095","3060184","3121532"
"Mining and Quarrying","3485","5287","4401","4312","10227","6944","7483","7907","7888"
"Sub total of primary","2233623","2087337","2588652","2384282","2632441","2379991","2638577","3068091","3129420"
"Manufacturing","343745","317744","341262","448088","558820","512244","645068","729581","829807"
"Registered","60924","15459","5916","70369","187539","140035","255339","320603","401091"
"Unregistered","282821","302284","335346","377719","371280","372209","389729","408978","428716"
"Construction","490620","608336","755733","892541","1011349","1268896","1389041","1536953","1652649"
"Electricity, Gas and water Supply","65218","69267","76797","76630","89165","118232","122612","135792","143952"
"Sub total of secondary","899583","995346","1173793","1417259","1659333","1899372","2156720","2402325","2626408"
"Industry","903068","1000633","1178194","1421571","1669560","1906316","2164203","2410232","2634296"
"Transport Storage and Communication","388508","435034","499605","552598","608874","773994","938114","1027654","1096574"
"Railways","99011","113772","134564","152782","151971","163349","173688","190080","208018"
"Transport by other means","191197","198114","215549","231274","261560","276027","319177","388544","435710"
"Storage","6115","5916","6648","7258","7984","8451","8991","9401","9819"
"Communication","92185","117232","142844","161285","187359","326167","436258","439630","443027"
"Trade, hotels and restaurants","1610622","1465300","1779170","2022042","2287700","2503920","2773553","3168934","3619286"
"Banking and Insurance","254054","289353","346152","386183","415142","520146","622702","740408","909295"
"Real estate, ownership of dwelling and business","246978","268620","297166","325996","355611","385119","424468","468859","518952"
"Pubic Administration","419616","409764","411469","418313","539105","566923","634307","695854","696305"
"Other Services","963705","1035773","1059417","1086108","1176765","1294367","1272844","1408853","1641423"
"Sub total of tertiary","3883482","3903843","4392979","4791239","5383197","6044468","6665987","7510563","8481835"
"State domestic product","7016688","6986527","8155423","8592780","9674971","10323831","11461284","12980979","14237663"

"Figures are in Rs. Lakh"
