-----
{
 "description": "The table refers to Statewise Distribution of Dugwells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.2_1.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.2_1.csv"
}
-----
"State","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH",6865,2232,698,91369,1082435,1617,1185216
"ARUNACHAL PRADESH",2,0,0,0,2,0,4
"ASSAM",1,1,1,12,137,2,154
"BIHAR",4064,104,108,530,130218,153,135177
"CHHATTISGARH",89719,120,67,68,110727,4282,204983
"GOA",141,99,1,397,4314,164,5116
"GUJARAT",5362,529,4131,26260,899031,287,935600
"HARYANA",49,65,463,12675,5076,491,18819
"HIMACHAL PRADESH",26,0,2,533,1329,6,1896
"JAMMU & KASHMIR",57,3,1,60,2099,298,2518
"JHARKHAND",7840,105,177,523,314785,125,323555
"KARNATAKA",108,43,13,165,327245,409,327983
"KERALA",471,32,211,115,165078,49,165956
"MADHYA PRADESH",22314,391,499,125862,1125363,2277,1276706
"MAHARASHTRA",5354,3534,1981,304513,1340492,2684,1658558
"MANIPUR",3,0,0,0,0,0,3
"MEGHALAYA",0,0,0,0,11,0,11
"NAGALAND",0,0,0,99,184,0,283
"ORISSA",1083,13,95,508,376623,57,378379
"PUNJAB",1,5,1,33,2891,0,2931
"RAJASTHAN",22738,906,1255,791857,347916,6826,1171498
"TAMIL NADU",2941,1383,1632,243174,1401930,5441,1656501
"TRIPURA",12,0,12,3,232,0,259
"UTTAR PRADESH",135,2,370,10283,113599,14,124403
"UTTARANCHAL",87,0,1,102,616,31,837
"WEST BENGAL",2678,157,2719,2295,31528,0,39377
"ANDAMAN & NICOBARS",0,0,0,0,8,0,8
"DADRA & NAGAR HAVELI",0,0,0,1,571,0,572
"PONDICHERRY",0,0,0,0,78,0,78
"ALL INDIA",172051,9724,14438,1611437,7784518,25213,9617381
