-----
{
 "description": "This table provides information about gross fiscal deficit based on Mid-term review 2007-08 during Eleventh Plan period.", 
 "file_name": "FR1011_03_2.xls", 
 "title": "Download XLS for Gross Fiscal Deficit - Eleventh Plan based on Mid-Term Review 2007-08", 
 "url": "http://data.gov.in/sites/default/files/FR1011_03_2.xls"
}
-----
"Year","Centre - Gross Fiscal Deficit as percent to GDP","State - Gross Fiscal Deficit as percent of GDP","Combined - Gross Fiscal Deficit as percentage of GDP"
"2002-03",5.9,4.2,9.6
"2003-04",4.5,4.5,8.5
"2004-05",4.0,3.5,7.5
"2005-06",4.1,2.5,6.7
"2006-07 (RE)",3.7,2.8,6.4
"2007-08 (BE)",3.3,2.4,5.6
"Tenth Plan (2002-07)",4.4,3.5,7.7
