-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "goaNSDPcurrent.csv", 
 "title": "Download CSV for Goa Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/goaNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","22562","22535","23450","27501","30458","36552","45384","56841","56159","46039","50230","58609"
"Foresty and Logging","1026","1313","1457","1355","1469","1175","999","851","1111","1336","1461","1903"
"Fishing","8204","9131","10268","11067","15754","12470","11529","18386","15518","13336","17226","17861"
"Mining and Quarrying","11174","14868","13019","10350","19993","23675","20316","22489","22077","27310","39421","49312"
"Sub total of primary","42966","47847","48194","50273","67674","73872","78228","98567","94865","88021","108338","127685"
"Manufacturing","51613","50662","60620","73141","102767","127465","163009","167412","189267","218633","225501","230794"
"Registered","45453","38788","47598","60146","81379","100888","129197","131611","152126","176255","211247","211497"
"Unregistered","6160","11874","13022","12995","21388","26577","33812","35801","37141","42378","14254","19297"
"Construction","10083","14298","13724","17697","23319","30293","25813","44114","48751","68301","57271","63679"
"Electricity, Gas and water Supply","2073","1243","1807","3077","1037","7186","4021","567","6366","21170","19052","19218"
"Sub total of secondary","63769","66203","76151","93915","127123","164944","192843","212093","244384","308104","301824","313691"
"Transport Storage and Communication","20786","24148","25740","26335","42990","63195","69119","72847","81992","87682","105409","110770"
"Railways","231","277","387","3374","180","1033","1473","1947","2295","3078","3050","3054"
"Transport by other means","19477","22667","23824","20524","39681","59190","64357","67441","75134","79143","94898","100246"
"Storage","69","79","92","98","107","122","131","150","186","234","238","238"
"Communication","1009","1125","1437","2339","3022","2850","3158","3309","4377","5227","7223","7232"
"Trade, hotels and restaurants","21496","39625","44514","57762","62059","84287","89998","120280","95411","159070","112358","106927"
"Banking and Insurance","13120","16566","32768","49688","50742","47625","53327","41179","43778","61022","66377","66449"
"Real estate, ownership of dwelling and business","13650","15356","16847","18398","23947","31962","41002","48293","55262","62849","64358","66153"
"Pubic Administration","9119","9855","11664","14600","18430","24627","27581","29967","31664","34976","37268","40306"
"Other Services","15280","17036","19716","21363","23609","30703","30643","40175","45195","46868","27318","26237"
"Sub total of tertiary","93451","122586","151249","188146","221777","282399","311670","352741","353302","452467","413088","416842"
"State domestic product","200186","236636","275594","332335","416573","521215","582741","663401","692551","848592","823250","858218"

"Figures are in Rs. Lakh"
