-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "KeralaGSDPconst.csv", 
 "title": "Download CSV for Kerala Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KeralaGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","652558","718215","727338","740236","707545","721098","733584","576701","562236","569124","584277","562922"
"Foresty and Logging","74646","81736","72013","75030","72889","76121","80620","69423","83026","85185","94161","91517"
"Fishing","71188","76358","66884","73305","62982","68012","73582","73462","74310","75126","79107","81572"
"Mining and Quarrying","6763","5676","8163","7110","7896","8876","9161","10816","10403","11254","12500","13418"
"Sub total of primary","805155","881985","874398","895681","851312","874107","896947","730402","729975","740689","770045","749429"
"Manufacturing","304906","358391","398351","384286","376038","405645","435887","410022","378872","391904","415352","418647"
"Registered","160697","178769","209709","201502","204979","235007","260075","248585","233263","240947","260492","266479"
"Unregistered","144209","179622","188642","182784","171059","170638","175812","161437","145609","150957","154860","152168"
"Construction","206618","209245","208462","213757","237574","262920","229873","287801","301633","357005","410074","451622"
"Electricity, Gas and water Supply","31192","32586","32702","39700","44719","51428","66544","101258","111874","114118","147277","183749"
"Sub total of secondary","542716","600222","639515","637743","658331","719993","732304","799081","792379","863027","972703","1054018"
"Transport Storage and Communication","197829","220248","251916","264992","306963","331989","384318","463968","528378","621704","733806","895612"
"Railways","9746","10974","11753","12653","12141","13198","14382","15672","16620","15836","16852","17718"
"Transport by other means","147996","164355","183091","192669","226120","236610","265763","305128","315867","347037","385678","425523"
"Storage","568","588","706","712","701","753","717","849","1160","926","964","1030"
"Communication","39519","44331","56366","58958","68001","81428","103456","142319","194731","257905","330312","451341"
"Trade, hotels and restaurants","459231","494732","523803","538751","572037","614013","665954","786849","766812","824450","948476","1036924"
"Banking and Insurance","114136","126422","145112","184382","173241","225614","253597","274620","314134","313739","337102","365690"
"Real estate, ownership of dwelling and business","178090","184014","190439","197585","207740","215128","226279","235869","239710","249434","295084","314800"
"Pubic Administration","134567","127677","133848","137665","154980","157506","205105","204997","197036","262269","270140","303849"
"Other Services","200878","214809","219770","232204","253648","264343","294867","311010","333989","351838","352175","373200"
"Sub total of tertiary","1284731","1367902","1464888","1555579","1668609","1808593","2030120","2277313","2380059","2623434","2936783","3290075"
"State domestic product","2632602","2850109","2978801","3089003","3178252","3402693","3659371","3806796","3902413","4227152","4679531","5093522"

"Figures are in Rs. Lakh"
