-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.6.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells by Status", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.6.csv"
}
-----
"State","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDHRA PRADESH",637003,10731,1610,5208,483,1324,19356,656359
"ASSAM",74392,2215,1232,140,447,238,4272,78664
"BIHAR",620136,13364,8763,4516,3689,915,31247,651383
"CHHATTISGARH",76862,647,94,100,5384,3488,9713,86575
"GOA",29,1,0,0,0,0,1,30
"GUJ ARAT",45659,3985,471,2394,197,489,7536,53195
"HARYANA",367503,2769,534,3925,73,1548,8849,376352
"HIMACHAL PRADESH",2585,13,18,0,0,33,64,2649
"JAMMU & KASHMI R",1338,2,33,0,0,0,35,1373
"JHARKHAND",1078,36,4,2,2,2,46,1124
"KARNATAKA",511143,8735,6971,2408,1822,1269,21205,532348
"KERALA",4533,102,24,7,1,13,147,4680
"MADHYA PRADESH",236764,39679,626,1304,198,453,42260,279024
"MAHARASHTRA",54719,1619,410,955,58,1659,4701,59420
"MANI PUR",3,0,0,0,0,0,0,3
"MEGHALAYA",52,1,0,0,22,0,23,75
"NAGALAND",0,0,2,0,0,0,2,2
"ORISSA",35398,6628,245,597,566,447,8483,43881
"PUNJAB",1063374,2604,691,273,70,105,3743,1067117
"RAJASTHAN",108940,2804,59,925,59,69,3916,112856
"TAMIL NADU",139052,10915,490,398,152,243,12198,151250
"TRIPURA",1090,40,11,4,3,30,88,1178
"UTTAR PRADESH",3482179,24013,9356,3403,1559,5033,43364,3525543
"UTTARANCHAL",51416,525,89,49,9,11,683,52099
"WEST BENGAL",576946,19989,216,1034,747,4735,26721,603667
"CHANDIGARH",132,0,0,0,0,0,0,132
"DELHI",10302,14,1,7,2,18,42,10344
"PONDICHERRY",4332,16,12,1,8,1,38,4370
"ALL INDIA",8106960,151447,31962,27650,15551,22123,248733,8355693
