-----
{
 "description": "The table refers to Statewise Dugwells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.8.csv", 
 "title": "Download CSV for Statewise Dugwells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.8.csv"
}
-----
"State","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH",25120,6303,1030728,67750,55315,1185216
"ARUNACHAL PRADESH",1,0,3,0,0,4
"ASSAM",6,10,134,0,4,154
"BIHAR",1735,2309,121337,2088,7708,135177
"CHHATTISGARH",92270,704,88329,242,23438,204983
"GOA",651,38,2574,71,1782,5116
"GUJARAT",12625,2445,854950,36633,28947,935600
"HARYANA",3205,182,11240,1087,3105,18819
"HIMACHAL PRADESH",49,5,1718,28,96,1896
"JAMMU & KASHMIR",75,56,2302,58,27,2518
"JHARKHAND",1251,1643,308420,5270,6971,323555
"KARNATAKA",35149,10170,213276,42130,27258,327983
"KERALA",6100,2291,99171,8318,50076,165956
"MADHYA PRADESH",41627,21513,954451,133034,126081,1276706
"MAHARASHTRA",77012,26597,907544,482408,164997,1658558
"MANIPUR",0,0,3,0,0,3
"MEGHALAYA",1,1,7,2,0,11
"NAGALAND",12,16,168,1,86,283
"ORISSA",1365,699,307860,1752,66703,378379
"PUNJAB",11,28,2845,47,0,2931
"RAJASTHAN",170681,18092,871309,31221,80195,1171498
"TAMIL NADU",63338,16550,1442366,52361,81886,1656501
"TRIPURA",2,13,201,1,42,259
"UTTAR PRADESH",3530,1914,112204,525,6230,124403
"UTTARANCHAL",7,37,792,1,0,837
"WEST BENGAL",447,562,35289,248,2831,39377
"ANDAMAN & NICOBARS",0,0,0,0,8,8
"DADRA & NAGAR HAVELI",19,14,514,21,4,572
"PONDICHERRY",0,0,71,5,2,78
"ALL INDIA",536289,112192,7369806,865302,733792,9617381
