-----
{
 "description": "The table shows the projected shortfall/excess of Angan Wadi Centres (AWC) by states. It provides state-level estimates of the average population per AWC as per norm, requirement of AWC as per norm, Actual Operational AWC, Shortfall/Excess of AWC to requirement. The table shows the status of ...", 
 "file_name": "ICDS_Table5.5.xls", 
 "title": "Download XLS for Projected shortfall/excess of AWC by states", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table5.5.xls"
}
-----
"States/Uts","Average population per AWC as per norm","Requirement of AWC as per norm (in '000)","Actual Operational AWC (in '000) as on 31.3.2009, MWCD","Shortfall/Excess of AWC (in '000)","Shortfall/Excess to requirement (%)"
"Andhra Pradesh",780.0,105.6,73.0,32.6,30.8
"Assam",763.0,38.6,36.8,1.7,4.5
"Bihar",797.0,117.4,80.2,37.2,31.7
"Chhattisgarh",705.0,33.0,34.9,-1.9,-5.7
"Gujarat",756.0,74.9,43.8,31.2,41.6
"Haryana",800.0,30.2,17.4,12.8,42.3
"Himachal Pradesh",788.0,8.4,18.2,-9.9,-118.0
"Jammu & Kashmir",767.0,14.7,18.8,-4.1,-28.1
"Jharkhand",721.0,41.9,32.1,9.7,23.2
"Karnataka",780.0,73.8,54.7,19.1,25.9
"Kerala",797.0,42.4,32.2,10.2,24.0
"Madhya Pradesh",739.0,93.0,69.2,23.8,25.6
"Maharashtra",773.0,139.6,82.6,57.0,40.8
"Orissa",734.0,54.0,41.8,12.3,22.7
"Punjab",800.0,33.4,20.2,13.2,39.6
"Rajasthan",762.0,84.7,50.9,33.7,39.8
"Tamil Nadu",797.0,82.9,50.4,32.5,39.2
"Uttar Pradesh",800.0,237.9,150.9,87.0,36.6
"Uttrakhand",791.0,12.0,9.2,2.9,23.9
"West Bengal",784.0,111.0,89.0,22.0,19.8
"Delhi",800.0,21.2,6.1,15.1,71.2
"Chandigarh",800.0,1.5,0.4,1.2,75.9
"Arunachal Pradesh",607.0,2.0,4.3,-2.3,-116.8
"Manipur",697.0,3.4,7.6,-4.2,-124.6
"Meghalaya",542.0,4.7,3.3,1.3,28.5
"Mizoram",517.0,1.9,1.7,0.2,10.4
"Nagaland",533.0,4.1,3.2,0.9,21.5
"Tripura",707.0,4.9,7.4,-2.4,-49.3
"Sikkim",738.0,0.8,1.0,-0.2,-23.1
"Dadra & Nagar Haveli",613.0,0.5,0.3,0.2,48.1
"Daman & Diu",774.0,0.3,0.1,0.2,66.7
"Goa",800.0,2.0,1.1,0.9,44.2
"Puducherry",800.0,1.5,0.7,0.8,54.2
"Lakshadweep",517.0,0.1,0.1,0.1,39.3
"Andaman & Nicobar Islands",775.0,0.6,0.7,-0.1,-16.0
"All India",775.0,1479.0,1044.0,435.0,29.4
