-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "MaharashtraGSDPcurrent.csv", 
 "title": "Download CSV for Maharashtra Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MaharashtraGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","2026472","2270055","2526123","3401701","2842862","3108023","3559609","3295381","3607383","3600394","3492816","3686302"
"Foresty and Logging","130311","154061","162560","182342","196314","194859","222442","277178","312048","323959","349851","386391"
"Fishing","52913","53779","76698","106327","103603","92662","91468","89919","97948","107990","125470","137409"
"Mining and Quarrying","75172","87748","103103","157077","205807","178742","192771","217705","239290","245879","284450","300376"
"Sub total of primary","2284868","2565643","2868484","3847447","3348586","3574286","4066290","3880183","4256669","4278222","4252587","4510478"
"Manufacturing","2847028","3232121","4134622","4525508","5262703","4897815","5534799","5030621","5227090","5844113","6883657","8119277"
"Registered","1935378","2175926","2838531","3089879","3559880","3467715","3803932","3508955","3481732","4024856","4778579","5596534"
"Unregistered","911650","1056195","1296091","1435629","1702823","1430100","1730867","1521666","1745358","1819257","2105078","2522743"
"Construction","558095","628496","720384","843853","979446","1131579","1117318","1087708","1299941","1491728","1641788","1852754"
"Electricity, Gas and water Supply","308215","366892","461361","474896","540573","591132","618789","495092","632244","699968","773481","809511"
"Sub total of secondary","3713338","4227509","5316367","5844257","6782722","6620526","7270906","6613421","7159275","8035809","9298926","10781542"
"Transport Storage and Communication","875183","1063912","1245168","1424307","1718685","1881447","1924652","2148348","2333828","2477090","2881317","3296852"
"Railways","100986","114169","123477","151554","147532","143083","157800","166717","204068","229364","234137","261576"
"Transport by other means","529667","645410","759818","826902","999725","1139425","1164452","1246796","1343358","1459060","1621406","1886183"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","244530","304333","361873","445851","571428","598939","602400","734835","786402","788666","1025774","1149093"
"Trade, hotels and restaurants","1288277","1510360","1927248","2312568","2694479","2620174","2867578","3060542","3369226","4131045","4782146","5810388"
"Banking and Insurance","1483690","1738314","2234139","1939346","2059328","2664753","3849376","3494328","3984950","4628603","4646548","4962346"
"Real estate, ownership of dwelling and business","665563","747200","831953","947270","1007108","1327739","1499618","1661875","1896237","2119575","2310020","2668666"
"Pubic Administration","388087","447151","533317","620862","763080","827546","1135136","1115610","1194327","1279848","1358502","1566141"
"Other Services","632958","707243","825136","995020","1142824","1453394","1709688","1900384","2485228","3042118","3275200","3591350"
"Sub total of tertiary","5333758","6214180","7596961","8239373","9385504","10775053","12986048","13381087","15263796","17678279","19253733","21895743"
"State domestic product","11331964","13007332","15781814","17931078","19516815","20969865","24323244","23874691","26679740","29992310","32805246","37187763"

"Figures are in Rs. Lakh"
