-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "chandigarhGSDPcurrent.csv", 
 "title": "Download CSV for Chandigarh Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/chandigarhGSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","7042","7724","8537","8832","9622","10222","9873","9634"
"Foresty and Logging","617","623","723","782","673","686","748","823"
"Fishing","49","65","118","134","141","134","152","166"
"Ag and Allied","7708","8412","9378","9748","10436","11042","10773","10623"
"Mining and Quarrying","1","1","1","1","1","13","14","15"
"Sub total of primary","7709","8413","9379","9749","10437","11055","10787","10638"
"Manufacturing","56067","58578","74492","86610","88873","107602","124294","136982"
"Registered","22595","20213","29440","34977","33502","47748","53285","60066"
"Unregistered","33472","38365","45052","51633","55371","59854","71009","76916"
"Construction","78131","99190","157172","168928","102352","132402","153260","176144"
"Electricity, Gas and water Supply","10997","11981","12393","14512","14892","21949","23020","25735"
"Sub total of secondary","145195","169749","244057","270050","206117","261953","300574","338861"
"Industry","145196","169750","244058","270051","206118","261966","300588","338876"
"Transport Storage and Communication","55214","57454","59625","64225","71683","86163","98872","117719"
"Railways","470","580","695","781","791","1101","1239","1394"
"Transport by other means","24183","27303","30743","33117","35691","42612","46828","53491"
"Storage","67","71","85","103","121","204","238","279"
"Communication","30494","29500","28102","30224","35080","42246","50567","62555"
"Trade, hotels and restaurants","239250","319624","376282","437088","482309","500324","586917","648934"
"Banking and Insurance","97126","105343","129630","145231","201191","254110","314390","388969"
"Real estate, ownership of dwelling and business","164952","197665","226802","256589","301318","349448","418376","471365"
"Pubic Administration","69475","75975","86166","79686","145791","143563","147480","168778"
"Other Services","71483","84326","95667","104233","114537","151040","171873","191500"
"Sub total of tertiary","697500","840387","974172","1087052","1316829","1484648","1737908","1987265"
"State domestic product","850404","1018549","1227608","1366851","1533383","1757657","2049269","2336764"

"Figures are in Rs. Lakh"
