-----
{
 "description": "This table provides details regarding Physical Performance of Petroleum and Natural Gas Sector. It gives the Actual figures for years 2007-11, Estimates for the year 2011-12, Eleventh Plan target and anticipated 11th plan estimates. ", 
 "file_name": "Physical_Performance_of_Petroleum_and_Natural_Gas_Sector.xls", 
 "title": "Download XLS for Physical Performance of Petroleum and Natural Gas Sector", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_Petroleum_and_Natural_Gas_Sector.xls"
}
-----
"Item","11th Plan Target","Actual (2007-08)","Actual (2008-09)","Actual (2009-10)","Actual (2010-11)","Estimated (2011-12","Total (Anticipated in 11th Plan)"
"Crude Oil Production (MMT)",206.73,34.13,33.51,33.51,37.69,38.19,177.02
"ONGC",140.06,25.94,25.37,24.67,24.42,23.74,124.14
"OIL",18.99,3.1,3.47,3.57,3.59,3.76,17.49
"PVT. JVC",47.71,5.09,4.67,5.26,9.68,10.69,35.4
"Gas Prod. (BCM)",255.76,32.4,32.85,47.51,52.22,51.67,216.65
"ONGC",112.39,22.33,22.49,21.99,23.1,23.46,114.48
"OIL",16.42,2.34,2.27,2.43,2.35,2.63,12.01
"PVT. JVC",126.95,7.73,8.09,12.99,23.1,25.58,90.16
"Refining Capacity (MMTPA)",240.96,148.97,177.97,185.39,193.39,232.3,232.3
"Hydrocarbon Reserve Accretion (O+OEG)",1847.0,0.0,0.0,0.0,0.0,0.0,2014.81
