-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REES","A","A Union Govt",105877.37,111413.04,124559.53,140848.98,150538.6,147131.34,187025.7,249164.17,263493.9,438168.58,384380.89,449837.5
"REES","B","A UT Puducherry",343.95,390.81,554.12,538.29,585.22,648.23,726.04,758.55,807.92,926.34,943.1,1292.18
"REES","B","Andhra Pradesh",3840.06,6337.58,6949.89,6401.04,7352.13,7660.1,9040.26,10510.27,16904.1,17806.88,16213.4,19345.94
"REES","B","Arunachal Pradesh",286.07,348.98,349.73,339.05,520.42,547.95,607.88,704.05,932.9,1140.51,1337.9,1484.73
"REES","B","Assam",999.59,1045.83,1215.22,1094.76,1546.83,2264.69,2336.7,2668.88,2854.04,2885.64,3759.52,4668.86
"REES","B","Bihar",2326.26,1712.74,1302.42,1763.46,1498.18,2035.67,2367.1,4020.82,4437.9,5726.01,7087.95,7836.28
"REES","B","Chattisgarh",0.0,347.2,1150.58,1443.06,1917.22,1925.63,2089.85,2228.06,3140.18,3523.25,4423.16,5091.42
"REES","B","D NCT Delhi",264.24,289.3,1227.49,316.15,462.39,372.5,573.48,566.07,631.85,1272.7,1650.28,1392.46
"REES","B","Goa",416.01,498.08,542.36,538.7,617.68,642.65,710.66,851.44,1010.16,1171.04,1389.48,1521.92
"REES","B","Gujarat",5484.96,8129.54,7774.34,6494.28,5528.32,6283.26,5796.48,6464.87,7937.05,10256.46,11992.85,13712.67
"REES","B","Haryana",1791.48,1542.81,2414.82,2532.48,2706.05,3199.08,3814.77,6626.89,6221.87,7035.75,7529.9,7996.73
"REES","B","Himachal Pradesh",978.46,1133.67,1069.91,1345.99,1169.45,1176.99,1333.39,1755.44,1983.68,2184.26,2868.23,3682.16
"REES","B","Jammu and Kashmir",2114.66,2523.29,2164.35,2264.8,2552.88,3021.39,3583.3,3079.4,3718.41,3757.36,4621.08,5475.49
"REES","B","Jharkhand",0.0,216.35,1062.44,820.87,928.12,1509.19,1853.08,1924.63,1967.38,2532.48,2912.37,4246.46
"REES","B","Karnataka",4004.05,4387.99,5397.78,4802.42,4651.7,6101.52,7947.33,10440.24,11453.31,11136.64,13181.71,14892.44
"REES","B","Kerala",2303.87,2178.08,1907.97,2981.68,2999.35,3306.84,3771.65,2711.87,2818.4,3928.53,4240.71,4357.46
"REES","B","Madhya Pradesh",4033.27,3297.61,4363.5,3424.7,6278.58,3968.91,5194.7,4880.17,6537.47,7431.17,8371.36,10084.48
"REES","B","Maharastra",5257.72,7655.86,5875.71,7635.76,5883.0,10381.12,9314.71,11703.05,13236.89,16813.24,20371.94,19285.36
"REES","B","Manipur",284.03,210.5,325.45,303.08,371.46,423.69,597.88,877.34,642.34,724.63,815.98,1083.68
"REES","B","Meghalaya",234.31,268.17,292.29,294.81,308.52,451.53,494.4,590.11,721.85,940.34,989.01,1319.91
"REES","B","Mizoram",261.56,315.74,317.92,318.8,389.74,404.36,498.78,507.49,565.97,611.86,649.35,1007.57
"REES","B","Nagaland",265.81,315.75,326.05,322.03,515.76,405.73,568.4,612.98,721.88,843.94,894.86,1218.95
"REES","B","Orissa",1548.02,1537.67,1539.4,1602.77,1771.34,1753.11,1953.28,2776.45,3728.66,5551.08,5762.4,7077.56
"REES","B","Punjab",1846.35,2100.51,1865.69,2309.97,2939.4,3737.68,3714.07,3772.87,5478.59,4744.48,5218.62,6398.94
"REES","B","Rajasthan",2242.61,2312.5,2349.15,2784.552,3257.38,4104.96,4682.92,5662.94,7988.8,7266.73,7971.99,10219.6
"REES","B","Sikkim",169.84,164.81,183.56,238.14,229.03,276.21,266.39,283.63,320.57,394.15,480.14,497.61
"REES","B","Tamil Nadu",4315.81,4628.01,4242.36,6261.63,4607.41,5454.08,5772.49,7796.75,7771.3,9661.34,12121.9,12222.36
"REES","B","Tripura",328.1,404.47,397.08,375.35,416.44,423.06,484.7,408.99,473.82,564.92,701.9,678.55
"REES","B","Uttar Pradesh",5752.35,5572.03,5349.74,5883.2,18969.7,6976.27,7755.84,9409.26,12037.42,14149.34,13308.0,15725.03
"REES","B","Uttarakhand",0.0,351.13,692.1,950.35,1003.38,1089.52,1211.67,1373.22,1461.11,1623.13,1658.12,1863.75
"REES","B","West Bengal",3025.94,3754.63,3586.44,2742.01,3044.45,3556.66,4634.98,4503.95,5553.81,14025.41,7741.84,8090.49
