-----
{
 "description": "This table provides data related to Proposed Sectoral Allocations for States and Union Territories in the Eleventh Plan (Rs crore) (at 2006-07 prices).", 
 "file_name": "FR1011_Annex33_1.xls", 
 "title": "Download XLS for Proposed Sectoral Allocations for States and Union Territories in the Eleventh Plan (Rs crore) (at 2006-07 prices)", 
 "url": "http://data.gov.in/sites/default/files/FR1011_Annex33_1.xls"
}
-----
"Sl. No.","Major Heads of Development (all figures in Rs crore at 2006-07 price)","Andhra Pradesh","%age to total","Arunachal Pradesh","%age to total","Assam","%age to total","Bihar","%age to total","Chhattis-garh","%age to total","Goa","%age to total","Gujarat     ","%age to total","Haryana","%age to total","Himachal Pradesh","%age to total","Jammu & Kashmir","%age to total","Jharkhand","%age to total","Karnataka","%age to total","Kerala","%age to total","Madhya Pradesh","%age to total","Maha-rashtra","%age to total","Manipur","%age to total","Meghalaya","%age to total","Mizoram","%age to total","Nagaland","%age to total","Orissa","%age to total","Punjab","%age to total","Rajas-than","%age to total","Sikkim","%age to total","Tamil Nadu","%age to total","Tripura","%age to total","Uttar Pradesh","%age to total","Uttara-khand","%age to total","West Bengal","%age to total","Total (States)","%age to total","Andaman & Nicobar Islands","%age to total","Chandigarh","%age to total","Dadra & Nagar Haveli","%age to total","Daman & Diu","%age to total","Delhi","%age to total","Lakshadweep","%age to total","Puducherry","%age to total","Total (UTs)","%age to total","Total (States & UTs)","%age to total"
"I.","Agriculture & Allied Activities",7377.68670249,5.00538464839,752.00410327,9.51783449272,517.938542318,2.16222151757,1697.71418811,2.80007617903,1955.45648945,3.63941278513,211.758026226,2.49567502918,5639.36585345,5.2744775,1636.26592082,4.90281632653,1470.08307571,10.6697857143,1818.21328591,7.03806335027,2517.75156771,6.25683789193,4317.30074306,4.24663670823,2418.65205581,5.7669338479,3751.24497618,5.33385228879,10203.04,8.0,439.228706035,5.38666551429,735.222541691,8.00460034503,469.578346667,8.48533333333,494.951332996,8.27954722309,708.202976759,2.19768185185,302.758817228,1.04677529035,1330.46225468,1.85476810166,276.008923656,5.84764668763,4178.879628,4.8965125,694.352652874,7.84402002795,19146.3674844,10.5726128333,4564.46783631,10.6651428485,1122.00639352,1.75920976108,80746.9634253,5.71850602398,107.499610935,2.62194173012,4.339927155,0.20356131121,29.6082592466,2.27755840359,21.6323164792,2.40359071991,163.788570556,0.298888888889,185.299691445,8.8237948307,1018.20294429,9.439167,1530.37132011,2.01052090744,82277.3347454,5.52884402228
"II.","Rural Development",14520.2762614,9.85126785944,258.218005699,3.26816865839,1878.6901018,7.84290766386,7848.77529034,12.9451522989,4260.06375526,7.92865020522,234.978014356,2.76933428822,3154.7973506,2.95067,1536.29376327,4.60326530612,355.620021429,2.58107142857,615.610682449,2.38294759793,5500.5676828,13.6694027903,4822.52528735,4.74359191784,1926.64404037,4.59381030132,10739.2570644,15.2700266809,13391.49,10.5,271.144246555,3.32529122584,802.301035078,8.73490511788,197.699075556,3.57244444444,311.813299765,5.21601371304,1864.71418593,5.78654518519,2544.37153283,8.79705263227,4244.10523622,5.91661355631,510.301839831,10.8114796574,10168.25754,11.9144375,906.40192782,10.239515678,7658.00246422,4.22874444444,2483.89602921,5.8037665994,7289.65300379,11.4295504849,110296.468738,7.81120421311,221.630549234,5.40562315205,19.2406313234,0.90246863618,35.3605632656,2.72004332812,15.5904099885,1.7322677765,712.693389722,1.30055555556,12.2482468443,0.58324984973,378.25230359,3.506557,1395.01609397,1.83269836953,111691.484832,7.50540595615
"III.","Special Area Programmes",3552.60716523,2.41026301111,423.382615422,5.35859530974,97.4056820006,0.406636394759,646.432825119,1.06617543026,284.301616961,0.529130126487,23.0975359843,0.272216098813,83.609876,0.0782,173.5448,0.52,20.4701714286,0.148571428571,1419.76285901,5.49571440354,1855.77631464,4.61177016562,683.346762785,0.672161987316,344.882885557,0.82232447677,887.600605173,1.26206913958,765.228,0.6,231.430502781,2.83824506722,189.087406555,2.05865439908,57.1231777778,1.03222222222,578.930434856,9.68434986376,4888.23412037,15.1690740741,0.0,0.0,817.554284124,1.13973440602,104.701845966,2.21825944843,0.0,0.0,497.221654469,5.61705438849,4534.39254444,2.50388888889,61.1222637743,0.142815701141,3193.28023694,5.00678944001,26414.5281874,1.87067887327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26414.5281874,1.77499437387
"IV.","Irrigation & Flood Control",34292.1831875,23.2654996353,516.948330878,6.54282155269,2862.95731446,11.9518966121,7876.14834689,12.9902992642,7227.72784823,13.451940905,579.742030599,6.8325519222,29196.4911836,27.3073675,3975.82418694,11.9129387755,1220.62254429,8.85921428571,735.024975627,2.84518454605,3379.36866897,8.39803347159,26033.7770126,25.6076654594,2343.4086537,5.58752659443,14934.7883413,21.2356045747,26782.98,21.0,772.378024001,9.47238194753,219.721679126,2.39217941346,199.064128889,3.59711111111,151.228481703,2.5297504467,6518.18118472,20.2270944444,1404.76153185,4.85690119229,7655.28545584,10.6720647073,84.7586372104,1.7957338392,3710.0637,4.3471875,520.776806027,5.88315415756,16338.2176786,9.02195416667,2661.09701031,6.21780693095,2626.76078162,4.11853553931,204820.287726,14.5053881843,52.9390237593,1.29119570145,3.19239174423,0.149736948604,52.4149942211,4.0319226324,27.8933852829,3.09926503144,333.665935556,0.608888888889,47.5476858345,2.26417551593,314.9804,2.92,832.633816398,1.09387027456,205652.921542,13.8193942408
"V.","Energy",22582.3533574,15.3209765307,1280.18751045,16.2028542014,2601.67010712,10.8611092391,4717.83642675,7.78122812876,1805.37244348,3.36008271632,830.080135982,9.78291262206,3767.2129628,3.52346,3901.63855265,11.6906530612,1122.13936857,8.14442857143,8196.95447201,31.7293275219,5634.61542478,14.0025234214,12876.5133117,12.6657551461,5547.9350898,13.2282667854,9416.25160622,13.3888603652,19130.7,15.0,1498.71294386,18.3800949701,1084.87579068,11.8113858539,691.405662222,12.4937777778,646.943364683,10.8220703359,3431.92669444,10.6498888889,8075.07792926,27.9192266683,26441.8224187,36.8619617725,511.543304576,10.8377818766,8048.888652,9.4311125,636.442792821,7.18981916878,26371.0303172,14.5620673889,4966.05160196,11.6034665217,17630.111236,27.6425018203,203446.293478,14.4080818084,183.960317685,4.4868370167,305.192650749,14.3148522865,235.14498461,18.0880757393,138.07225715,15.3413619056,5488.682864,10.016,165.302187938,7.87153275897,541.582909,5.0207,7057.93817113,9.27234591373,210504.231649,14.1453909077
"VI.","Industry & Minerals",5233.51221629,3.55067147209,195.490327681,2.47424791395,360.075712197,1.50319659429,1982.4255031,3.26965661642,815.064476536,1.51696347764,117.73008484,1.38750836582,3203.91815275,2.9966125,410.077916735,1.22873469388,177.677151429,1.28957142857,550.883772816,2.13239828449,871.339501697,2.16535661455,1259.31346657,1.23870147404,1180.83998813,2.81554598981,591.121340897,0.840508667686,1913.07,1.5,656.144889312,8.04690813481,290.497412306,3.16273720529,196.862826667,3.55733333333,375.700780431,6.2847236606,132.664834815,0.411682962963,363.276843521,1.2560137037,1005.02459191,1.40108262966,233.903923888,4.95559160779,3544.112292,4.1527375,278.624548586,3.14758866455,2347.09685657,1.2960655,324.254118675,0.757638484684,1920.6724858,3.01144967121,30531.3760161,2.16223434619,27.4009021955,0.668314687696,4.14148118171,0.194253338729,45.3741741019,3.49032108476,35.06597007,3.89621889666,547.9915,1.0,9.12201963534,0.434381887397,539.35,5.0,1208.44604718,1.58759250873,31739.8220633,2.1328416389
"VII.","Transport",12629.7600517,8.56864890376,1589.50264318,20.1177400731,3173.46711,13.2481719546,14726.2643791,24.2883415729,7272.48267975,13.5352367016,716.842514238,8.44835019726,9368.74588195,8.7625525,4625.88159673,13.8607346939,2142.28217143,15.5485714286,2660.80562711,10.2996269533,4712.73811527,11.7115758332,12599.0955521,12.3928780611,2524.55517293,6.01944485676,8006.72204419,11.3846664167,8927.66,7.0,403.163164884,4.94436061913,1623.61644623,17.6768257619,886.583693333,16.0206666667,821.898877201,13.7487266176,3033.33614685,9.41299037037,4290.29199137,14.8334958039,4831.93387752,6.73609250755,546.837798271,11.5855465735,17124.945684,20.0657875,1024.38693373,11.5723783747,27328.6440206,15.0908611111,8376.32766295,19.5717735944,4601.60095266,7.21491549359,170570.372789,12.0798066321,1843.62678301,44.9665069027,189.610813436,8.89356535815,136.812798788,10.5240614452,179.713096609,19.9681218454,18572.8932457,33.8926666667,564.911612903,26.9005529954,822.50875,7.625,22310.0771004,29.3097994373,192880.44989,12.9611140867
"VIII.","Communications",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492071428571,0.000357142857143,42.3406991031,0.163895250844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372042950226,0.00420292533016,0.0,0.0,0.0,0.0,0.0,0.0,42.7619491962,0.00302840445885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147265077139,0.0070126227209,0.0,0.0,0.147265077139,0.000193469070306,42.9092142733,0.00288339861238
"IX.","Science & Technology",35.4147680954,0.024027116317,44.9403052141,0.568792623897,213.735717762,0.892275685738,311.317619843,0.513462782805,3369.52607153,6.27121919138,315.329581718,3.71631799314,793.82070985,0.7424575,27.0806171429,0.0811428571429,2.92290428571,0.0212142857143,23.6971332077,0.0917284710371,911.547988514,2.26527830148,1370.22590268,1.34779853506,1094.1731186,2.60890109346,161.049332545,0.228994202313,127.538,0.1,127.633753848,1.56529008889,245.074180564,2.66820011501,88.1258755556,1.59244444444,55.385864437,0.926494888541,1176.93851731,3.65225296296,8.48449233763,0.0293347589725,31.1367018651,0.0434069897188,147.604673801,3.12721766527,90.720672,0.1063,43.7354611023,0.494074345937,303.927545006,0.167828611111,590.125371568,1.37886202993,592.913890231,0.929638110085,12304.1267706,0.871379183474,93.4283205593,2.27873952584,151.103666532,7.08741400243,117.586297835,9.04509983345,12.3228991411,1.36921101567,81.8942852778,0.149444444444,81.8499298738,3.89761570827,186.248342,1.7266,724.433741219,0.9517227379,13028.5605118,0.875488725146
"X.","General Economic Services",2544.80405029,1.72651992963,442.877719824,5.60533754998,575.658697125,2.40318400737,2797.37088714,4.61376340014,834.680893791,1.55347272248,181.190909353,2.1354261562,2057.60216165,1.9244675,1135.99647184,3.40383673469,798.592562857,5.79614285714,2740.98436513,10.6099882524,647.654262262,1.60947878296,2461.41503955,2.42112747831,2197.05131364,5.23855821088,1564.95160085,2.22518676628,5101.52,4.0,157.982591023,1.9374857864,252.996837263,2.75445658424,345.911893333,6.25066666667,341.056124487,5.70518776324,1670.47024056,5.18377111111,2080.36739873,7.19277875299,754.004065943,1.0511404477,158.777856506,3.36393763784,734.97186,0.8611875,255.459771321,2.88589890783,11798.7722091,6.51527505556,1567.35087529,3.66220588648,310.255622059,0.486454196615,46510.7282809,3.29389327563,73.2077080384,1.7855538546,15.8152812626,0.741804937272,70.9604223784,5.45849402911,61.5148764722,6.83498627468,173.530641667,0.316666666667,638.432145863,30.4015307554,438.16794,4.062,1471.62901568,1.93334837444,47982.3572966,3.2243019312
