-----
{
 "description": "The table provides the Index Numbers of Wholesale Prices at 1993-94 and 2004-05 base year prices. It gives the General Index of Wholesale Price, Price Index of Manufactured  Products, Price Index of Agricultural Products and Manufactured price Index as percent of Agricultural Price Index since ...", 
 "file_name": "tab54.xls", 
 "title": "Download XLS for Index Numbers of Wholesale Prices - Relative Prices of Manufactured and Agricultural Products(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab54.xls"
}
-----
"5.4 : INDEX NUMBERS OF WHOLESALE PRICES – RELATIVE PRICES OF MANUFACTURED AND AGRICULTURAL PRODUCTS","","","",""
"Year/             Months","General Index of Wholesale Price","Price Index of Manufactured  Products ","Price Index of Agricultural Productsa","Manufactured price Index as percent of Agricultural Price Index"
1.0,2.0,3.0,4.0,5.0
"Weight (Base: 1993-94)",100.0,63.75,21.54,"Col.3/ col.4*100"
"Weight (Base: 2004-05)",100.0,64.97,18.59,""
"(Base : 1993-94 = 100)","","","",""
"1994-95",112.6,112.3,116.0,96.8
"1995-96",121.6,121.9,126.0,96.8
"1996-97",127.2,124.4,136.4,91.2
"1997-98",132.8,128.0,140.3,91.2
"1998-99",140.7,133.6,157.2,85.0
"1999-00",145.3,137.2,159.1,86.2
"2000-01",155.7,141.7,163.7,86.6
"2001-02",161.3,144.3,169.5,85.1
"2002-03",166.8,148.1,175.3,84.5
"2003-04",175.9,156.5,182.9,85.6
"2004-05",187.3,166.3,186.7,89.1
"(Base : 2004-05 = 100)","","","",""
"2005-06",104.466666667,102.416666667,103.389412949,99.1157635039
"2006-07",111.35,108.216666667,112.488578964,96.2920529906
"2007-08",116.625,113.391666667,121.47161922,93.3628762695
"2008-09",126.016666667,120.375,133.506336823,90.203219863
"2009-10",130.816666667,123.05,150.999317649,81.6572884785
"2010-11",143.325,130.066666667,176.648429858,73.7146308458
"2011-12",156.133333333,139.508333333,190.442457037,73.2647811547
"2011-12","","","",""
40634.0,152.1,136.6,188.036421444,72.6455007765
40664.0,152.4,137.4,185.567305811,74.043215425
40695.0,153.1,137.9,187.036954608,73.7287453643
40725.0,154.2,138.0,188.999148895,73.0162018225
40756.0,154.9,138.4,190.975293485,72.470107245
40787.0,156.2,139.0,194.177636471,71.5839385659
40817.0,157.0,139.6,194.514591079,71.7683949702
40848.0,157.4,140.4,191.943558013,73.1465027812
40878.0,157.3,140.9,188.221086872,74.8587750404
40909.0,158.7,141.5,189.268264528,74.7616090596
40940.0,159.3,141.8,191.117785169,74.1950833484
40969.0,161.0,142.6,195.451438075,72.959299458
"2012-13","","","",""
41000.0,163.5,143.8,204.383706711,70.3578589085
41030.0,163.9,144.6,204.428541382,70.733763017
41061.0,164.7,145.3,205.896805909,70.569331738
41091.0,165.8,146.1,209.492119938,69.7400933474
41122.0,167.3,147.2,210.79254549,69.831691466
41153.0,168.8,148.0,210.833227353,70.197663745
41183.0,168.5,147.9,209.517359617,70.5908094062
"Nov-12 P",168.8,148.0,210.475293485,70.3170417532
"Dec-12 P",168.6,148.0,210.070607513,70.4525024952
"Source : Office of the Economic Adviser, Ministry of Commerce & Industry. ","","","",""
"a Composite Index of the sub-groups - (Food Articles and Non-food Articles).","","","",""
"P: Provisional","","","",""
