-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "OrissaNSDPconst.csv", 
 "title": "Download CSV for Odisha Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/OrissaNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","617480","601593","616476","524795","639878","635601","569013","521155","632588","477276","627206","651384","671889"
"Foresty and Logging","62717","64381","59150","59651","68210","61203","70708","72152","72354","77744","74273","74702","82086"
"Fishing","36056","41146","41557","45620","51639","48553","47384","45782","51555","52674","57127","58307","54702"
"Mining and Quarrying","70048","78147","92683","100360","117540","126915","140306","151490","150794","209069","242194","280450","266014"
"Sub total of primary","786301","785267","809866","730426","877267","872272","827411","790579","907291","816763","1000800","1064843","1074691"
"Manufacturing","116890","142691","161037","106817","100371","154557","198584","138743","102189","116234","198684","241976","244613"
"Registered","83294","103537","123604","67804","56327","113769","159880","107081","75287","92262","165145","208633","210701"
"Unregistered","33596","39154","37433","39013","44044","40788","38704","31662","26902","23972","33539","33343","33912"
"Construction","107096","114100","111478","104630","119256","111636","137876","123456","123957","104885","102139","116201","119465"
"Electricity, Gas and water Supply","36593","39422","29184","26075","30078","29982","31205","34510","31235","48545","53513","58202","62817"
"Sub total of secondary","260579","296213","301699","237522","249705","296175","367665","296709","257381","269664","354336","416379","426895"
"Transport Storage and Communication","86044","94884","109605","106255","123141","108416","138508","179473","199771","230666","261447","304399","346564"
"Railways","35846","39019","49405","44301","48493","31952","51052","57652","63351","70627","75668","81370","87475"
"Transport by other means","41060","44371","48456","47604","56794","59454","62991","76208","86261","95053","108140","128630","144352"
"Storage","1063","1191","1345","1590","2187","1516","1576","1860","2070","1945","2201","2267","2423"
"Communication","8075","10303","10399","12760","15667","15494","22889","43753","48089","63041","75438","92132","112314"
"Trade, hotels and restaurants","163779","172379","187329","186363","216434","216781","213443","231011","235398","258557","288841","310470","323974"
"Banking and Insurance","46380","51033","53570","73467","84892","72928","89401","97466","111563","136520","146472","164320","184343"
"Real estate, ownership of dwelling and business","95936","98326","100851","103423","106186","108877","111664","115231","118178","122981","126389","129434","135265"
"Pubic Administration","79869","80521","87857","90098","96039","114933","128328","127385","128563","122367","132386","138580","141449"
"Other Services","99600","118737","124154","124885","136492","157797","195246","189307","187248","195611","208489","227801","233916"
"Sub total of tertiary","571608","615880","663366","684491","763184","779732","876590","939873","980721","1066702","1164024","1275004","1365511"
"State domestic product","1618488","1697360","1774931","1652439","1890156","1948179","2071666","2027161","2145393","2153129","2519160","2756226","2867097"

"Figures are in Rs. Lakh"
