-----
{
 "description": "The table shows the Utilization of External Assistance by Source (in US $ Mn.) since 2000-01. It gives details of the Country-wise distribution (including International Institutions) and Type of Assistance.", 
 "file_name": "tab83.xls", 
 "title": "Download XLS for Utilization of External Assistance by Source (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab83.xls"
}
-----
"8.3 (A): UTILIZATION OF EXTERNAL ASSISTANCE BY SOURCE","","","","","","","",""
"","","","","","","","","(` crore)"
"Source and type of assistance","2000-01","2006-07","2007-08","2008-09","2009-10 ","2010-11 ","2011-12  ","2012-13 P"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"I. Consortium Members","","","","","","","",""
"         (a) Loans",11168.6,122468.42,12256.56,16845.33,21001.54,27286.28,22335.49,10879.85
"         (b) Grants",634.0,1650.94,1797.68,1883.76,1819.49,2018.49,2601.15,1071.49
"             Total",11802.6,124119.36,14054.24,18729.09,22821.03,29304.77,24936.7,11951.4
"   Country-wise Distribution","","","","","","","",""
"    (i) Austria","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants","...","...","...","...","...","...","...","..."
"             Total","...","...","...","...","...","...","...","..."
"    (ii) Belgium","","","","","","","",""
"         Loans","...","...","...","...","...","...","...","..."
"    (iii) Canada","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",2.9,2.01,"...","...","...","...","...","..."
"             Total",2.9,2.01,"...","...","...","...","...","..."
"    (iv) Denmark","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",49.5,-15.4,-1.97,"...","...","...","...","..."
"             Total",49.5,-15.4,-1.97,"...","...","...","...","..."
"    (v) France","","","","","","","",""
"         (a) Loans",65.2,4.42,0.09,22.8,"...","...","...",0.1
"         (b) Grants","...","...","...","...","...","...","...","..."
"             Total",65.2,4.42,0.09,22.8,"...","...","...",0.1
"    (vi) Germany","","","","","","","",""
"         (a) Loans",318.9,180.25,146.2,844.5,486.42,1076.9,1556.79,407.61
"         (b) Grants",67.8,213.26,98.99,98.6,78.0,276.23,783.84,51.06
"             Total",386.7,393.51,245.19,943.1,564.42,1353.13,2340.63,458.67
"    (vii) Italy","","","","","","","",""
"         Loans","...","...","...",1.85,"...","...","...","..."
"    (viii) Japan","","","","","","","",""
"         (a) Loans",2714.0,2125.27,3471.37,5861.48,6553.44,6582.2,8474.84,4290.72
"         (b) Grants",15.8,53.5,6.62,"...",2.58,1.53,43.47,"..."
"             Total",2729.8,2178.77,3477.99,5861.5,6556.02,6583.73,8518.31,4290.72
"    (ix) Netherlands","","","","","","","",""
"         (a) Loans",49.5,"...","...","...","...","...","...","..."
"         (b) Grants",70.3,4.54,-1.19,"...","...","...","...","..."
"             Total",70.3,4.54,-1.19,"...","...","...","...","..."
"    (x) Sweden","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants","...","...","...","...","...","...","...","..."
"             Total","...","...","...","...","...","...","...","..."
"    (xi) U.K.","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",307.3,1318.21,1599.27,1709.99,1707.36,1682.22,1689.42,856.44
"             Total",307.3,1318.21,1599.27,1709.99,1707.36,1682.2,1689.42,856.44
"    (xii) U.S.A.","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",81.1,44.56,64.11,57.19,14.16,30.55,55.1,10.46
"             Total",81.1,44.56,64.11,57.19,14.16,30.55,55.1,10.46
"    (xiii) I.B.R.D.","","","","","","","",""
"         (a) Loans",3222.4,4459.35,4390.97,4076.04,7472.08,14533.39,4861.88,3365.82
"         (b) Grants",24.5,15.28,23.14,5.654,11.75,24.07,27.15,153.68
"             Total",3246.9,4474.63,4414.11,4081.694,7483.83,14557.46,4889.1,3519.5
"    (xiv) I.D.A.","","","","","","","",""
"         (a) Loans",4848.1,4291.4,3263.06,5164.13,5566.58,4873.28,7406.06,2793.53
"         (b) Grants",14.8,14.98,8.71,12.31,5.64,3.93,2.17,-0.15
"             Total",4862.9,4306.38,3271.77,5176.44,5572.22,4877.21,7408.3,2793.38
"   (xv) IFAD (International Fund for","","","","","","","",""
"         Agricultural Development)","","","","","","","",""
"         (a) Loans",40.1,111.85,68.26,38.47,64.37,99.07,142.61,108.89
"         (b) Grants","...","...",29.94,10.57,14.14,0.28,5.45,"..."
"             Total",40.1,111.85,98.2,49.04,78.51,99.35,148.06,108.9
"    (xvi) IMF Trust Fund","...","...","...","...","...","...","...","..."
"","","","","","","","","Contd…"
"","","","","","","","",""
"8.3 (A): UTILIZATION OF EXTERNAL ASSISTANCE BY SOURCE (Contd.)","","","","","","","",""
"","","","","","","","","(` crore)"
"Source and type of assistance","2000-01","2006-07","2007-08","2008-09","2009-10 ","2010-11","2011-12  ","2012-13 P"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"II. Russia Fed.& East European Countries","","","","","","","",""
"         Loans",130.1,1407.73,984.87,874.53,923.02,220.54,35.92,22.09
"    Country-wise Distribution","","","","","","","",""
"     (i) Russia Federation.","","","","","","","",""
