-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.5.csv"
}
-----
"State","District","Tanks","Storage","Permanent Diversion","Temporary Diversion","Water Conversation","Total"
"ANDHRA PRADESH","ADILABAD",2444,354,310,5,9,3122
"ANDHRA PRADESH","ANANTHAPUR",1338,375,285,434,254,2686
"ANDHRA PRADESH","CHITTOOR",7182,264,173,161,47,7827
"ANDHRA PRADESH","CUDDAPAH",1115,464,27,147,335,2088
"ANDHRA PRADESH","EAST GODAVARI",1741,54,58,24,56,1933
"ANDHRA PRADESH","GUNTUR",204,12,7,5,6,234
"ANDHRA PRADESH","KARIMNAGAR",4190,1125,1,2,0,5318
"ANDHRA PRADESH","KHAMMAM",1896,828,42,27,7,2800
"ANDHRA PRADESH","KRISHNA",990,30,9,1,1,1031
"ANDHRA PRADESH","KURNOOL",539,24,11,12,48,634
"ANDHRA PRADESH","MAHABOOBNAGAR",2787,4049,12,4,1646,8498
"ANDHRA PRADESH","MEDAK",1506,3536,8,18,97,5165
"ANDHRA PRADESH","NALGONDA",2899,1404,85,47,206,4641
"ANDHRA PRADESH","NELLORE",1591,64,16,1,28,1700
"ANDHRA PRADESH","NIZAMABAD",1662,320,16,13,6,2017
"ANDHRA PRADESH","PRAKASAM",702,226,16,170,12,1126
"ANDHRA PRADESH","RANGAREDDY",699,685,104,88,5,1581
"ANDHRA PRADESH","SRIKAKULAM",7269,159,108,96,112,7744
"ANDHRA PRADESH","VISAKHAPATNAM",3742,141,324,1377,650,6234
"ANDHRA PRADESH","VIZIANAGARAM",9210,106,113,81,8,9518
"ANDHRA PRADESH","WARANGAL",3074,1770,130,34,1,5009
"ANDHRA PRADESH","WEST GODAVARI",1465,24,34,0,14,1537
"ARUNACHAL PRADESH","CHANGLANG",20,42,208,26,0,296
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,6,121,0,127
"ARUNACHAL PRADESH","EAST KAMENG",0,1,162,20,1,184
"ARUNACHAL PRADESH","EAST SIANG",13,33,533,326,0,905
"ARUNACHAL PRADESH","LOHIT",0,7,25,36,0,68
"ARUNACHAL PRADESH","LOWER SUBANSIRI",1,4,529,51,0,585
"ARUNACHAL PRADESH","PAPUMPARE",2,25,105,72,1,205
"ARUNACHAL PRADESH","TAWANG",0,4,39,65,0,108
"ARUNACHAL PRADESH","TIRAP",5,35,72,17,0,129
"ARUNACHAL PRADESH","UPPER SIANG",1,0,40,505,0,546
"ARUNACHAL PRADESH","UPPER SUBANSIRI",2,40,216,227,0,485
"ARUNACHAL PRADESH","WEST KAMENG",0,26,44,0,0,70
"ARUNACHAL PRADESH","WEST SIANG",3,30,75,137,0,245
"ASSAM","BARPETA",0,0,68,3,0,71
"ASSAM","BONGAIGAON",4,1,5,104,1,115
"ASSAM","CACHAR",10,7,2,6,2,27
"ASSAM","DARRANG",136,205,20,16,262,639
"ASSAM","DHUBRI",9,0,5,2,52,68
"ASSAM","GOALPARA",5,49,9,0,0,63
"ASSAM","GOLAGHAT",2,1,16,189,1,209
"ASSAM","HAILAKANDI",0,0,2,0,0,2
"ASSAM","JORHAT",0,0,6,32,2,40
"ASSAM","KAMRUP",0,3,39,1,1,44
"ASSAM","KARBIANGLONG",7,83,71,110,1,272
"ASSAM","KARIMGANJ",0,0,0,1,0,1
"ASSAM","KOKRAJHAR",18,57,96,68,5,244
"ASSAM","LAKHIMPUR",14,0,10,0,0,24
"ASSAM","MORIGAON",0,2,0,0,0,2
"ASSAM","NAGOAN",1,15,5,3,0,24
"ASSAM","NALBARI",0,20,7,1,0,28
"ASSAM","NC HILLS",13,0,25,237,0,275
"ASSAM","SIBSAGAR",2,1,1,3,0,7
"ASSAM","SONITPUR",2,5,41,3,0,51
"BIHAR","ARARIA",0,0,114,0,0,114
"BIHAR","AURANGABAD",280,897,157,306,53,1693
"BIHAR","BANKA",113,1683,350,70,47,2263
"BIHAR","BEGUSARAI",1,2,23,91,15,132
"BIHAR","BHAGALPUR",13,338,73,42,56,522
"BIHAR","BHOJPUR",12,72,24,6,10,124
"BIHAR","BUXAR",0,4,65,0,0,69
"BIHAR","EAST CHAMPARAN",0,0,38,0,0,38
"BIHAR","GAYA",458,4136,674,1025,971,7264
"BIHAR","GOPAALGANJ",2,1,25,1,1,30
"BIHAR","JAMUI",176,1606,59,254,427,2522
"BIHAR","JEHANABAD",189,198,153,52,11,603
"BIHAR","KAIMUR (BHABUA)",104,254,994,49,0,1401
"BIHAR","KATIHAR",0,1,0,0,0,1
"BIHAR","LAKHISARAI",43,174,21,18,10,266
"BIHAR","MADHEPURA",0,0,0,1,0,1
"BIHAR","MADHUBANI",9,63,22,367,0,461
"BIHAR","MUNGER",6,78,74,8,0,166
"BIHAR","MUZAFFARPUR",0,0,23,1,0,24
"BIHAR","NALANDA",93,49,155,21,2,320
"BIHAR","NAWADA",273,1572,481,125,408,2859
"BIHAR","PATNA",184,50,15,49,0,298
"BIHAR","ROHTAS(SASARAM)",347,47,0,16,7,417
"BIHAR","SARAN",0,12,50,0,0,62
"BIHAR","SHEKHPURA",23,76,13,3,36,151
"BIHAR","SITAMARHI",0,3,13,1,0,17
"BIHAR","SIWAN",4,6,39,1,39,89
"BIHAR","SUPAUL",0,11,76,0,0,87
"BIHAR","VAISHALI",0,1,0,0,1,2
"BIHAR","WEST CHAMPARAN",7,11,179,4,4,205
"CHHATTISGARH","BASTER",190,478,127,1474,144,2413
"CHHATTISGARH","BILASPUR",1300,23,131,23,21,1498
"CHHATTISGARH","DANTEWADA",129,2,22,340,10,503
"CHHATTISGARH","DHAMTARI",74,10,17,574,14,689
"CHHATTISGARH","DURG",294,110,69,835,66,1374
"CHHATTISGARH","JANJGIR-CHAMPA",13344,105,76,383,0,13908
"CHHATTISGARH","JASHPUR",1560,23,44,220,8,1855
"CHHATTISGARH","KANKER",53,22,12,106,3,196
"CHHATTISGARH","KORBA",6740,150,390,1009,702,8991
"CHHATTISGARH","KORIA",1141,13,236,54,14,1458
"CHHATTISGARH","KVARDHA",374,135,775,2228,3,3515
"CHHATTISGARH","MAHASAMUND",635,113,51,862,42,1703
"CHHATTISGARH","RAIGARH",5513,515,89,603,700,7420
"CHHATTISGARH","RAIPUR",767,69,962,1227,28,3053
"CHHATTISGARH","RAJNANDGAON",424,152,97,425,14,1112
