-----
{
 "description": "The table refers to state-wise distribution of dug-wells in the command of major/medium projects and average pumping hours. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.11_1.csv", 
 "title": "Download CSV for State wise Dugwells in the command of major/medium projects and average pumping hours for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.11_1.csv"
}
-----
State,Location of Dugwells - On the Maj/Med,Location of Dugwells - Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,82954,1133458,1216412,781313,348115,69160,12388,4034,1402,1216412
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,0,38,38,29,9,0,0,0,0,38
BIHAR,15976,375222,391198,242384,130571,16633,906,315,389,391198
GOA,203,3772,3975,3514,445,15,0,0,1,3975
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,6309,20131,26440,3502,18739,4013,162,23,1,26440
HIMACHAL PRADESH,27,1695,1722,944,616,133,14,10,5,1722
JAMMU & KASHMIR,112,1313,1425,490,935,0,0,0,0,1425
KARNATAKA,56077,265782,321859,202270,97952,16438,2216,1374,1609,321859
KERALA,4929,121766,126695,113685,11506,1058,248,96,102,126695
MADHYA PRADESH,20103,1106336,1126439,320849,420788,246091,88083,49372,1256,1126439
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,0,2,2,2,0,0,0,0,0,2
MIZORAM,1,489,490,490,0,0,0,0,0,490
NAGALAND,0,530,530,345,183,2,0,0,0,530
ORISSA,15479,307618,323097,318481,4021,428,81,46,40,323097
PUNJAB,5387,6284,11671,1160,4669,5665,128,16,33,11671
RAJASTHAN,10364,1032713,1043077,579450,398342,49940,7332,4864,3149,1043077
SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,211586,1098202,1309788,948819,306738,42942,6773,3141,1375,1309788
TRIPURA,0,805,805,270,96,60,32,0,347,805
UTTAR PRADESH,34278,102046,136324,83351,43345,7807,1081,337,403,136324
WEST BENGAL,5134,50849,55983,48620,7363,0,0,0,0,55983
ANDAMAN & NICOBARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,41,372,413,314,74,25,0,0,0,413
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,1,221,222,31,55,87,37,11,1,222
ALL INDIA,468961,5629644,6098605,3650313,1794562,460497,119481,63639,10113,6098605
