-----
{
 "description": "A number of social housing schemes for poor which have been undertaken by the GoI over the last two decades are given in the table.", 
 "file_name": "Social_Housing_Schemes.xls", 
 "title": "Download XLS for Social Housing Schemes - Eleventh Plan Period", 
 "url": "http://data.gov.in/sites/default/files/Social_Housing_Schemes.xls"
}
-----
"Name of the Scheme"," Started in"
"Indira Awas Yojana",1990.0
"EWS Housing Scheme for beedi workers and hamals",1991.0
"National Slum Development Programme ",1996.0
"A two million Housing Programme for EWS/LIG ",1998.0
"PM Gramin Awas Yojana ",2000.0
"Valmiki Ambedkar Awas Yojana (VAMBAY) ",2001.0
"JNNURM (BSUP and IHSDP) ",2005.0
