-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.6.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.6.csv"
}
-----
"State","District","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Sinking","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDAMAN & NICOBARS","ANDAMAN",1241,112,243,68,5,0,428,1669
"ANDAMAN & NICOBARS","NICOBAR",14,6,3,4,0,0,13,27
"ANDHRA PRADESH","ADILABAD",1440,12,0,1,0,1,14,1454
"ANDHRA PRADESH","ANANTHAPUR",0,1,0,0,0,0,1,1
"ANDHRA PRADESH","CHITTOOR",23,0,0,0,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH",400,12,2,2,0,1,17,417
"ANDHRA PRADESH","EAST GODAVARI",56,1,0,0,0,1,2,58
"ANDHRA PRADESH","GUNTUR",1535,8,5,0,0,2,15,1550
"ANDHRA PRADESH","KARIMNAGAR",463,6,1,0,0,1,8,471
"ANDHRA PRADESH","KHAMMAM",4092,100,23,0,0,1,124,4216
"ANDHRA PRADESH","KRISHNA",83,12,5,0,5,1,23,106
"ANDHRA PRADESH","KURNOOL",2075,60,3,4,1,6,74,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",1342,25,0,12,0,0,37,1379
"ANDHRA PRADESH","MEDAK",985,2,0,0,0,0,2,987
"ANDHRA PRADESH","NALGONDA",4311,87,3,22,0,0,112,4423
"ANDHRA PRADESH","NELLORE",2635,173,2,1,5,0,181,2816
"ANDHRA PRADESH","NIZAMABAD",1782,0,0,1,0,0,1,1783
"ANDHRA PRADESH","PRAKASAM",1243,87,0,11,2,6,106,1349
"ANDHRA PRADESH","RANGAREDDY",261,10,0,0,1,0,11,272
"ANDHRA PRADESH","SRIKAKULAM",17,1,0,0,0,15,16,33
"ANDHRA PRADESH","VISAKHAPATNAM",39,8,3,3,0,1,15,54
"ANDHRA PRADESH","VIZIANAGARAM",186,1,0,0,2,10,13,199
"ANDHRA PRADESH","WARANGAL",211,2,1,0,0,0,3,214
"ANDHRA PRADESH","WEST GODAVARI",238,0,1,0,0,0,1,239
"ARUNACHAL PRADESH","DIBANG VALLEY",3,6,0,0,0,0,6,9
"ARUNACHAL PRADESH","LOHIT",2,3,1,0,0,0,4,6
"ARUNACHAL PRADESH","TIRAP",0,0,1,0,0,0,1,1
"ARUNACHAL PRADESH","UPPER SUBANSIRI",1,1,0,0,0,0,1,2
