-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarPradeshNSDPconst.csv", 
 "title": "Download CSV for Uttar Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarPradeshNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","2835747","2936989","2988529","3272141","3064271","3079772","3370073","3317322","3406854","3458091","3553466","3588040"
"Foresty and Logging","47519","32373","22832","37321","55681","139236","143828","150092","154946","158466","162419","166725"
"Fishing","32716","35004","36445","37215","38937","45744","48674","53159","57492","63846","68214","70805"
"Mining and Quarrying","44708","47376","55593","65481","68055","73339","85508","81951","66030","106991","97460","100639"
"Sub total of primary","2960690","3051742","3103399","3412158","3226944","3338091","3648083","3602524","3685322","3787394","3881559","3926209"
"Manufacturing","923494","1082509","1102396","1340136","1227636","1014260","1112030","1077564","1076160","1194474","1254666","1330199"
"Registered","536612","674405","655259","899303","712523","516366","599431","574133","539792","624900","645269","669649"
"Unregistered","386882","408104","447137","440833","515113","497894","512599","503431","536368","569574","609397","660550"
"Construction","322086","322897","373340","388382","454793","515916","543608","587222","598255","656352","695082","734557"
"Electricity, Gas and water Supply","115693","131362","134514","126262","123943","135574","86520","88948","101161","88234","97385","101847"
"Sub total of secondary","1361273","1536768","1610250","1854780","1806372","1665750","1742158","1753734","1775576","1939060","2047133","2166603"
"Transport Storage and Communication","317454","331871","351057","387324","407176","434179","489392","526993","586121","754883","837864","938924"
"Railways","99383","89151","99592","103199","110802","126913","134526","133966","144086","154576","166040","178354"
"Transport by other means","185075","193969","197763","220442","240913","245318","273898","288039","293214","304784","320118","342000"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","32996","48751","53702","63683","55461","61948","80968","104988","148821","295523","351706","418570"
"Trade, hotels and restaurants","1053287","1103240","1124779","1255703","1201894","1241947","1318847","1300936","1327849","1372059","1422599","1440979"
"Banking and Insurance","199362","217180","224453","319743","399398","350834","368376","395016","408297","501233","538567","578682"
"Real estate, ownership of dwelling and business","428057","435998","441426","447190","455261","459987","462711","464722","476456","491617","507308","551050"
"Pubic Administration","302923","291040","321403","334837","399510","405781","447578","446602","446633","440165","486535","544785"
"Other Services","470424","495655","527864","547973","572093","634451","642961","678456","723081","723719","751276","829534"
"Sub total of tertiary","2771507","2874984","2990982","3292770","3435332","3527179","3729865","3812725","3968437","4283676","4544149","4883954"
"State domestic product","7093470","7463495","7704631","8559709","8468648","8531020","9120106","9168983","9429335","10010130","10472841","10976766"

"Figures are in Rs. Lakh"
