-----
{
 "description": "This data is based upon 56th Annual Report on the Working and Administration of the Companies Act, 1956 for year ended 31st March, 2012. Report has been published by The Ministry of Corporate Affairs, Government of India.", 
 "file_name": "Paid-up_Capital_of_Non-Govt_Companies_Ltd_by_Shares_As_On_31st_March_2012-State_Wise_1.xls", 
 "title": "Download XLS for Paid-up Capital of Non-Government Companies Limited By Shares As On 31st March 2012 - State-wise Distribution", 
 "url": "http://data.gov.in/sites/default/files/Paid-up_Capital_of_Non-Govt_Companies_Ltd_by_Shares_As_On_31st_March_2012-State_Wise_1.xls"
}
-----
"STATES/UT","Public Limited - No. of Companies","Public Limited - Paid up Capital*","Private Limited - No. of Companies","Private Limited - Paid up Capital*","Total No. of Companies","Total Paid up Capital*"
"ANDHRA PRADESH",3437.0,65194.29,33157.0,38250.97,36594.0,103445.26
"ARUNACHAL PRADESH",14.0,55.74,110.0,74.52,124.0,130.26
"ASSAM",459.0,2153.18,3609.0,1732.7,4068.0,3885.88
"BIHAR",378.0,553.62,5702.0,1122.15,6080.0,1675.77
"CHHATISGARH",352.0,3787.38,3873.0,2109.07,4225.0,5896.45
"GOA",142.0,1259.1,3420.0,1958.72,3562.0,3217.82
"GUJARAT",3472.0,55424.05,33455.0,27344.8,36927.0,82768.85
"HARYANA",761.0,17286.01,9091.0,16470.05,9852.0,33756.06
"HIMACHAL PRADESH",187.0,5091.31,1756.0,1073.89,1943.0,6165.2
"JAMMU & KASHMIR",71.0,133.72,1128.0,324.48,1199.0,458.2
"JHARKHAND",172.0,3627.68,3461.0,1122.27,3633.0,4749.95
"KARNATAKA",1702.0,32082.74,30908.0,38053.11,32610.0,70135.85
"KERALA",1026.0,5250.5,14017.0,6881.18,15043.0,12131.68
"MADHYA PRADESH",1120.0,8052.83,11995.0,5751.83,13115.0,13804.66
"MAHARASHTRA",10067.0,181019.14,126351.0,141297.4,136418.0,322316.54
"MANIPUR",7.0,64.41,59.0,36.01,66.0,100.42
"MEGHALAYA",98.0,491.98,354.0,336.75,452.0,828.73
"MIZORAM",3.0,10.98,11.0,10.25,14.0,21.23
"NAGALAND",11.0,65.14,84.0,25.58,95.0,90.72
"ORISSA",711.0,6685.75,6892.0,3176.59,7603.0,9862.34
"PUNJAB",1506.0,15098.34,9800.0,4288.75,11306.0,19387.09
"RAJASTHAN",1261.0,8816.5,22707.0,5146.25,23968.0,13962.75
"TAMIL NADU",4370.0,66201.03,40710.0,58081.13,45080.0,124282.16
"TRIPURA",12.0,558.62,82.0,32.88,94.0,591.5
"UTTAR PRADESH",2028.0,15461.52,22249.0,7261.92,24277.0,22723.44
"UTTRAKHAND",143.0,814.86,1772.0,824.45,1915.0,1639.31
"WEST BENGAL",7595.0,41722.32,97153.0,43189.54,104748.0,84911.86
"DELHI",10572.0,111689.38,131336.0,140385.0,141908.0,252074.38
"A & N ISLAND",1.0,3.59,98.0,12.68,99.0,16.27
"CHANDIGARH",626.0,2850.26,4692.0,1568.39,5318.0,4418.65
"DAMAN & DIU",40.0,364.24,109.0,551.65,149.0,915.89
"D & N HAVELI",52.0,2258.77,194.0,172.72,246.0,2431.49
"LAKSHDWEEP",0.0,0.0,8.0,0.08,8.0,0.08
"PUDUCHERRY",56.0,272.46,891.0,1219.95,947.0,1492.41
"TOTAL",52452.0,654401.44,621234.0,549887.71,673686.0,1204289.15
