-----
{
 "description": "The table refers to district wise distribution of surface lift schemes by type. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.5.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes by its type for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.5.csv"
}
-----
"State","District","Lift Scheme - On River","Lift Scheme - On Stream","Lift Scheme - On Drain","Lift Scheme - On Tank/Pond","Total"
"ANDHRA PRADESH","ADILABAD",418,1196,148,38,1800
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",24,80,0,1,105
"ANDHRA PRADESH","CUDDAPAH",70,3,0,0,73
"ANDHRA PRADESH","EAST GODAVARI",17,15,46,0,78
"ANDHRA PRADESH","GUNTUR",108,797,394,6,1305
"ANDHRA PRADESH","KARIMNAGAR",57,289,4,28,378
"ANDHRA PRADESH","KHAMMAM",2488,1975,70,25,4558
"ANDHRA PRADESH","KRISHNA",27,14,53,6,100
"ANDHRA PRADESH","KURNOOL",1160,391,21,11,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",617,186,172,1,976
"ANDHRA PRADESH","MEDAK",179,48,0,2,229
"ANDHRA PRADESH","NALGONDA",611,974,23,278,1886
"ANDHRA PRADESH","NELLORE",834,1128,284,254,2500
"ANDHRA PRADESH","NIZAMABAD",469,733,96,37,1335
"ANDHRA PRADESH","PRAKASAM",306,516,71,131,1024
"ANDHRA PRADESH","RANGA REDDY",163,126,207,0,496
"ANDHRA PRADESH","SRIKAKULUM",29,13,2,0,44
"ANDHRA PRADESH","VIJAYA NAGARAM",123,26,0,3,152
"ANDHRA PRADESH","VISAKHAPATNAM",13,36,0,0,49
"ANDHRA PRADESH","WARANGAL",75,522,1,11,609
"ANDHRA PRADESH","WEST GODAVARI",57,3,65,20,145
"ASSAM","BARPETA",86,38,1,139,264
"ASSAM","BONGAIGAON",16,1,20,99,136
"ASSAM","CACHAR",62,0,0,0,62
"ASSAM","DARRANG",90,28,36,390,544
"ASSAM","DHEMAJI",4,8,0,131,143
"ASSAM","DHUBRI",73,7,1,14,95
"ASSAM","DIBRUGARH",20,14,0,356,390
"ASSAM","GOALPARA",39,19,6,419,483
"ASSAM","GOLAGHAT",34,72,56,195,357
"ASSAM","HAILAKANDI",17,0,0,0,17
"ASSAM","JORHAT",181,43,13,1078,1315
"ASSAM","KAMRUP",85,0,9,653,747
"ASSAM","KARBI ANGLONG",4,7,36,1,48
"ASSAM","KARIMGANJ",24,0,0,0,24
"ASSAM","KOKRAJHAR",18,6,1,94,119
"ASSAM","LAKHIMPUR",8,22,0,123,153
"ASSAM","MARIGAON",145,0,1,321,467
"ASSAM","NAGAON",87,86,1,1792,1966
"ASSAM","NALBARI",41,29,4,152,226
"ASSAM","NORTH CACHAR HILLS",6,0,0,0,6
"ASSAM","SIBSAGAR",97,4,3,518,622
"ASSAM","SONITPUR",86,16,54,385,541
"ASSAM","TINSUKIA",97,107,37,144,385
"BIHAR","ARARIA",9,0,0,0,9
"BIHAR","AURANGABAD",52,1,4,0,57
"BIHAR","BANKA",58,13,7,69,147
"BIHAR","BEGUSARAI",43,2,12,3,60
"BIHAR","BHABUA",42,1,5,13,61
"BIHAR","BHAGALPUR",141,4,6,87,238
"BIHAR","BHOJPUR",32,3,0,10,45
"BIHAR","BOKARO",2,0,11,1,14
"BIHAR","BUXAR",12,0,2,0,14
"BIHAR","CHAMPARAN EAST",50,12,2,14,78
"BIHAR","CHAMPARAN WEST",29,0,15,1,45
"BIHAR","CHATRA",28,17,2,205,252
"BIHAR","DARBHANGA",30,0,1,7,38
"BIHAR","DEOGHAR",135,79,27,333,574
"BIHAR","DHANBAD",17,6,0,76,99
"BIHAR","DUMKA",334,121,35,1312,1802
"BIHAR","GARHWA",53,2,1,28,84
"BIHAR","GAYA",28,0,1,30,59
"BIHAR","GIRIDIH",64,35,10,60,169
"BIHAR","GODDA",53,14,25,304,396
"BIHAR","GOPALGANJ",4,0,0,7,11
"BIHAR","GUMLA",211,41,66,60,378
"BIHAR","HAZARIBAG",47,6,11,30,94
"BIHAR","JAMUI",56,4,4,12,76
"BIHAR","JEHANABAD",5,0,0,0,5
"BIHAR","KATIHAR",6,0,0,1,7
"BIHAR","KHAGARIA",436,4,1,0,441
"BIHAR","KISHANGANJ",10,0,0,0,10
"BIHAR","KODARMA",23,11,1,36,71
"BIHAR","LAKHISARAI",1,0,0,0,1
"BIHAR","LOHARDAGA",73,9,4,12,98
"BIHAR","MADHEPURA",6,0,0,0,6
"BIHAR","MADHUBANI",78,2,6,205,291
"BIHAR","MUNGER",10,0,0,1,11
"BIHAR","MUZAFFARPUR",21,4,1,0,26
"BIHAR","NALANDA",45,6,7,69,127
"BIHAR","NAWADA",18,1,10,0,29
"BIHAR","PAKUR",57,6,13,76,152
"BIHAR","PATNA",20,0,0,29,49
"BIHAR","PURNIA",18,1,0,0,19
"BIHAR","RANCHI",241,27,59,90,417
"BIHAR","ROHTAS",28,16,2,20,66
"BIHAR","SAHARSA",6,4,0,0,10
"BIHAR","SAHEBGANJ",363,117,57,1381,1918
"BIHAR","SAMASTIPUR",44,3,2,2,51
"BIHAR","SARAN",6,0,13,4,23
"BIHAR","SHEIKHPURA",31,0,0,4,35
"BIHAR","SHEOHAR",1,0,0,0,1
"BIHAR","SINGHBHUM EAST",106,50,35,349,540
"BIHAR","SINGHBHUM WEST",238,77,58,1192,1565
"BIHAR","SITAMARHI",45,0,1,3,49
"BIHAR","SIWAN",79,36,3,39,157
"BIHAR","SUPAUL",60,1,0,0,61
"BIHAR","VAISHALI",27,1,1,1,30
"GOA","NORTH GOA",208,62,8,24,302
"GOA","SOUTH GOA",390,29,7,24,450
"HARYANA","AMBALA",0,0,32,0,32
"HARYANA","KAITHAL",148,0,0,0,148
"HARYANA","KURUKSHETRA",2,0,0,0,2
"HIMACHAL PRADESH","Bilaspur",6,72,0,3,81
"HIMACHAL PRADESH","Chamba",6,1,0,0,7
"HIMACHAL PRADESH","Hamirpur",7,43,0,0,50
"HIMACHAL PRADESH","Kangra",51,83,1,0,135
"HIMACHAL PRADESH","Kullu",10,1,0,0,11
"HIMACHAL PRADESH","Mandi",15,36,4,0,55
"HIMACHAL PRADESH","Shimla",3,7,0,0,10
"HIMACHAL PRADESH","Sirmaur",54,8,0,0,62
"HIMACHAL PRADESH","Solan",35,71,0,1,107
"HIMACHAL PRADESH","Una",21,16,0,2,39
"JAMMU & KASHMIR","Anantnagh",12,0,0,0,12
"JAMMU & KASHMIR","Baramulla",56,20,0,30,106
"JAMMU & KASHMIR","Jammu",9,0,35,3,47
"JAMMU & KASHMIR","Kathua",10,0,7,0,17
"JAMMU & KASHMIR","Kupwara",1,2,3,1,7
"JAMMU & KASHMIR","Poonch",3,0,0,0,3
"JAMMU & KASHMIR","Pulwama",40,10,0,0,50
"JAMMU & KASHMIR","Rajouri",23,0,26,0,49
"JAMMU & KASHMIR","Srinagar",16,33,0,0,49
"JAMMU & KASHMIR","Udhampur",0,0,11,0,11
"KARNATAKA","BANGALORE RURAL",61,2,13,142,218
"KARNATAKA","BANGALORE URBAN",20,0,46,11,77
"KARNATAKA","BELGAUM",11284,621,79,22,12006
"KARNATAKA","BELLARY",1782,786,119,596,3283
"KARNATAKA","BIDAR",440,1,12,7,460
"KARNATAKA","BIJAPUR",5203,578,84,452,6317
"KARNATAKA","CHIKKAMAGALORE",220,56,4,16,296
"KARNATAKA","CHITRADURGA",531,722,18,24,1295
"KARNATAKA","DAKSHINA KANNADA",498,30,2,1,531
"KARNATAKA","DHARWAR",2040,667,14,15,2736
"KARNATAKA","GULBARGA",213,94,1,51,359
"KARNATAKA","HASSAN",112,2,5,2,121
"KARNATAKA","KODAGU",20,0,0,5,25
"KARNATAKA","KOLAR",22,4,0,7,33
"KARNATAKA","MANDYA",32,112,1,0,145
"KARNATAKA","MYSORE",121,22,0,10,153
"KARNATAKA","RAICHUR",798,741,38,59,1636
"KARNATAKA","SHIMOGA",1762,438,35,138,2373
"KARNATAKA","TUMKUR",56,4,59,16,135
"KARNATAKA","UTTARA KANNADA",41,83,12,13,149
"KERALA","ALAPUZHA",55,82,11,128,276
"KERALA","ERANAKULAM",305,47,140,551,1043
"KERALA","IDUKKI",46,33,1,122,202
"KERALA","KANNUR",415,134,0,164,713
"KERALA","KASARAGODE",19,8,0,53,80
"KERALA","KOLLAM",5,8,0,6,19
