-----
{
 "description": "This data provides state-wise details on the number of societal development proposals not found suitable during 2011-12 and 2012-13.", 
 "file_name": "Statewise_Number_of_Societal_Development_Proposals_Not_Found_Suitable_During_2011-12_2012-13.xls", 
 "title": "Download XLS for State-wise Number of Societal Development Proposals Not Found Suitable During 2011-12 And 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Statewise_Number_of_Societal_Development_Proposals_Not_Found_Suitable_During_2011-12_2012-13.xls"
}
-----
"Name of States","2011-12","2012-13"
"Andhra Pradesh",9.0,4.0
"Assam",2.0,1.0
"Bihar",1.0,1.0
"Chhattisgarh",1.0,0.0
"Gujarat",1.0,0.0
"Haryana",1.0,0.0
"Karnataka",4.0,6.0
"Kerala",3.0,1.0
"Madhya Pradesh",3.0,0.0
"Maharashtra",12.0,6.0
"Manipur",8.0,3.0
"Nagaland",1.0,0.0
"Orissa",2.0,3.0
"Tamilnadu",31.0,9.0
"Uttar Pradesh",6.0,9.0
"Uttarakhand",2.0,3.0
"West Bengal",6.0,6.0
"Total",93.0,52.0
