-----
{
 "description": "Data covers industry-wise and year-wise details of Industrial Entrepreneurs Memorandum (IEM) filed and Letters of Intent (LOI)/Direct Industrial Licenses (DIL) issued by DIPP.", 
 "file_name": "Industrywise_Investment_Intentions_1.xls", 
 "title": "Download XLS for Industry-wise Investment Proposals Received from Industrial Undertakings during August 1991 to June 2013", 
 "url": "http://data.gov.in/sites/default/files/Industrywise_Investment_Intentions_1.xls"
}
-----
"Scheduled Industries ","IEMs Filed, LOIs/DILs issued during August 1991 to December 2006 (in Nos)","%age of Total Proposals during August 1991 to December 2006","Proposed Investment during Augsut 1991 to Dec 2006 (in Rs.Cr)","%age of Total Proposed Investment during August 1991 to December 2006","IEMs Filed, LOIs/DILs issued during January 2007 to December 2007 (in Nos)","%age of Total Proposals during January 2007 to December 2007","Proposed Investment during January 2007 to December 2007 
(in Rs.Cr)","%age of Total Proposed Investment during January 2007 to December 2007","IEMs Filed, LOIs/DILs issued during January 2008 to December 2008 (in Nos)","%age of Total Proposals during January 2008 to December 2008","Proposed Investment during January 2008 to December 2008 
(in Rs.Cr)","%age of Total Proposed Investment during January 2008 to December 2008","IEMs Filed, LOIs/DILs issued during January 2009 to December 2009 (in Nos)","%age of Total Proposals during January 2009 to December 2009","Proposed Investment during January 2009 to December 2009 
(in Rs.Cr)","%age of Total Proposed Investment during January 2009 to December 2009","IEMs Filed, LOIs/DILs issued during January 2010 to December 2010 (in Nos)","%age of Total Proposals during January 2010 to December 2010","Proposed Investment during January 2010 to December 2010 
(in Rs.Cr)","%age of Total Proposed Investment during January 2010 to December 2010","IEMs Filed, LOIs/DILs issued during January 2011 to December 2011 (in Nos)","%age of Total Proposals during January 2011 to December 2011","Proposed Investment during January 2011 to December 2011 
(in Rs.Cr)","%age of Total Proposed Investment during January 2011 to December 2011","IEMs Filed, LOIs/DILs issued during January 2012 to December 2012 (in Nos)","%age of Total Proposals during January 2012 to December 2012","Proposed Investment during January 2012 to December 2012 
(in Rs.Cr)","%age of Total Proposed Investment during January 2012 to December 2012","IEMs Filed, LOIs/DILs issued during January 2013 to June 2013 (in Nos)","%age of Total Proposals during January 2013 to June 2013","Proposed Investment during January 2013 to June 2013 (in Rs.Cr)","%age of Total Proposed Investment during January 2013 to June 2013"
"11 Earth Moving Machinery",73.0,0.0999958905798,1230.0,0.0494456062152,9.0,0.235725510739,601.0,0.0720408415233,4.0,0.0979192166463,171.0,0.011221562199,2.0,0.0575539568345,112.0,0.0107665494843,3.0,0.0691881918819,44.0,0.00253409217875,9.0,0.230769230769,779.0,0.050593351553,5.0,0.176803394625,265.0,0.0466657744405,4.0,0.302343159486,474.0,0.203279925893
"12 Misc.Mechanical & Engg.Ind",2266.0,3.10398202814,28940.0,1.16337873485,282.0,7.38606600314,11357.0,1.36134415504,148.0,3.62301101591,11591.0,0.760638172211,167.0,4.80575539568,12976.0,1.24738166168,206.0,4.75092250923,11516.0,0.663241034785,186.0,4.76923076923,15881.0,1.0314159384,163.0,5.76379066478,7976.0,1.40455176203,85.0,6.42479213908,2737.0,1.17379147082
"13 Comm/Office/Hhold equpts",294.0,0.40272317576,4706.0,0.189179693373,5.0,0.130958617077,59.0,0.00707222903474,2.0,0.0489596083231,39.0,0.00255930365941,6.0,0.172661870504,1583.0,0.152173641372,12.0,0.276752767528,181.0,0.0104243337353,3.0,0.0769230769231,132.0,0.00857294275353,2.0,0.0707213578501,11.0,0.00193706988244,2.0,0.151171579743,74.0,0.0317356846331
"14 Medical and Surgical Inst",77.0,0.105475117461,715.0,0.0287427710926,7.0,0.183342063908,55.0,0.00659275587984,11.0,0.269277845777,318.0,0.0208681682998,0.0,0.0,0.0,0.0,10.0,0.230627306273,1212.0,0.0698027209239,12.0,0.307692307692,195.0,0.0126645745223,2.0,0.0707213578501,74.0,0.0130311973909,5.0,0.377928949358,505.0,0.216574604591
"15 Industrial Instruments",45.0,0.0616413024122,232.0,0.00932632572514,0.0,0.0,0.0,0.0,3.0,0.0734394124847,67.0,0.00439675244053,1.0,0.0287769784173,2.0,0.00019225981222,3.0,0.0691881918819,24.0,0.0013822320975,0.0,0.0,0.0,0.0,2.0,0.0707213578501,50.0,0.00880486310199,0.0,0.0,0.0,0.0
"16 Scientific Instruments",323.0,0.442447570648,4364.0,0.175431402864,10.0,0.261917234154,165.0,0.0197782676395,9.0,0.220318237454,132.0,0.00866225853954,2.0,0.0575539568345,32.0,0.00307615699552,14.0,0.322878228782,432.0,0.024880177755,5.0,0.128205128205,222.0,0.0144181309946,5.0,0.176803394625,174.0,0.0306409235949,2.0,0.151171579743,51.0,0.0218718907606
"17 Math,Survey,Drawing Inst.",5.0,0.00684903360136,114.0,0.00458276350287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18 Fertilizers",742.0,1.01639658644,25809.0,1.03751353724,19.0,0.497642744893,245.0,0.0293677307375,34.0,0.832313341493,835.0,0.0547953475797,38.0,1.09352517986,2183.0,0.209851585038,33.0,0.761070110701,3068.0,0.176695336464,45.0,1.15384615385,9046.0,0.587506364761,51.0,1.80339462518,10443.0,1.83898370748,21.0,1.5873015873,20149.0,8.64111229286
"19 Chemicals(Except Fertilizers)",9127.0,12.5022259359,276603.0,11.1193520455,308.0,8.06705081194,32749.0,3.92556658743,318.0,7.78457772338,151088.0,9.9148736229,232.0,6.67625899281,20833.0,2.00267433399,329.0,7.58763837638,32768.0,1.88720755712,278.0,7.12820512821,37785.0,2.4540048632,192.0,6.78925035361,74271.0,13.078919749,81.0,6.12244897959,37887.0,16.2482416715
"20 Photographic raw film/Paper ",123.0,0.168486226593,1137.0,0.0457070359892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
