-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"PLAN ES","A UT Puducherry",148.6001,153.0622,186.3826,181.055,207.1974,261.1949,391.2045,473.9929,379.6124,363.769,494.0713,602.9733
"PLAN ES","Andhra Pradesh",4457.8942,5738.9191,6746.1664,6029.6657,7323.9556,8010.4513,9895.1052,12806.4219,17650.609,16912.6081,17876.1668,16367.4017
"PLAN ES","Arunachal Pradesh",349.9306,399.3274,442.2334,431.2105,597.1709,513.8956,636.9193,790.373,921.5101,1639.3853,1546.8528,1971.7506
"PLAN ES","Assam",825.412,913.5711,973.3808,861.026,1137.3515,1789.8929,1885.3929,2220.0843,2412.4602,3248.8448,4023.7769,3702.9225
"PLAN ES","Bihar",2097.7483,1399.3692,1134.0775,1655.653,1957.7137,2201.8925,2693.6147,5907.6004,6990.0958,8413.6743,8882.8767,11531.3971
"PLAN ES","Chattisgarh",0.0,253.959,764.3851,1215.0962,1961.3189,1630.7107,2102.0078,2691.4349,3951.3445,3924.5626,4304.1271,5070.6246
"PLAN ES","D NCT Delhi",491.2423,1757.5368,2215.7405,2412.3863,2499.1186,1872.3648,1658.2205,1843.9819,3542.1255,3686.1128,4589.7158,3919.6075
"PLAN ES","Goa",121.9144,160.8629,191.404,230.0669,285.5187,376.2022,524.7156,564.5844,636.6631,760.6913,951.5272,1121.1337
"PLAN ES","Gujarat",3749.1133,4024.0374,1788.0996,2291.0052,4003.132,4843.7986,7388.8535,8490.4095,8642.5708,13018.3234,12114.1563,14644.8188
"PLAN ES","Haryana",1140.9555,1205.8507,1248.3491,1137.2501,1264.988,1475.035,1851.1071,2608.8598,3259.4635,3901.7826,4770.5482,4558.8173
"PLAN ES","Himachal Pradesh",772.7707,822.3077,830.85,1162.0442,738.0444,676.3531,899.8824,932.1887,1174.2564,1554.2468,1885.3522,2028.9216
