-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "MeghalayaGSDPconst.csv", 
 "title": "Download CSV for Meghalaya Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MeghalayaGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","34424","34626","40435","43339","44085","46189","53473","55023","57537","59384","60673","62024"
"Foresty and Logging","2157","2858","3223","3016","2419","2214","2117","2383","2404","2631","3107","3691"
"Fishing","1622","1648","1453","1779","1990","1858","1919","2468","1973","2158","2061","2118"
"Mining and Quarrying","9530","12172","11765","12145","11912","18092","17543","17527","22531","19490","23940","29383"
"Sub total of primary","47733","51304","56876","60279","60406","68353","75052","77401","84445","83663","89781","97216"
"Manufacturing","3956","4655","4916","5310","4655","4344","4963","5466","5194","7666","8025","8412"
"Registered","1401","1435","1416","1819","1455","1449","1732","1799","1910","4239","4408","4583"
"Unregistered","2555","3220","3500","3491","3200","2895","3231","3667","3284","3427","3617","3829"
"Construction","10383","9879","11790","13285","16725","18985","19611","24669","26825","28697","31416","32471"
"Electricity, Gas and water Supply","7218","5713","6617","6299","7278","7277","7752","8175","8020","8126","8234","8343"
"Sub total of secondary","21557","20247","23323","24894","28658","30606","32326","38310","40039","44489","47675","49226"
"Transport Storage and Communication","7663","7922","8565","9095","9669","10122","11373","12371","13363","17499","18764","20132"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","7024","7247","7679","8147","8552","9073","9734","10350","10523","11299","11932","12605"
"Storage","5","5","6","6","7","10","5","10","8","11","12","12"
"Communication","634","670","880","942","1110","1039","1634","2011","2832","6189","6820","7515"
"Trade, hotels and restaurants","19641","22784","24859","25505","25825","29340","30636","34158","38111","37885","40762","43857"
"Banking and Insurance","2972","3418","3367","3961","5175","5657","5884","6817","6797","8672","9317","10010"
"Real estate, ownership of dwelling and business","18719","18952","19728","20254","20794","21456","22082","22757","23380","23954","24630","25321"
"Pubic Administration","20882","20199","21609","22156","25803","27713","29270","30894","30008","31817","34333","35548"
"Other Services","11920","11806","14734","13306","14212","16004","18995","18503","21114","21079","22634","23918"
"Sub total of tertiary","81797","85081","92862","94277","101478","110292","118240","125500","132773","140906","150440","158786"
"State domestic product","151087","156632","173061","179450","190542","209251","225618","241211","257257","269058","287896","305228"

"Figures are in Rs. Lakh"
