-----
{
 "description": "This table shows the Revenue Earning Goods Traffic on Indian Railways by Goods Carried (in million tonnes). It gives commodity-wise details regarding the Revenue Earning Goods Traffic for the years 1950-51, 1960-61, 1970-71, 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and 2011-12.", 
 "file_name": "tab126.xls", 
 "title": "Download XLS for Revenue Earning Goods Traffic on Indian Railways: Goods Carried(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab126.xls"
}
-----
"1.26: REVENUE EARNING GOODS TRAFFIC ON INDIAN RAILWAYS","","","","","","","","","","",""
"                                                                                   A: TRAFFIC ORIGINATING                                                                                                   (million tonnes)","","","","","","","","","","",""
"COMMODITY","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2007-08a","2008-09a","2009-10a","2010-11a","2011-12pa"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
"","","","","","","","","","","",""
"1. Coal",20.2,30.9,47.9,64.08,135.16,223.68,336.83,369.6,396.2,420.4,455.81
"2. Raw materials for S.P. except iron ore","na",10.5,16.1,20.17,25.9,38.75,11.18,10.9,11.6,13.3,14.51
"3. Pig iron & finished steel","","","","","","","","","","",""
"i)   steel plants","na",3.8,6.2,7.53,10.01,11.79,20.75,22.0,24.2,24.1,25.68
"ii)  from other points","na","na","na","na","na","na",5.04,6.6,7.7,8.8,9.47
"iii) Total","na","na","na","na","na","na",25.79,28.6,31.9,32.8,35.15
"4. Iron ore ","","","","","","","","","","",""
"i) for export","na",2.6,9.8,11.07,13.14,14.56,53.74,45.8,43.6,25.7,8.35
"ii) for steel plants","na","na","na","na","na","na",43.61,42.9,44.3,44.7,54.74
"iii) for other domestic users","na","na","na","na","na","na",39.34,41.9,44.8,48.1,40.29
"iv) Total","na","na","na","na","na","na",136.69,130.6,132.7,118.5,103.38
"5. Cement",2.5,6.5,11.0,9.64,28.88,42.88,78.99,86.2,93.2,99.1,107.66
"6. Foodgrains",7.8,12.7,15.1,18.33,25.35,26.68,38.23,35.5,38.7,43.5,46.34
"7. Fertilizers","na",1.4,4.7,8.11,18.36,27.12,35.83,41.4,43.7,48.2,52.68
"8. POL",2.7,4.7,8.9,14.95,24.99,36.25,35.88,38.1,38.9,39.3,39.77
"9. Container Service","","","","","","","","","","",""
"i) Domestic Container","na","na","na","na","na","na",3.74,7.1,9.6,11.0,9.47
"ii) EXIM Container","na","na","na","na","na","na",17.39,23.3,25.3,26.6,28.54
"iii) Total","na","na","na","na","na","na",21.13,30.3,35.0,37.6,38.01
"10. Balance (other goods)",40.0,46.7,48.2,42.06,36.61,51.79,73.34,62.2,66.1,69.2,75.74
"11. Total revenue earning  freight traffic",73.2,119.8,167.9,195.94,318.4,473.5,793.89,833.4,887.8,921.7,969.05
"                   Source: Ministry of Railways","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","B. GOODs CARRIED","","","","","","",""
"","","","","","","                                                    (Billion tonne km.)","","","","",""
"COMMODITY","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2007-08 ","2008-09","2009-10a","2010-11a","2011-12Pa"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
"","","","","","","","","","","",""
"1. Coal",11.27,20.53,27.84,36.37,85.9,133.44,208.49,230.1,247.0,268.3,291.45
"2. Raw materials for S.P. except iron ore","na",1.98,2.71,4.25,7.51,13.53,7.85,7.5,8.9,9.8,10.27
"3. Pig iron & finished steel","","","","","","","","","","",""
" i)   steel plants","na",3.32,6.2,8.56,11.56,12.05,21.23,22.2,25.4,24.9,26.31
"ii)  from other points","na","na","na","na","na","na",3.84,4.7,6.1,7.4,7.61
"iii) Total","na","na","na","na","na","na",25.07,27.0,31.5,32.2,33.92
"4. Iron ore ","","","","","","","","","","",""
"i) for export","na","na",5.49,7.29,7.54,7.93,27.58,21.9,25.0,15.5,2.02
"ii) for steel plants","na","na","na","na","na","na",10.84,10.1,10.0,9.6,14.3
"iii) for other domestic users","na","na","na","na","na","na",15.65,18.8,19.0,21.2,19.68
"iv) Total","na","na","na","na","na","na",54.07,50.8,54.0,46.4,36.0
"5. Cement","na",2.47,6.99,7.19,18.94,24.91,43.21,46.5,53.8,57.0,62.04
"6. Foodgrains",4.0,9.62,14.51,24.31,35.59,33.1,46.86,45.6,50.3,52.0,57.92
"7. Fertilizers","na","na",3.81,8.92,17.27,23.0,25.81,33.1,36.6,40.7,43.91
"8. POL","na",2.56,5.26,11.66,15.12,19.87,23.4,24.0,24.9,26.1,26.1
"9. Container Service","","","","","","","","","","",""
"i) Domestic Container","…","…","…","…","…","…",4.8,9.7,12.7,13.8,13.63
"ii) EXIM Container","…","…","…","…","…","…",18.3,28.4,31.6,27.2,31.61
"iii) Total","…","…","…","…","…","…",23.1,38.1,44.3,41.0,45.24
"10. Balance (other goods)",22.3,31.85,37.89,39.1,36.36,44.54,63.51,48.8,49.5,52.3,60.76
"11. Total revenue earning  freight traffic",37.57,72.33,110.7,147.65,235.79,312.37,521.37,551.5,600.6,625.7,667.61
"Source: Ministry of Railways","","","","","","","","","","",""
"P Provisional        a Excluding Konkan Railways             na: not available","","","","","","","","na: Not available","","",""
