-----
{
 "description": "The table refers to District wise Potential Utilized through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.10.csv", 
 "title": "Download CSV for Districtwise Potential Utilized through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.10.csv"
}
-----
"State","District","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH","ADILABAD",24145,1794,242,3,26183
"ANDHRA PRADESH","ANANTHAPUR",6601,3420,0,0,10020
"ANDHRA PRADESH","CHITTOOR",8932,27590,5,0,36527
"ANDHRA PRADESH","CUDDAPAH",6078,1380,0,0,7458
"ANDHRA PRADESH","EAST GODAVARI",35524,2207,651,76,38458
"ANDHRA PRADESH","GUNTUR",5771,378,2,7,6159
"ANDHRA PRADESH","KARIMNAGAR",32213,12286,0,0,44499
"ANDHRA PRADESH","KHAMMAM",53526,1861,0,0,55387
"ANDHRA PRADESH","KRISHNA",34567,4264,315,176,39322
"ANDHRA PRADESH","KURNOOL",13655,2694,0,236,16585
"ANDHRA PRADESH","MAHABOOBNAGAR",11459,1913,30,8,13410
"ANDHRA PRADESH","MEDAK",7501,1435,187,0,9123
"ANDHRA PRADESH","NALGONDA",11699,7384,350,0,19434
"ANDHRA PRADESH","NELLORE",10862,57006,7,79,67954
"ANDHRA PRADESH","NIZAMABAD",29786,3044,96,6,32932
"ANDHRA PRADESH","PRAKASAM",12257,13527,681,790,27255
"ANDHRA PRADESH","RANGAREDDY",2440,1426,449,30,4345
"ANDHRA PRADESH","SRIKAKULAM",103107,161,256,0,103523
"ANDHRA PRADESH","VISAKHAPATNAM",69016,2637,13668,148,85468
"ANDHRA PRADESH","VIZIANAGARAM",89013,1461,2060,58,92592
"ANDHRA PRADESH","WARANGAL",164175,19872,580,941,185568
"ANDHRA PRADESH","WEST GODAVARI",31036,984,32,2,32054
"ARUNACHAL PRADESH","CHANGLANG",2911,265,10,107,3293
"ARUNACHAL PRADESH","DIBANG VALLEY",1756,637,0,527,2920
"ARUNACHAL PRADESH","EAST KAMENG",1782,403,11,23,2219
"ARUNACHAL PRADESH","EAST SIANG",10514,449,31,187,11181
"ARUNACHAL PRADESH","LOHIT",1614,178,10,97,1899
"ARUNACHAL PRADESH","LOWER SUBANSIRI",7476,0,0,0,7476
"ARUNACHAL PRADESH","PAPUMPARE",2181,386,143,182,2892
"ARUNACHAL PRADESH","TAWANG",935,430,12,46,1422
"ARUNACHAL PRADESH","TIRAP",1077,32,0,72,1181
"ARUNACHAL PRADESH","UPPER SIANG",5443,0,0,17,5460
"ARUNACHAL PRADESH","UPPER SUBANSIRI",916,34,12,28,990
"ARUNACHAL PRADESH","WEST KAMENG",719,246,0,0,965
"ARUNACHAL PRADESH","WEST SIANG",3648,62,0,141,3851
"ASSAM","BARPETA",283,26,35,4,347
"ASSAM","BONGAIGAON",3556,1352,20,190,5118
"ASSAM","CACHAR",80,65,2,9,155
"ASSAM","DARRANG",5675,1531,10,166,7382
"ASSAM","DHUBRI",196,148,0,18,361
"ASSAM","GOALPARA",5471,250,100,538,6359
"ASSAM","GOLAGHAT",1,2,2,1,6
"ASSAM","HAILAKANDI",0,0,0,30,30
"ASSAM","JORHAT",269,75,0,0,344
"ASSAM","KAMRUP",5679,2230,55,0,7964
