-----
{
 "description": "The table refers to statewise distribution of dugwells according to construction over the years. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.\r", 
 "file_name": "Natdgwltab1.1.csv", 
 "title": "Download CSV for State wise Construction of Dugwells over the years  for 2nd census Minor Irrigation Schemes", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.1.csv"
}
-----
"State","Upto 1986-87","During 1987-88","During 1988-89","During 1989-90","During 1990-91","During 1991-92","During 1992-93","During 1993-94","Total"
"ANDHRA PRADESH",873200,93543,68716,56060,46706,33653,23908,20626,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM",11,2,2,6,5,1,3,8,38
"BIHAR",171091,29630,37604,26719,41907,34353,27527,22367,391198
"GOA",2558,200,252,206,218,180,199,162,3975
"GUJARAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA",13104,3331,2680,3030,1603,1130,967,595,26440
"HIMACHAL PRADESH",1324,74,52,39,52,70,36,75,1722
"JAMMU & KASHMIR",1336,46,14,15,10,4,0,0,1425
"KARNATAKA",202891,30041,23282,19410,16002,10834,5968,13431,321859
"KERALA",29908,8407,7628,17103,20856,18129,13898,10766,126695
"MADHYA PRADESH",717172,69623,63090,63533,79651,50491,48514,34365,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,0,0,0,1,1,0,2
"MIZORAM",60,149,110,40,44,29,38,20,490
"NAGALAND",446,0,17,26,16,6,5,14,530
"ORISSA",204435,16550,12550,14960,20761,19782,18710,15349,323097
"PUNJAB",8591,825,733,521,415,260,191,135,11671
"RAJASTHAN",817915,47229,45256,35734,30775,26851,20074,19243,1043077
"SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU",1082721,70511,38277,27229,20526,10940,5185,54399,1309788
"TRIPURA",114,40,52,33,61,109,79,317,805
"UTTAR PRADESH",79183,10798,9365,8537,8598,6869,5927,7047,136324
"WEST BENGAL",21454,4812,4224,4357,4512,3932,3984,8708,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",154,15,26,59,52,22,47,38,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY",153,16,16,8,17,4,2,6,222
"ALL INDIA",4227821,385842,313946,277625,292787,217650,175263,207671,6098605
