-----
{
 "description": "This dataset contains the list of certified varieties of horticulture crops  released during 2002-2009. The crops include  vegetable crops, fruits, floriculture crops, tuber crops, medicinal crops, aromatic crops, seed spices, spices and plantation crops.", 
 "file_name": "Horticultural_Crops_Varieties_Certified_List_2002-09.xls", 
 "title": "Download XLS for Horticulture Crops Varieties", 
 "url": "http://data.gov.in/sites/default/files/Horticultural_Crops_Varieties_Certified_List_2002-09.xls"
}
-----
"Name of Crop",2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
"Potato","NA","NA","NA","Kufari Surya","NA","NA","Kufri Himsona","Kufri Frysona"
"Potato","NA","NA","NA","Kufri Pushkar","NA","NA","Kufri Sadabahar","NA"
"Potato","NA","NA","NA","Kufri Shailja","NA","NA","Kufri Girdhari","NA"
"Potato","NA","NA","NA","Kufri Chipsona-3","NA","NA","NA","NA"
"Potato","NA","NA","NA","Kufri Himalini","NA","NA","NA","NA"
"Potato","NA","NA","NA","Kufri Arun","NA","NA","Kufri Khyati","NA"
"Watermelon","NA","Durgapura Lal (RW 177-3)","NA","NA","NA","Thar Manak","NA","NA"
"Amaranthus","NA","Konkan","NA","NA","NA","NA","NA","NA"
"Amaranthus","NA","Durangi","NA","NA","NA","NA","NA","NA"
"Ash Gourd","NA","Pusa Ujwal (DAG-1)","NA","NA","NA","NA","NA","NA"
"Pumpkin","NA","NA","Sooraj (CM-350)","NDPK-24","NA","NA","NA","NA"
"Brinjal","NA","NA","Gujrat Brinjal Long-1","Kashi Prakash(IVBT-1)","NA","NA","NA","NA"
"Brinjal","NA","NA","Brinjal Hybrid-2 (GBH-2)","Swarna Shobha(HABR-4)","NA","NA","NA","NA"
"Brinjal","NA","NA","Utkal Jyoti (BB-13)","NA","NA","NA","NA","NA"
"Brinjal","NA","NA","Swarna Pratibha (CH-309)","NA","NA","NA","NA","NA"
"Brinjal","NA","NA","Swarna Mani (CHTH-1)","NA","NA","NA","NA","NA"
"Mushmelon","NA","NA","RM-50, MHY-5","NA","NA","NA","NA","NA"
"Snap Melon","NA","NA","Pusa Shandar (DSM-1)","NA","NA","NA","NA","NA"
"Spong Gourd","NA","NA","Pusa Sneha","Swarna Prabha(CHSG-1)","NA","NA","NA","NA"
"Spong Gourd","NA","NA","NA","Gujarat Sponge Gourd-1(JSGL-55)","NA","NA","NA","NA"
"Cauliflower","NA","NA","Pusa Sharad (sel-303-1-2)","Kashi Kuwari(IVCE-2)","NA","NA","NA","NA"
"Cauliflower","NA","NA","Pusa Meghna (DC/98-2)","NA","NA","NA","NA","NA"
"Cauliflower","NA","NA","Pusa Snowball K-25 (Kt-25)","NA","NA","NA","NA","NA"
"Vegetable Muskard","NA","NA","Pusa Saag-1 (MR-704)","NA","NA","NA","NA","NA"
"Chilli","NA","NA","NA","Arka Suphal (PMR 57/88 K)","NA","Arka","NA","NA"
"Chilli","NA","NA","Utkal Ava (BC-14-2)","Gujarat Veg.","NA","Arka aweta","NA","NA"
"Chilli","NA","NA","NA","Prasanth(LCA- 334)","NA","Arka Meghana","NA","NA"
"Chilli","NA","NA","NA","Kashi Anmol(KA-2)","NA","NA","NA","NA"
"Chilli","NA","NA","NA","Chilli-101(Anand Jyot 101)","NA","NA","NA","NA"
"Cowpea","NA","NA","NA","Kashi Shyamal(IVRCP-1)","NA","NA","NA","NA"
"Garlic","NA","NA","VL Garlic -1 (VLG-7)","Jamuna Safed-4(G-323)","NA","NA","NA","Bhima Omkar"
"Okra","NA","NA","NA","Kashi Pragati(VRO-6)","NA","NA","NA","NA"
"Okra","NA","NA","NA","Kashi Vibhuti(VRO-5)","NA","NA","NA","NA"
"Okra Hybrid","NA","NA","NA","HBH-142","NA","NA","NA","NA"
"Okra Hybrid","NA","NA","NA","Kashi Bhairo (DVR-3)","NA","NA","NA","NA"
"Cucumber","NA","NA","Swarna Poona (CH-20)","NA","NA","NA","NA","NA"
"Onion","NA","NA","RO-1(Rajasthan Onion-1)","NA","NA","NA","NA","Bhima Red"
"Tomato","NA","NA","Sankranthi (TLB-11)","Kashi Hemant (IIVR Sel-1)","NA","NA","NA","NA"
"Tomato","NA","NA","Nandi (TLB-130)","Kashi Sharad(IIVR Sel-2)","NA","NA","NA","NA"
"Tomato","NA","NA","Vybhat (TLB-182)","Kashi Vishesh (H-86)","NA","NA","NA","NA"
"Tomato","NA","NA","Swaprna Baibhay(CHTH-1)","NA","NA","NA","NA","NA"
"Tomato Hyb.","NA","NA","NA","Arka Ananya (TLBRH-9)","NA","NA","NA","NA"
"Pea","NA","NA","Sankranthi (TLB-11)","Kashi Nandini(VRP-5)","NA","NA","NA","NA"
"Pea","NA","NA","Nandi (TLB-130)","Narendra Subzi Matar-6","NA","NA","NA","NA"
"Pea","NA","NA","Vybhat (TLB-182)","NA","NA","NA","NA","NA"
"Khejri","NA","NA","NA","NA","NA","Thar Shobha","NA","NA"
"Bottle gourd","NA","NA","NA","NA","NA","Thar Samridhi","NA","NA"
"French bean","NA","NA","NA","NA","NA","NA","Arka Anoop","NA"
"Garden pea","NA","NA","NA","NA","NA","Arka Karthik","NA","NA"
"Garden pea","NA","NA","NA","NA","NA","Arka Sampoorna","NA","NA"
"Carrot","NA","NA","NA","NA","NA","Arka Suraj","NA","NA"
"Cashew-nut","NA","NA","NA","Bhaskar","NA","Chintamani-2","NA","NA"
"Cashew-nut","NA","NA","NA","NA","NA","VRI(CW)-5","NA","NA"
"Cashew-nut","NA","NA","NA","NA","NA","Goa-2","NA","NA"
"Coconut (palms)","Coconut","NA","NA","NA","NA","NA","Kalpa Pratibha","NA"
"Coconut (palms)","Arasam-patti Tall/ Aliyar nagar-1","NA","NA","NA","NA","NA","Kalpa Mitra","NA"
"Coconut (palms)","NA","NA","NA","NA","NA","NA","Kalpa Dhenu","NA"
"Coconut (palms)","NA","NA","NA","NA","NA","NA","Kalparaksha","NA"
"Turmeric","NA","NA","IISR Kedaram IISR","NA","IISR, Kedaram","NA","NA","NA"
"Turmeric","NA","NA","Alleppey Supreme","NA","IISR Alleppey Supreme","NA","NA","NA"
"Ginger","IISR Rejatha","NA","NA","IISR Nahima","NA","NA","NA","NA"
"Ginger","IISR Mahima","NA","NA","IISR Rajitha","NA","NA","NA","NA"
