-----
{
 "description": "The table refers to Statewise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.9.csv", 
 "title": "Download CSV for Statewise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.9.csv"
}
-----
"State","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDHRA PRADESH",1457140,1267617,441183,23620,4387,1736807
"ARUNACHAL PRADESH",69780,65148,7400,472,2801,75821
"ASSAM",78208,68548,22381,842,1842,93613
"BIHAR",497784,451631,96158,7450,8898,564137
"CHHATTISGARH",240814,216071,69008,1177,230,286486
"GOA",7245,459,5635,1281,169,7544
"GUJARAT",394445,249746,81343,570,149695,481354
"HARYANA",3367,2359,2900,128,2,5389
"HIMACHAL PRADESH",88417,78761,75907,4405,55,159128
"JAMMU & KASHMIR",236578,223047,109803,3627,142,336619
"JHARKHAND",137395,116851,37981,3550,2135,160517
"KARNATAKA",400641,271687,65010,34879,69494,441070
"KERALA",104435,66330,65008,31254,77453,240045
"MADHYA PRADESH",362055,96411,283201,419,20972,401003
"MAHARASHTRA",457776,281181,168780,32411,20975,503347
"MANIPUR",26308,28852,6776,0,861,36489
"MEGHALAYA",75380,67238,16012,7147,618,91015
"MIZORAM",9392,7429,1010,99,1959,10497
"NAGALAN D",79200,88831,13474,386,199,102890
"ORISSA",598101,573712,112888,2122,778,689500
"PUNJAB",3703,3658,3656,10,0,7324
"RAJASTHAN",148231,58179,126026,1940,1921,188066
"SIKKIM",20251,13368,6444,2121,1219,23152
"TAMIL NADU",871020,453280,600573,81092,35966,1170911
"TRIPURA",14596,7071,11070,169,1029,19339
"UTTAR PRADESH",34428,19547,20291,10134,1404,51376
"UTTARANCHAL",177019,135668,126275,27154,7590,296687
"WEST BENGAL",329399,270331,108553,5507,86290,470681
"DADRA & NAGAR HAVELI",136,136,99,4,0,239
"DELHI",135,116,128,0,0,244
"PONDICHERRY",11927,4427,8188,60,174,12849
"ALL INDIA",6935306,5187690,2693161,284030,499258,8664139
