-----
{
 "description": "The table refers to Statewise Potential Utilized through Deep Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlNat3.12.csv", 
 "title": "Download CSV for Statewise Potential Utilized through Deep Tubewells", 
 "url": "http://data.gov.in/sites/default/files/dptbwlNat3.12.csv"
}
-----
"State","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH",126727,82896,30480,2403,242506
"ARUNACHAL PRADESH",10,0,0,0,10
"ASSAM",4570,2030,420,166,7186
"BIHAR",21045,30273,2520,2386,56224
"CHHATTISGARH",7170,5135,269,15,12589
"GOA",1,4,54,1,60
"GUJARAT",270261,450179,69457,106309,896206
"HARYANA",90326,96730,427,8,187491
"HIMACHAL PRADESH",3811,6599,439,43,10892
"JAMMU & KASHMIR",218,162,0,0,380
"JHARKHAND",79,59,0,0,138
"KARNATAKA",160,76,160,28,424
"KERALA",134,198,339,244,915
"MADHYA PRADESH",20822,73692,1665,577,96756
"MAHARASHTRA",52390,44583,40887,5895,143755
"MEGHALAYA",162,82,11,3,258
"NAGALAND",0,0,0,0,0
"ORISSA",3260,7619,313,35,11227
"PUNJAB",54662,57130,2551,494,114837
"RAJASTHAN",111151,320431,2169,8369,442120
"TAMIL NADU",42948,25275,26385,3664,98272
"TRIPURA",1140,1496,83,131,2850
"UTTAR PRADESH",519608,733434,212200,88080,1553322
"UTTARANCHAL",23271,24304,9352,2462,59389
"WEST BENGAL",56681,32987,8024,40657,138349
"CHANDIGARH",616,618,38,97,1369
"DELHI",3284,3347,171,101,6903
"PONDICHERRY",653,614,81,250,1598
"ALL INDIA",1415160,1999953,408495,262418,4086026
