-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,0,8,8
ANDHRA PRADESH,ADILABAD,ADILABAD,79,194,196,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,36,7,27,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,84,189,130,403
ANDHRA PRADESH,ADILABAD,BEJJUR,56,209,57,322
ANDHRA PRADESH,ADILABAD,BELA,20,43,265,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,132,16,383,531
ANDHRA PRADESH,ADILABAD,BHAINSA,1,0,20,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,98,26,150,274
ANDHRA PRADESH,ADILABAD,BOATH,16,22,56,94
ANDHRA PRADESH,ADILABAD,CHENNUR,121,49,202,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,129,104,147,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,102,118,1576,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,87,118,671,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,44,178,200,422
ANDHRA PRADESH,ADILABAD,ICHODA,115,138,273,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,36,543,164,743
ANDHRA PRADESH,ADILABAD,JAINAD,13,8,156,177
ANDHRA PRADESH,ADILABAD,JAINOOR,20,185,35,240
ANDHRA PRADESH,ADILABAD,JAIPUR,150,60,306,516
ANDHRA PRADESH,ADILABAD,JANNARAM,82,52,243,377
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,343,227,1194,1764
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,28,15,292,335
ANDHRA PRADESH,ADILABAD,KASIPET,22,86,55,163
ANDHRA PRADESH,ADILABAD,KERAMERI,42,61,80,183
ANDHRA PRADESH,ADILABAD,KHANPUR,329,350,1832,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,37,16,75,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,114,114,156,384
ANDHRA PRADESH,ADILABAD,KUBEER,1,2,51,54
ANDHRA PRADESH,ADILABAD,KUNTALA,6,5,15,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,299,49,859,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,19,52,89,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,182,10,1388,1580
ANDHRA PRADESH,ADILABAD,MAMDA,116,168,246,530
ANDHRA PRADESH,ADILABAD,MANCHERIAL,327,65,1536,1928
ANDHRA PRADESH,ADILABAD,MANDAMARRI,151,46,400,597
ANDHRA PRADESH,ADILABAD,NARNOOR,48,544,15,607
ANDHRA PRADESH,ADILABAD,NENNAL,90,68,198,356
ANDHRA PRADESH,ADILABAD,NERADIGONDA,24,67,35,126
ANDHRA PRADESH,ADILABAD,NIRMAL,212,123,1426,1761
ANDHRA PRADESH,ADILABAD,REBBANA,105,80,123,308
ANDHRA PRADESH,ADILABAD,SARANGAPUR,51,20,125,196
ANDHRA PRADESH,ADILABAD,SIRPUR (T),100,51,199,350
ANDHRA PRADESH,ADILABAD,SIRPUR (U),6,370,9,385
ANDHRA PRADESH,ADILABAD,TALAMADUGU,108,173,438,719
ANDHRA PRADESH,ADILABAD,TAMSI,65,127,252,444
