-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "GujaratNSDPcurrent.csv", 
 "title": "Download CSV for Gujarat Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/GujaratNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","923093","1447175","1276956","1851064","1833048","2154397","1536900","1359700","1715800","1635800","2685500","2395700"
"Foresty and Logging","39315","50865","30645","56718","30948","31593","28900","13700","16700","40900","42100","49400"
"Fishing","69783","90030","82741","83532","101623","104140","113700","104500","120700","134300","122700","124500"
"Mining and Quarrying","111777","115518","120490","134445","139958","137985","163000","231100","243000","425500","438300","499700"
"Sub total of primary","1143968","1703588","1510832","2125759","2105577","2428115","1842500","1709000","2096200","2236500","3288600","3069300"
"Manufacturing","1110462","1532909","1819241","2131545","1931284","2275911","2548200","2243400","2376800","2971200","3602800","3985500"
"Registered","732449","1092023","1286165","1548964","1382409","1590137","1736800","1379800","1445800","2001600","2460600","2701100"
"Unregistered","378013","440886","533076","582581","548875","685774","811400","863600","931000","969600","1142200","1284400"
"Construction","213642","233055","278140","293310","388128","466476","638100","546600","517000","689100","767700","934900"
"Electricity, Gas and water Supply","92773","101150","162297","190336","219454","231491","81000","143300","287200","351400","342400","371400"
"Sub total of secondary","1416877","1867114","2259678","2615191","2538866","2973878","3267300","2933300","3181000","4011700","4712900","5291800"
"Transport Storage and Communication","226167","279784","336716","366192","468990","530267","549600","583900","667300","735600","777700","864200"
"Railways","57650","75619","85966","74857","79979","65207","64500","68200","79100","90200","89100","97600"
"Transport by other means","116890","140763","164455","196234","261920","305294","344000","375000","406000","471200","467300","509400"
"Storage","1165","1201","1687","1512","2229","2395","2600","2800","3500","3000","3000","3200"
"Communication","50462","62201","84608","93589","124862","157371","138500","137900","178700","171200","218300","254000"
"Trade, hotels and restaurants","501234","646123","765678","924116","1054212","1167172","1171100","1270200","1457700","1720100","2010100","2346400"
"Banking and Insurance","322701","364984","478917","448149","493187","517769","726900","607700","709000","895000","972900","1140300"
"Real estate, ownership of dwelling and business","257833","277621","290068","311712","336730","407675","493700","599900","634500","694100","777300","870500"
"Pubic Administration","137179","156503","184101","205350","244743","361252","435700","432000","425800","430800","447600","455800"
"Other Services","250088","304561","347593","421855","484253","594871","741100","851600","934900","1016200","1106600","1213300"
"Sub total of tertiary","1695202","2029576","2403073","2677374","3082115","3579006","4118100","4345300","4829200","5491800","6092200","6890500"
"State domestic product","4256047","5600278","6173583","7418324","7726558","8980999","9228000","8987700","10106400","11740000","14093700","15251600"

"Figures are in Rs. Lakh"
