-----
{
 "description": "This table gives an overview of Rolling Stock requirements in railways during Twelfth Five Year Plan.", 
 "file_name": "Rolling_Stock_Requirements.xls", 
 "title": "Download XLS for Rolling Stock Requirements During Twelfth Five Year Plan", 
 "url": "http://data.gov.in/sites/default/files/Rolling_Stock_Requirements.xls"
}
-----
"Type of Stock","Requirement on Additional Account (2012-13 to 2016-17)","Requirement on Replacement Account (2012-13 to 2016-17)","Total Requirement (2012-13 to 2016-17)","Anticipated Acquisition 2012-2017"
"Coaches ",25440.0,7626.0,33066.0,24000.0
"Diesel Locos",1500.0,500.0,2000.0,2000.0
"Electric Locos",1800.0,210.0,2010.0,2010.0
"Wagons (in VUs)",76396.0,29263.0,105659.0,105659.0
