-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.13.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.13.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Non-filling up of storage,Constraints in utilisation - Siltation of storage,Constraints in utilisation - Breakdown of channel,Constraints in utilisation - Other reason,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,127,120,0,0,0,247
ANDHRA PRADESH,ADILABAD,BEJJUR,1,26,0,0,0,27
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,20,9,0,0,0,29
ANDHRA PRADESH,ADILABAD,BHAINSA,6,6,2,9,21,44
ANDHRA PRADESH,ADILABAD,BHEEMINI,44,0,0,0,0,44
ANDHRA PRADESH,ADILABAD,BOATH,0,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,CHENNUR,63,7,0,0,0,70
ANDHRA PRADESH,ADILABAD,DAHEGAON,25,0,0,0,0,25
ANDHRA PRADESH,ADILABAD,DANDEPALLE,62,2,0,0,0,64
ANDHRA PRADESH,ADILABAD,DILAWARPUR,39,2,0,0,0,41
ANDHRA PRADESH,ADILABAD,ICHODA,21,68,0,0,0,89
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,3,0,0,0,3
ANDHRA PRADESH,ADILABAD,JAINAD,1110,12,1,0,0,1123
ANDHRA PRADESH,ADILABAD,JAINOOR,1,1,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,97,0,0,0,0,97
ANDHRA PRADESH,ADILABAD,JANNARAM,3,7,0,0,0,10
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,14,4,0,0,0,18
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,37,0,0,0,0,37
ANDHRA PRADESH,ADILABAD,KASIPET,2,10,0,0,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,12,2,0,0,0,14
ANDHRA PRADESH,ADILABAD,KHANPUR,5,8,0,0,4,17
ANDHRA PRADESH,ADILABAD,KOTAPALLE,173,10,0,0,0,183
ANDHRA PRADESH,ADILABAD,KOUTHALA,98,2,0,0,0,100
ANDHRA PRADESH,ADILABAD,KUBEER,3,0,0,2,4,9
ANDHRA PRADESH,ADILABAD,KUNTALA,15,12,0,0,0,27
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,4,3,0,0,0,7
ANDHRA PRADESH,ADILABAD,LOHESRA,59,11,0,0,0,70
ANDHRA PRADESH,ADILABAD,LUXETTIPET,8,227,0,0,0,235
ANDHRA PRADESH,ADILABAD,MAMDA,26,0,0,1,1,28
ANDHRA PRADESH,ADILABAD,MANCHERIAL,29,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,MANDAMARRI,14,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,NENNAL,43,0,0,0,0,43
ANDHRA PRADESH,ADILABAD,NERADIGONDA,19,0,0,0,0,19
ANDHRA PRADESH,ADILABAD,NIRMAL,40,18,0,0,0,58
ANDHRA PRADESH,ADILABAD,REBBANA,77,0,0,0,0,77
ANDHRA PRADESH,ADILABAD,SARANGAPUR,20,5,0,0,0,25
ANDHRA PRADESH,ADILABAD,SIRPUR (T),43,2,0,0,0,45
ANDHRA PRADESH,ADILABAD,SIRPUR (U),0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,8,0,0,0,8
ANDHRA PRADESH,ADILABAD,TANDUR,6,38,0,0,0,44
ANDHRA PRADESH,ADILABAD,TANUR,0,5,0,3,0,8
ANDHRA PRADESH,ADILABAD,VEMANPALLE,14,0,0,0,0,14
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,7,0,0,0,7
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,13,11,24
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,1,7,0,0,14,22
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,1,8,0,2,0,11
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,8,0,8
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,19,0,0,0,0,19
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,1,5,0,3,0,9
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,4,0,0,0,7,11
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,0,9,9
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1,0,0,2,0,3
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,1,3,0,0,0,4
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,13,0,0,0,13
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,1,0,0,1,2
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,2,9,0,0,0,11
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,4,14,2,0,20
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,18,0,47,0,65
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,0,0,0,35,35
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,1,0,9,0,9,19
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,KADIRI,1,0,0,6,0,7
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,0,3,0,0,0,3
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,1,0,1,0,2
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,3,1,0,0,7,11
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,7,0,0,5,0,12
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,6,0,0,12,0,18
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,0,0,14,0,14
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,0,0,4,0,4
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,0,9,0,9
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,49,0,8,0,57
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,0,2,0,1,0,3
ANDHRA PRADESH,ANANTHAPUR,NARPALA,1,4,0,0,1,6
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,1,1,0,0,33,35
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,4,11,1,1,6,23
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,0,22,22
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,35,0,0,0,0,35
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,11,5,1,4,3,24
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,2,0,0,0,5,7
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,0,0,3,0,3
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,0,0,1,1
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,1,3,0,3,0,7
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,1,0,0,2,3
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,3,0,4,0,7
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,0,0,0,5,5
ANDHRA PRADESH,ANANTHAPUR,SETTUR,2,4,0,5,0,11
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,0,0,15,0,15
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,4,0,0,0,41,45
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,2,0,0,1,3
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,5,0,0,0,5
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,30,0,7,0,37
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,39,0,0,1,0,40
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,1,1,0,5,0,7
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,1,1,0,0,2
