-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "delhiGSDPconst_1.csv", 
 "title": "Download CSV for Delhi Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/delhiGSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","101772","98332","99460","96369","95608","125709","132298","139863"
"Foresty and Logging","6915","6987","7067","7152","7242","7338","7441","7552"
"Fishing","761","378","381","386","384","386","442","498"
"Ag and Allied","109448","105697","106908","103907","103234","133433","140181","147913"
"Mining and Quarrying","453","0","0","0","0","0","0","0"
"Sub total of primary","109901","105697","106908","103907","103234","133433","140181","147913"
"Manufacturing","732602","793373","850545","942047","912372","948655","1009742","1091348"
"Registered","247471","254875","262947","309571","253646","268294","284388","308286"
"Unregistered","485131","538498","587598","632476","658726","680361","725354","783062"
"Construction","975668","1020341","1058010","1068129","1104702","1283479","1315476","1453237"
"Electricity, Gas and water Supply","141606","138841","182909","187715","308351","353090","395020","460460"
"Sub total of secondary","1849876","1952555","2091464","2197891","2325425","2585224","2720238","3005045"
"Industry","1850329","1952555","2091464","2197891","2325425","2585224","2720238","3005045"
"Transport Storage and Communication","886450","880270","1025375","1140528","1299348","1420722","1620987","1858664"
"Railways","48337","64663","76655","91589","119443","123917","150631","162518"
"Transport by other means","535177","550446","579944","610260","667135","702986","747207","813016"
"Storage","5531","5340","6020","6779","7693","8303","8616","9124"
"Communication","297405","259821","362756","431900","505077","585516","714533","874006"
"Trade, hotels and restaurants","2106249","2432584","2670022","3041866","3013451","3211775","3438976","3816155"
"Banking and Insurance","1636236","1832627","2309243","2712863","3091917","3883818","4864548","5569908"
"Real estate, ownership of dwelling and business","1952309","2219656","2503695","2874978","3292761","3488076","3672333","3992968"
"Pubic Administration","599954","652658","671010","591646","1104647","965833","976986","974781"
"Other Services","891477","964560","1030241","1132407","1348326","1594142","1735390","1977429"
"Sub total of tertiary","8072675","8982355","10209586","11494288","13150450","14564366","16309220","18189905"
"State domestic product","10032452","11040607","12407958","13796086","15579109","17283023","19169639","21342863"

"Figures are in Rs. Lakh"
