-----
{
 "description": "The achievement of Twelfth target for Civil works including school buildings, residential schools, additional class rooms and facilities for drinking water and toilets require a pragmatic approach of convergence with schemes like MGNREGS, MPLADS and MLA Funds. A few States are already utilizing ...", 
 "file_name": "Estimated_Cost_of_General_Items.xls", 
 "title": "Download XLS for Civil Works Under Serva Shiksha Abhiyan (SSA) In The 12th Plan", 
 "url": "http://data.gov.in/sites/default/files/Estimated_Cost_of_General_Items.xls"
}
-----
"Items","Number","Estimated Cost ( Rs. in Cr.)"
"New School Buildings",67010.0,7685.0
"Residential Schools",10500.0,10500.0
"Additional Classrooms",498560.0,19942.0
"DWS",62366.0,468.0
"Toilets",343013.0,2884.0
"KGBVs and so on",3598.0,3692.0
"Total",985047.0,45171.0
