-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Others","Total"
"ANDAMAN & NICOBARS","ANDAMAN",483,451,0,1,734,1669
"ANDAMAN & NICOBARS","NICOBAR",12,4,1,0,10,27
"ANDHRA PRADESH","ADILABAD",1365,80,4,2,3,1454
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",23,0,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH",414,1,0,0,2,417
"ANDHRA PRADESH","EAST GODAVARI",51,7,0,0,0,58
"ANDHRA PRADESH","GUNTUR",1406,107,21,1,15,1550
"ANDHRA PRADESH","KARIMNAGAR",462,8,1,0,0,471
"ANDHRA PRADESH","KHAMMAM",3410,705,90,11,0,4216
"ANDHRA PRADESH","KRISHNA",90,12,2,1,1,106
"ANDHRA PRADESH","KURNOOL",2075,57,2,3,12,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",1316,44,4,5,10,1379
"ANDHRA PRADESH","MEDAK",986,0,0,0,1,987
"ANDHRA PRADESH","NALGONDA",4334,28,31,26,4,4423
"ANDHRA PRADESH","NELLORE",2304,380,10,5,117,2816
"ANDHRA PRADESH","NIZAMABAD",1698,21,46,4,14,1783
"ANDHRA PRADESH","PRAKASAM",1186,111,1,1,50,1349
"ANDHRA PRADESH","RANGAREDDY",214,27,21,8,2,272
"ANDHRA PRADESH","SRIKAKULAM",33,0,0,0,0,33
"ANDHRA PRADESH","VISAKHAPATNAM",51,1,0,0,2,54
"ANDHRA PRADESH","VIZIANAGARAM",198,0,0,0,1,199
"ANDHRA PRADESH","WARANGAL",212,1,0,0,1,214
"ANDHRA PRADESH","WEST GODAVARI",115,112,0,0,12,239
"ARUNACHAL PRADESH","DIBANG VALLEY",0,9,0,0,0,9
"ARUNACHAL PRADESH","LOHIT",0,6,0,0,0,6
"ARUNACHAL PRADESH","TIRAP",0,1,0,0,0,1
"ARUNACHAL PRADESH","UPPER SUBANSIRI",1,1,0,0,0,2
"ARUNACHAL PRADESH","WEST KAMENG",0,2,0,0,0,2
"ARUNACHAL PRADESH","WEST SIANG",0,1,0,0,0,1
"ASSAM","BARPETA",8,19,0,0,0,27
"ASSAM","BONGAIGAON",10,183,0,0,0,193
"ASSAM","CACHAR",40,232,2,0,2,276
"ASSAM","DARRANG",6,2,0,0,0,8
"ASSAM","DHEMAJI",1,5,1,0,1,8
"ASSAM","DHUBRI",9,20,0,0,0,29
"ASSAM","DIBRUGARH",1,2,0,0,0,3
"ASSAM","GOALPARA",8,11,0,0,0,19
"ASSAM","GOLAGHAT",6,33,0,0,1,40
"ASSAM","HAILAKANDI",14,0,0,0,2,16
"ASSAM","JORHAT",7,16,0,0,0,23
"ASSAM","KAMRUP",32,73,0,0,5,110
"ASSAM","KARBIANGLONG",17,5,0,0,0,22
"ASSAM","KARIMGANJ",13,6,0,0,0,19
"ASSAM","KOKRAJHAR",16,67,0,0,0,83
"ASSAM","LAKHIMPUR",3,13,0,0,0,16
"ASSAM","MORIGAON",30,9,0,0,0,39
"ASSAM","NAGOAN",40,395,2,0,1,438
"ASSAM","NALBARI",11,43,1,0,1,56
"ASSAM","NC HILLS",1,6,0,1,0,8
"ASSAM","SIBSAGAR",16,14,1,0,1,32
"ASSAM","SONITPUR",25,101,0,0,1,127
"ASSAM","TINSUKIA",7,108,0,1,0,116
"BIHAR","AURANGABAD",15,75,7,2,0,99
"BIHAR","BANKA",3,410,1,3,28,445
"BIHAR","BEGUSARAI",53,205,1,0,0,259
"BIHAR","BHAGALPUR",4,59,0,0,0,63
"BIHAR","BHOJPUR",7,6,1,0,0,14
"BIHAR","BUXAR",2,1,0,2,0,5
"BIHAR","DARBHANGA",16,285,2,0,0,303
