-----
{
 "description": "This data provides details on performance of Public Sector at current prices and percentage share of public sector in total share (Public + Private) from 2004-05 to 2010-11.", 
 "file_name": "PERFORMANCE_OF_PUBLIC_SECTOR_AT_CURRENT_PRICES.xls", 
 "title": "Download XLS for Performance Of Public Sector At Current Prices From 2004-05 To 2010-11", 
 "url": "http://data.gov.in/sites/default/files/PERFORMANCE_OF_PUBLIC_SECTOR_AT_CURRENT_PRICES.xls"
}
-----
"item","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11"
"1.  gross domestic product (item 10, statement 3.1)",2971464.0,3390502.79228,3953275.92669,4582085.56768,5303567.09739,6091484.94355,7157411.91241
"     1.1  public",680519.0,729040.0,818889.0,913822.0,1074716.0,1309309.0,1499671.0
"     1.2  private",2290945.0,2661462.79228,3134386.92669,3668263.56768,4228851.09739,4782175.94355,5657740.91241
"2.  gross domestic saving (item 1, statement 6)",1050702.79742,1235150.95473,1485908.85888,1836331.77566,1802620.05038,2182969.73192,2481930.58762
"     2.1  public (item 1.3, statement 6)",74498.96,88955.05,152929.0,248962.03,54280.08,11796.0,130155.41
"     2.2  private (item 1.1+1.2, statement 6)",976203.837417,1146195.90473,1332979.85888,1587369.74566,1748339.97038,2171173.73192,2351775.17762
"3.  gross capital formation unadjusted*",1011177.56474,1224681.15307,1490874.62514,1843207.37783,1927889.81101,2216068.27463,2586352.49681
"     3.1  public (item 1.1, statement 7.1)",240580.0,293350.0,356556.0,441923.0,531730.0,591622.0,676220.0
"     3.2  private (item 1.2+1.3, statement 7.1)",770597.564744,931331.153068,1134318.62514,1401284.37783,1396159.81101,1624446.27463,1910132.49681
"4.  final consumption expenditure",2280110.0,2561156.0,2932165.0,3363415.0,3873278.0,4496308.0,5270511.0
"     4.1  public",354518.0,401619.0,443477.0,513021.0,615333.0,774272.0,910719.0
"     4.2  private (item 9, statement 5.1)",1925592.0,2159537.0,2488688.0,2850394.0,3257945.0,3722036.0,4359792.0
