-----
{
 "description": "The table refers to District wise Surface Flow Schemes in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.11.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.11.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Augmentation","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ANDHRA PRADESH","ADILABAD",253,2867,2,3122,1031,77,0,0,1108
"ANDHRA PRADESH","ANANTHAPUR",7,2676,3,2686,590,0,0,0,590
"ANDHRA PRADESH","CHITTOOR",0,7822,5,7827,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",0,2087,1,2088,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI",64,1869,0,1933,2741,728,0,0,3470
"ANDHRA PRADESH","GUNTUR",29,194,11,234,879,178,0,7,1064
"ANDHRA PRADESH","KARIMNAGAR",890,4408,20,5318,2595,1593,0,0,4188
"ANDHRA PRADESH","KHAMMAM",232,2568,0,2800,4717,229,0,0,4946
"ANDHRA PRADESH","KRISHNA",37,994,0,1031,1217,223,176,0,1617
"ANDHRA PRADESH","KURNOOL",5,629,0,634,914,243,0,0,1157
"ANDHRA PRADESH","MAHABOOBNAGAR",48,8447,3,8498,91,24,0,0,115
"ANDHRA PRADESH","MEDAK",0,5165,0,5165,0,0,0,0,0
"ANDHRA PRADESH","NALGONDA",315,4326,0,4641,2961,2094,0,0,5055
"ANDHRA PRADESH","NELLORE",49,1651,0,1700,2333,5269,0,0,7602
"ANDHRA PRADESH","NIZAMABAD",181,1834,2,2017,7724,346,0,0,8070
"ANDHRA PRADESH","PRAKASAM",51,1075,0,1126,2128,1130,583,89,3930
"ANDHRA PRADESH","RANGAREDDY",1,1578,2,1581,1,1,0,0,1
"ANDHRA PRADESH","SRIKAKULAM",37,7693,14,7744,707,0,0,0,707
"ANDHRA PRADESH","VISAKHAPATNAM",72,6054,108,6234,1649,20,844,0,2513
"ANDHRA PRADESH","VIZIANAGARAM",2,9516,0,9518,113,18,0,0,132
"ANDHRA PRADESH","WARANGAL",132,4877,0,5009,4182,2059,14,0,6255
"ANDHRA PRADESH","WEST GODAVARI",4,1532,1,1537,1880,0,0,0,1880
"ARUNACHAL PRADESH","CHANGLANG",2,294,0,296,0,0,0,0,0
"ARUNACHAL PRADESH","DIBANG VALLEY",0,127,0,127,0,0,0,0,0
"ARUNACHAL PRADESH","EAST KAMENG",2,182,0,184,0,0,0,0,0
"ARUNACHAL PRADESH","EAST SIANG",2,902,1,905,1461,135,0,157,1753
"ARUNACHAL PRADESH","LOHIT",0,68,0,68,236,0,0,0,236
"ARUNACHAL PRADESH","LOWER SUBANSIRI",1,583,1,585,27,0,0,0,27
"ARUNACHAL PRADESH","PAPUMPARE",0,205,0,205,40,0,0,9,49
"ARUNACHAL PRADESH","TAWANG",0,108,0,108,0,0,0,0,0
"ARUNACHAL PRADESH","TIRAP",0,128,1,129,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SIANG",0,546,0,546,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,485,0,485,13,11,4,4,32
"ARUNACHAL PRADESH","WEST KAMENG",0,70,0,70,0,0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",5,239,1,245,16,0,0,0,16
"ASSAM","BARPETA",0,69,2,71,0,0,0,0,0
"ASSAM","BONGAIGAON",1,114,0,115,0,0,0,0,0
"ASSAM","CACHAR",0,27,0,27,0,0,0,0,0
"ASSAM","DARRANG",35,601,3,639,0,0,0,0,0
"ASSAM","DHUBRI",17,51,0,68,0,0,0,0,0
"ASSAM","GOALPARA",13,43,7,63,900,0,0,0,900
"ASSAM","GOLAGHAT",2,90,117,209,0,1,1,1,3
"ASSAM","HAILAKANDI",0,2,0,2,0,0,0,0,0
"ASSAM","JORHAT",0,40,0,40,0,0,0,0,0
"ASSAM","KAMRUP",0,44,0,44,0,0,0,0,0
