-----
{
 "description": "The dataset comprises latest quarterly estimates of  Gross Domestic Product, Final Consumption Expenditure and other macro economic aggregates at current prices. ", 
 "file_name": "qtr_curr_31may13_1.xls", 
 "title": "Download XLS for Quarterly Estimates of GDP at Current Prices, Base 2004-05", 
 "url": "http://data.gov.in/sites/default/files/qtr_curr_31may13_1.xls"
}
-----
"Industry","2004-05:Q1","2004-05:Q2","2004-05:Q3","2004-05:Q4","2005-06:Q1","2005-06:Q2","2005-06:Q3","2005-06:Q4","2006-07:Q1","2006-07:Q2","2006-07:Q3","2006-07:Q4","2007-08:Q1","2007-08:Q2","2007-08:Q3","2007-08:Q4","2008-09:Q1","2008-09:Q2","2008-09:Q3","2008-09:Q4","2009-10:Q1","2009-10:Q2","2009-10:Q3","2009-10:Q4","2010-11:Q1","2010-11:Q2","2010-11:Q3","2010-11:Q4","2011-12:Q1","2011-12:Q2","2011-12:Q3","2011-12:Q4","2012-13:Q1","2012-13:Q2","2012-13:Q3","2012-13:Q4"
"Agriculture, forestry & fishing",134571.633954,111379.443597,174954.336388,144520.586061,143293.217006,121823.001675,203586.121466,169069.659852,161426.909131,136551.937609,229072.990204,195932.163057,189727.167743,156876.083265,272160.291407,217754.457585,218082.203989,180052.706856,293878.455171,251190.633985,234755.948802,200652.547356,339334.634758,308770.869083,281615.628175,239594.579897,420540.120564,365191.671364,332489.052441,274538.885192,467100.921888,391624.14048,379220.847743,307016.862284,521590.422336,437006.252489
"Mining & quarrying",18282.8477522,19666.4410096,21915.1293095,25163.5819287,21757.6079883,21624.6751861,24558.4861196,26521.230706,25451.1139994,24608.4614789,27555.296352,29172.1281698,28127.4030128,27897.3299687,31855.5123779,36931.7546406,33633.0188186,33864.6191808,36226.1745291,36104.1874715,35497.6464446,35222.1176159,41017.9822482,47566.2536913,45580.9879928,44841.7844785,50753.1882344,54916.0392943,46169.1309872,43139.0013896,50543.6367051,61224.2309181,52328.0386475,48933.4918824,55398.4920953,62249.8388492
"Manufacturing",102943.896597,110378.296535,116049.699402,123853.107466,122508.886264,125662.755725,131502.404692,141994.953319,144299.251747,152745.653148,160662.943512,177120.151592,170548.963703,175366.068743,183634.148222,203170.819332,206650.092132,208827.632337,202739.193037,200105.082494,210347.290738,223922.999547,231933.48724,255947.208833,250692.533317,257867.627807,271044.991353,301144.847523,292216.249807,289720.057032,297598.373114,322551.320047,304505.333091,308003.538658,321696.556955,345761.017012
"Electricity, gas & water supply",15427.7507424,15671.3276663,15602.8912887,15973.0303026,17102.3321829,17124.3352519,17153.8350763,17726.4974889,18382.2774135,18642.4314809,19600.3095599,19527.9815457,20943.5875297,20775.5811926,20927.5680908,21183.2631869,22631.5345865,22670.2463247,22781.9187919,22986.3002969,27626.6979685,28609.5408256,28252.7065238,29394.0546821,32192.8868087,32270.7873847,32619.8343273,33924.4914793,35122.7670315,35609.0698986,36793.6545216,37291.5085483,40492.9685497,42831.4791385,43526.2884789,43387.3266109
"Construction",53461.9452276,55336.7531403,58414.6015911,61641.700041,62033.4395491,63251.454443,69901.4208348,73447.6851731,74648.6892975,76119.0474601,83241.5645629,88419.6986795,91289.3974028,93720.9299881,99006.7442064,104890.928403,110860.305591,113132.124539,110390.206839,116651.363032,116383.848697,120046.986656,125696.975672,138330.188975,140199.054828,139795.073895,149574.53816,165885.333116,159613.518882,163547.691185,174463.155861,187579.634073,183795.435975,181987.181912,192625.101543,208980.399744
"Trade, hotels, transport & communication",162924.27947,173251.398258,188441.265232,203103.05704,193034.279578,200944.807282,217509.633517,235117.279622,224074.60269,238843.424962,258965.411486,276495.560862,264312.700355,270720.316283,293796.923732,321214.059629,323110.174662,329832.004408,330737.853473,327164.967457,337672.120773,355469.820818,377692.956369,410788.102041,415817.037834,424104.844977,445947.990434,488838.126755,506680.752267,504992.875553,529151.939919,561732.432262,575245.314391,586997.598749,604478.58016,643243.300745
"Financing, insurance,real estate and business services",103557.081402,106159.045574,111341.094463,116116.778562,116252.683451,120052.049268,124354.557596,132442.709685,137212.467746,143188.517586,149063.438507,157130.576161,164045.672553,168506.171567,173924.504521,184987.651358,201855.217489,210421.207071,213657.207976,219435.367463,227210.893139,235354.439499,244167.821836,258203.845527,276361.704998,283677.441558,294922.723903,310939.129541,330340.142607,340887.436998,349904.138804,363349.281591,388304.513332,399432.409324,406399.537392,423260.104934
"Community, social & personal services",90382.5886656,100838.859328,101004.212478,119135.053832,100395.412885,112175.857119,113554.38845,133025.133822,113714.630456,124149.374431,123474.471276,143782.450526,126517.513025,140995.754965,137108.211055,169168.088631,150206.220958,171480.913221,186428.465923,195778.497291,184250.794613,224305.864121,226746.287777,247730.513822,215561.524055,257738.47174,246449.265843,296362.559676,243460.142945,299609.066907,285576.093283,338874.448858,287826.197889,353086.068213,327070.425513,384331.653473
"GDP at factor cost",681552.02381,692681.565109,787723.230152,809506.895233,776377.858905,782658.935951,902120.847752,929345.149668,899209.94248,914848.848156,1051636.42546,1087580.71059,1055512.40532,1054858.23597,1212413.90361,1259301.02277,1267028.76823,1270281.45394,1396839.47574,1369416.39949,1373745.24117,1423584.31644,1614842.85242,1696731.03665,1658021.35801,1679890.61174,1911852.65282,2017202.19875,1946091.75697,1952044.08415,2191131.91409,2264226.99678,2211718.64962,2228288.63016,2472785.40447,2548219.89386
"Net indirect taxes",53811.3129942,67253.3543175,69833.0946331,79847.2380551,60612.0299617,72677.8853877,74105.1570466,95470.927604,53049.341234,89305.968492,87677.0215982,111396.668676,70968.4718509,95945.5170367,109234.482686,128855.528426,66435.1450665,95902.0239498,68444.5258401,95714.3051436,58902.3246523,74054.730713,85637.8745119,150329.070123,89303.5240198,110273.403786,136875.225896,191894.846299,121231.753118,126150.358594,154493.586741,219576.301547,103313.736294,88827.2326663,164734.049768,202732.343651
