-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "RajasthanNSDPconst_1.csv", 
 "title": "Download CSV for Rajasthan Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/RajasthanNSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","958726","1232239","1178896","1453346","1510368","1498528","1284072","1111879","1446011","870365","1736151","1515429","1538552"
"Foresty and Logging","57516","59096","60663","61632","64469","65404","67501","73478","75473","77450","79610","81858","84242"
"Fishing","3330","3821","3384","3869","4069","3072","3534","3269","3844","3163","3419","4185","4786"
"Mining and Quarrying","56016","52551","64150","62920","81920","91033","99433","101202","113266","135005","160482","158485","156622"
"Sub total of primary","1075588","1347707","1307093","1581767","1660826","1658037","1454540","1289828","1638594","1085983","1979662","1759957","1784202"
"Manufacturing","324001","445794","497134","452511","584287","562797","672889","624388","591687","574829","627967","694755","745323"
"Registered","149892","256500","299039","270966","341713","315656","418099","374316","322903","300842","313433","354288","383687"
"Unregistered","174109","189294","198095","181545","242574","247141","254790","250072","268784","273987","314534","340467","361636"
"Construction","283963","317020","331089","367890","429448","421407","490971","433489","484272","542508","583338","656982","748108"
"Electricity, Gas and water Supply","68744","66453","67020","60519","78836","160540","134393","140056","144426","159034","181112","190477","202716"
"Sub total of secondary","676708","829267","895243","880920","1092571","1144744","1298253","1197933","1220385","1276371","1392417","1542214","1696147"
"Transport Storage and Communication","120740","130696","142668","150332","173692","208809","240862","287307","266444","330495","376630","425450","480892"
"Railways","41296","43498","48163","51884","54674","59937","62749","64162","72058","80347","85926","94733","104443"
"Transport by other means","56389","59460","62817","60257","72666","76091","91750","123179","74426","105258","122907","135705","149794"
"Storage","2720","2963","3138","2859","2771","4530","4736","5467","5989","5910","5839","6539","7326"
"Communication","20335","24775","28550","35332","43581","68251","81627","94499","113971","138980","161958","188473","219329"
"Trade, hotels and restaurants","417843","473690","516770","594188","665841","688724","660311","709843","796925","710716","914466","871872","878178"
"Banking and Insurance","93599","98046","105077","134046","163236","167428","174124","194249","202754","235946","253523","277354","303425"
"Real estate, ownership of dwelling and business","180869","186627","192230","197043","224363","232607","248618","270502","247413","303459","311965","322840","334709"
"Pubic Administration","113550","116202","125417","131333","144898","181046","192845","198343","196854","199923","214545","223840","233018"
"Other Services","218792","244655","268537","298548","325424","364322","387825","418363","454469","474801","525765","567570","624797"
"Sub total of tertiary","1145393","1249916","1350699","1505490","1697454","1842936","1904585","2078607","2164859","2255340","2596894","2688926","2855019"
"State domestic product","2897690","3426892","3553035","3968179","4450851","4645716","4657378","4566369","5023837","4617693","5968974","5991096","6335369"

"Figures are in Rs. Lakh"
