-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MADHYA PRADESH,TIKAMGARH,TIKAMGARH,1,41,331,0,1,3,11,388
MADHYA PRADESH,UJJAIN,BARNAGAR,2,162,148,0,1,0,0,313
MADHYA PRADESH,UJJAIN,GHATTIA,1,237,412,13,32,2,3,700
MADHYA PRADESH,UJJAIN,KHACHROD,0,495,788,28,40,0,2,1353
MADHYA PRADESH,UJJAIN,MEHIDPUR,0,34,140,6,2,0,2,184
MADHYA PRADESH,UJJAIN,TARANA,0,164,410,1,0,0,9,584
MADHYA PRADESH,UJJAIN,UJJAIN,0,134,165,13,1,1,2,316
MADHYA PRADESH,UMARIA,KARKELI,35,58,993,0,8,4,1,1099
MADHYA PRADESH,UMARIA,MANPUR,18,105,910,7,10,0,69,1119
MADHYA PRADESH,UMARIA,PALI,1,17,294,0,6,2,0,320
MADHYA PRADESH,VIDISHA,BASODA,1,27,2805,775,125,12,218,3963
MADHYA PRADESH,VIDISHA,GYARASPUR,2,12,1814,163,36,0,3,2030
MADHYA PRADESH,VIDISHA,KURWAI,11,1,1458,597,185,4,0,2256
MADHYA PRADESH,VIDISHA,LATERI,0,25,546,2,1,0,0,574
MADHYA PRADESH,VIDISHA,NATERAN,1,149,2583,347,180,18,2,3280
MADHYA PRADESH,VIDISHA,SIRONJ,16,77,1585,720,175,2,51,2626
MADHYA PRADESH,VIDISHA,VIDISHA,2,49,1443,317,182,5,4,2002
MAHARASHTRA,AHMEDNAGAR,AKOLA,0,0,75,138,18,2,2,235
MAHARASHTRA,AHMEDNAGAR,KARJAT,0,40,122,39,17,9,91,318
MAHARASHTRA,AHMEDNAGAR,NAGAR,0,1,2,0,0,1,0,4
MAHARASHTRA,AHMEDNAGAR,NEVASA,0,2,0,0,0,0,33,35
MAHARASHTRA,AHMEDNAGAR,PARNER,0,529,972,89,145,174,3,1912
MAHARASHTRA,AHMEDNAGAR,RAHURI,0,8,0,0,0,0,0,8
MAHARASHTRA,AHMEDNAGAR,SHRIGONDA,0,0,2,0,0,0,1,3
MAHARASHTRA,AHMEDNAGAR,SHRIRAMPUR,0,3,79,17,17,0,0,116
MAHARASHTRA,AKOLA,AKOLA,0,296,96,1,0,0,4,397
MAHARASHTRA,AKOLA,BALAPUR,1,16,8,0,0,0,1,26
MAHARASHTRA,AKOLA,MURTIJAPUR,0,130,92,0,0,0,2,224
MAHARASHTRA,AKOLA,PATUR,0,109,52,0,0,0,0,161
MAHARASHTRA,AKOLA,TELHARA,0,9,8,0,1,0,0,18
MAHARASHTRA,AMRAVATI,CHANDUR RAILWAY,1,63,17,0,0,0,0,81
MAHARASHTRA,AMRAVATI,DARYAPUR,0,5,11,3,2,0,0,21
MAHARASHTRA,AMRAVATI,DHAMANGAON RAILWAY,0,14,23,22,0,0,1,60
MAHARASHTRA,AMRAVATI,DHARNI,16,72,81,2,4,0,19,194
MAHARASHTRA,AMRAVATI,MORSHI,0,11,6,0,0,0,2,19
MAHARASHTRA,AMRAVATI,NANDGAON KHANDESHWAR,0,7,0,0,0,0,0,7
MAHARASHTRA,AMRAVATI,WARUD,0,11,20,1,0,0,0,32
MAHARASHTRA,AURANGABAD,PAITHAN,0,0,0,14,0,0,0,14
MAHARASHTRA,BEED,PARLI,1,247,286,72,17,6,21,650
MAHARASHTRA,BEED,PATODA,0,8,8,0,0,0,0,16
MAHARASHTRA,BEED,SHIRUR (KASAR),12,0,0,0,0,0,0,12
MAHARASHTRA,BHANDARA,BHANDARA,0,98,13,0,0,0,20,131
MAHARASHTRA,BHANDARA,LAKHANDUR,1,38,3,0,0,0,22,64
MAHARASHTRA,BHANDARA,LAKHANI,0,9,0,0,0,0,0,9
MAHARASHTRA,BHANDARA,MOHADI,0,26,7,0,0,0,39,72
MAHARASHTRA,BHANDARA,PAVANI,0,0,0,0,0,0,1,1
MAHARASHTRA,BHANDARA,TUMSAR,0,0,0,0,1,0,0,1
MAHARASHTRA,BULDANA,CHIKHLI,56,2,4,0,0,1,4,67
MAHARASHTRA,BULDANA,DEULGAON RAJA,5,43,226,9,0,0,0,283
MAHARASHTRA,BULDANA,JALGAON JAMOD,0,3,0,0,0,0,0,3
MAHARASHTRA,BULDANA,MALKAPUR,0,3,4,0,2,1,0,10
MAHARASHTRA,BULDANA,MEHKAR,0,27,1,0,0,1,137,166
MAHARASHTRA,BULDANA,MOTALA,13,37,1,0,0,0,1,52
MAHARASHTRA,BULDANA,SHEGAON,0,0,0,0,1,0,0,1
MAHARASHTRA,CHANDRAPUR,BALLARPUR,1,41,0,0,0,0,0,42
MAHARASHTRA,CHANDRAPUR,BHADRAVATI,4,11,2,0,0,0,1,18
MAHARASHTRA,CHANDRAPUR,BRAMHAPURI,0,23,11,0,0,0,0,34
MAHARASHTRA,CHANDRAPUR,CHANDRAPUR,0,21,0,0,0,0,2,23
MAHARASHTRA,CHANDRAPUR,CHIMUR,22,87,26,0,0,0,6,141
MAHARASHTRA,CHANDRAPUR,GONDPIPRI,16,5,3,0,0,0,1,25
MAHARASHTRA,CHANDRAPUR,KORPANA,0,385,0,0,0,1,2,388
MAHARASHTRA,CHANDRAPUR,POMBHURNA,2,3,1,0,0,0,0,6
MAHARASHTRA,CHANDRAPUR,RAJURA,27,18,22,1,0,0,0,68
MAHARASHTRA,CHANDRAPUR,SAWALI,0,5,8,0,0,0,1,14
MAHARASHTRA,CHANDRAPUR,SINDEWAHI,1,55,5,0,0,0,1,62
MAHARASHTRA,CHANDRAPUR,WARORA,1,0,1,0,0,1,0,3
MAHARASHTRA,DHULE,DHULE,0,0,0,0,0,0,24,24
MAHARASHTRA,DHULE,SAKRI,0,0,0,0,0,0,132,132
MAHARASHTRA,DHULE,SHIRPUR,0,0,0,0,0,0,73,73
MAHARASHTRA,DHULE,SINDKHEDA,0,0,0,0,0,0,39,39
MAHARASHTRA,GADCHIROLI,ARMORI,1,15,10,0,0,0,0,26
MAHARASHTRA,GADCHIROLI,CHAMORSHI,0,0,0,0,0,0,2,2
MAHARASHTRA,GADCHIROLI,DHANORA,4,5,7,0,0,0,26,42
MAHARASHTRA,GADCHIROLI,ETTAPALLI,0,0,4,0,0,0,1,5
MAHARASHTRA,GADCHIROLI,GADCHIROLI,1,0,4,0,0,0,17,22
MAHARASHTRA,GADCHIROLI,KORCHI,0,0,0,0,0,0,7,7
MAHARASHTRA,GADCHIROLI,KURKHEDA,0,0,0,0,0,0,12,12
MAHARASHTRA,GADCHIROLI,SIRONCHA,0,0,0,0,0,0,7,7
MAHARASHTRA,GONDIYA,A / MORGAON,0,1,4,0,0,0,0,5
MAHARASHTRA,GONDIYA,AMGAON,0,0,0,0,0,0,105,105
MAHARASHTRA,GONDIYA,DEVRI,0,0,0,0,0,0,7,7
MAHARASHTRA,GONDIYA,GONDIYA,0,0,0,0,0,0,10,10
MAHARASHTRA,GONDIYA,GOREGAON,0,0,0,0,0,0,14,14
MAHARASHTRA,GONDIYA,SADAK ARJUNI,0,3,0,0,0,0,18,21
MAHARASHTRA,GONDIYA,SALEKASA,0,0,0,0,0,0,48,48
MAHARASHTRA,GONDIYA,TIRODA,0,0,0,0,0,0,27,27
MAHARASHTRA,HINGOLI,AUNDHA (NAGNATH),14,132,120,34,13,1,0,314
MAHARASHTRA,HINGOLI,BASMATH,0,184,65,27,0,0,0,276
MAHARASHTRA,HINGOLI,HINGOLI,0,247,130,25,31,5,0,438
MAHARASHTRA,HINGOLI,KALAMNURI,0,38,124,15,8,0,0,185
MAHARASHTRA,HINGOLI,SENGAON,0,240,375,101,13,3,0,732
MAHARASHTRA,JALGAON,AMALNER,0,0,0,0,0,2,0,2
MAHARASHTRA,JALGAON,BHUSAWAL,0,1,6,4,8,2,0,21
MAHARASHTRA,JALGAON,PAROLA,0,5,3,1,0,0,1,10
MAHARASHTRA,JALGAON,RAVER,0,0,0,7,18,3,0,28
MAHARASHTRA,JALNA,AMBAD,0,0,6,1,0,0,0,7
MAHARASHTRA,JALNA,GHANSAWANGI,0,0,1,0,0,0,0,1
MAHARASHTRA,JALNA,MANTHA,0,0,5,1,0,0,0,6
MAHARASHTRA,KOLHAPUR,AJRA,67,90,1095,74,146,91,23,1586
MAHARASHTRA,KOLHAPUR,BHUDARGAD,3,28,352,150,326,166,25,1050
MAHARASHTRA,KOLHAPUR,CHANDGAD,4,92,1346,203,156,123,12,1936
MAHARASHTRA,KOLHAPUR,GADHINGLAJ,428,660,1240,175,210,259,185,3157
MAHARASHTRA,KOLHAPUR,GAGANBAVDA,1,135,403,96,171,122,1,929
MAHARASHTRA,KOLHAPUR,HATKANANGALE,5,98,437,155,248,155,3,1101
MAHARASHTRA,KOLHAPUR,KAGAL,22,387,1681,179,296,308,31,2904
MAHARASHTRA,KOLHAPUR,KARVIR,3,177,391,201,240,252,43,1307
MAHARASHTRA,KOLHAPUR,PANHALA,27,226,1163,358,529,543,11,2857
MAHARASHTRA,KOLHAPUR,RADHANAGARI,8,54,711,227,335,367,27,1729
MAHARASHTRA,KOLHAPUR,SHAHUWADI,42,131,593,116,192,49,78,1201
MAHARASHTRA,KOLHAPUR,SHIROL,4,118,717,630,746,342,28,2585
MAHARASHTRA,LATUR,AHMADPUR,0,332,48,0,0,0,0,380
MAHARASHTRA,LATUR,AUSA,0,110,156,44,2,0,0,312
MAHARASHTRA,LATUR,DEONI,0,69,105,52,0,0,0,226
MAHARASHTRA,LATUR,JALKOT,15,69,82,6,9,0,0,181
MAHARASHTRA,LATUR,LATUR,0,61,129,36,0,0,0,226
MAHARASHTRA,LATUR,NILANGA,1,446,674,8,25,4,0,1158
MAHARASHTRA,LATUR,RENAPUR,0,0,25,3,0,0,0,28
MAHARASHTRA,LATUR,SHIRUR ANANTPAL,1,318,490,58,0,0,0,867
MAHARASHTRA,LATUR,UDGIR,0,100,264,52,1,0,0,417
MAHARASHTRA,NAGPUR,BHIWAPUR,1,19,10,0,0,0,9,39
MAHARASHTRA,NAGPUR,HINGNA,2,120,3,0,0,0,0,125
MAHARASHTRA,NAGPUR,KAMPTEE,0,1,2,0,0,0,0,3
MAHARASHTRA,NAGPUR,KUHI,0,10,3,0,0,0,4,17
MAHARASHTRA,NAGPUR,MOUDA,2,41,19,0,0,0,7,69
MAHARASHTRA,NAGPUR,NAGPUR RURAL,3,154,1,0,0,0,2,160
MAHARASHTRA,NAGPUR,NAGPUR(URBAN)1&2,0,5,0,0,0,0,0,5
MAHARASHTRA,NAGPUR,NARKHED,0,0,2,0,0,0,0,2
MAHARASHTRA,NAGPUR,PARSEONI,0,5,2,0,0,0,0,7
MAHARASHTRA,NAGPUR,RAMTEK,0,4,11,0,0,1,0,16
MAHARASHTRA,NAGPUR,SAVNER,0,6,1,0,0,0,0,7
MAHARASHTRA,NAGPUR,UMRED,1,20,10,0,0,0,5,36
MAHARASHTRA,NANDED,ARDHAPUR,0,5,15,1,0,0,0,21
MAHARASHTRA,NANDED,BHOKAR,0,165,72,0,1,1,0,239
MAHARASHTRA,NANDED,BILOLI,0,1,106,10,27,0,0,144
MAHARASHTRA,NANDED,DEGLUR,0,54,173,19,12,1,6,265
MAHARASHTRA,NANDED,DHARMABAD,0,16,58,6,3,0,0,83
MAHARASHTRA,NANDED,HADGAON,30,217,55,2,2,1,6,313
MAHARASHTRA,NANDED,HIMAYATNAGAR,0,138,162,20,5,0,0,325
MAHARASHTRA,NANDED,KANDHAR,1,320,315,48,66,11,6,767
MAHARASHTRA,NANDED,KINWAT,0,386,543,72,64,52,5,1122
MAHARASHTRA,NANDED,LOHA,0,37,169,60,36,16,12,330
MAHARASHTRA,NANDED,MAHOOR,1,137,108,29,1,1,2,279
MAHARASHTRA,NANDED,MUDKHED,0,57,109,10,3,0,0,179
MAHARASHTRA,NANDED,MUKHED,19,207,449,39,46,0,65,825
MAHARASHTRA,NANDED,NAIGAON (KHAIRGAON),2,80,302,58,254,7,5,708
MAHARASHTRA,NANDED,NANDED,0,185,976,322,364,8,2,1857
MAHARASHTRA,NANDED,UMRI,14,130,159,7,128,0,0,438
MAHARASHTRA,NANDURBAR,AKKALKUWA,0,0,0,0,0,0,73,73
MAHARASHTRA,NANDURBAR,AKRANI,0,0,0,0,1,0,159,160
MAHARASHTRA,NANDURBAR,NANDURBAR,0,0,0,0,0,0,49,49
MAHARASHTRA,NANDURBAR,NAWAPUR,0,4,0,0,0,0,123,127
MAHARASHTRA,NANDURBAR,SHAHADE,88,42,0,0,42,9,216,397
