-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Second Lok Sabha from 5th April 1957 to 31st March 1962. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Second_Lok_Sabha_From_5th_April_1957_to_31st_March_1962.xls", 
 "title": "Download XLS for Members of Second Lok Sabha from 5th April 1957 to 31st March 1962", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Second_Lok_Sabha_From_5th_April_1957_to_31st_March_1962.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Second Lok Sabha","Maulana Abdur Rahman","Male","Jammu                                                                                               ","Jammu and Kashmir                                           ","Congress"
"Second Lok Sabha","Shri Bakshi Abdur Rashid","Male","Srinagar                                                                                            ","Jammu and Kashmir                                           ","Congress"
"Second Lok Sabha","Seth Achal Singh","Male","Agra                                                                                                ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri K.R. Achar","Male","Mangalore                                                                                           ","Mysore                                                      ","Congress"
"Second Lok Sabha","Lala Achint Ram","Male","Patiala                                                                                             ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Sangappa A. Agadi","Male","Koppal                                                                                              ","Mysore                                                      ","Congress"
"Second Lok Sabha","Shri Manakbhai Agrawal","Male","Mandsaur                                                                                            ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Smt. Mofida Ahmed","Female","Jorhat                                                                                              ","Assam                                                       ","Congress"
"Second Lok Sabha","Shri Ajit Singh","Male","Bhatinda-SC                                                                                         ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shaikh Mohammed Akbar","Male","Baramullah                                                                                          ","Jammu and Kashmir                                           ","Congress"
"Second Lok Sabha","Shri Joachim Alva","Male","Kanara                                                                                              ","Mysore                                                      ","Congress"
"Second Lok Sabha","Shri P. Subbiah Ambalam","Male","Ramanthapuram                                                                                       ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Amjad Ali","Male","Dhubri                                                                                              ","Assam                                                       ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Dr. Madhav Shrihari Aney","Male","Nagpur                                                                                              ","Bombay                                                      ","Independent"
"Second Lok Sabha","Shri B. Anjanappa","Male","Nellore-SC                                                                                          ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Frank Anthony","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Second Lok Sabha","Shri R.S. Arumugam","Male","Srivilliputhur                                                                                      ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri S.R. Arumugham","Male","Namakkal-SC                                                                                         ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri K. Ashanna","Male","Adilabad                                                                                            ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Premjibhai Ranchhoddas Assar","Male","Ratnagiri North                                                                                     ","Bombay                                                      ","Jan Sangh"
"Second Lok Sabha","Shri Lila Dhar Asthana","Male","Unnao                                                                                               ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Dr.(Smt.) Komarrraju Atchamamba","Male","Vijayawada                                                                                          ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Jagdish Awasthi","Male","Bilhaur                                                                                             ","Uttar Pradesh                                               ","Independent"
"Second Lok Sabha","Shri M. Ayyakkannu","Male","Nagapattinam-SC                                                                                     ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Madabhusi Ananthasayanam Ayyangar","Male","Chittoor                                                                                            ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Maulana Abul Kalam Azad","Male","Gurgaon                                                                                             ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Maganlal Radhakrishnan Bagdi","Male","Hoshangabad                                                                                         ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Bahadur Singh","Male","Ludhiana                                                                                            ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Kamalnayan Jamnalal Bajaj","Male","Wardha                                                                                              ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Mohan Lal Bakliwal","Male","Durg                                                                                                ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Sardar Baldev Singh","Male","Hoshiarpur                                                                                          ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri S.C. Balkrishnan","Male","Dindigul                                                                                            ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Kanhaiya Lal Balmiki","Male","Bulandshahar                                                                                        ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Santosh Kumar Banerjea","Male","Cooch Behar-SC                                                                                      ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Pramathanath Banerjee","Male","Contai                                                                                              ","West Bengal                                                 ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri S.M. Banerjee","Male","Kanpur                                                                                              ","Uttar Pradesh                                               ","Independent"
"Second Lok Sabha","Dr. Ramgati Banerji","Male","Bankura                                                                                             ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Pulin Behari Banerjie","Male","Lucknow                                                                                             ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Upendranath Barman","Male","Cooch Behar-SC                                                                                      ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri A.E.T. Barrow","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Second Lok Sabha","Shri Pannalal Barupal","Male","Bikaner                                                                                             ","Rajasthan                                                   ","Congress"
"Second Lok Sabha","Shri C.R. Basappa","Male","Tiptur                                                                                              ","Mysore                                                      ","Congress"
"Second Lok Sabha","Shri Dharanidhor Basumatari","Male","Goalpara-ST                                                                                         ","Assam                                                       ","Congress"
"Second Lok Sabha","Shri Ignace Beck","Male","Lohardaga-ST                                                                                        ","Bihar                                                       ","Jharkhand Party"
"Second Lok Sabha","Shri Arjun Singh Bhadoria","Male","Etawah                                                                                              ","Uttar Pradesh                                               ","Janata Party"
"Second Lok Sabha","Shri Bali Ram Bhagat","Male","Shahabad                                                                                            ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Bijoy Chandra Bhagavati","Male","Darrang                                                                                             ","Assam                                                       ","Congress"
"Second Lok Sabha","Shri Bhakt Darshan","Male","Garhwal                                                                                             ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Pandit Mukut Bihari Lal Bhargava","Male","Ajmer                                                                                               ","Rajasthan                                                   ","Congress"
"Second Lok Sabha","Pandit Thakur Das Bhargava","Male","Hissar                                                                                              ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Naushir Cursetji Bharucha","Male","East Khandesh                                                                                       ","Bombay                                                      ","Independent"
"Second Lok Sabha","Shri Laxmanrao Shrawanji Bhatkar","Male","Akola-SC                                                                                            ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri C.K. Bhattacharyya","Male","West Dinajpur                                                                                       ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Bhawani Prasad","Male","Sitapur                                                                                             ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Bhogji","Male","Banswara-ST                                                                                         ","Rajasthan                                                   ","Congress"
"Second Lok Sabha","Shri Bibhuti Mishra","Male","Bagaha-SC                                                                                           ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Ramappa Balappa Bidari","Male","Bijapur South                                                                                       ","Mysore                                                      ","Congress"
"Second Lok Sabha","Shri Birbal Singh","Male","Jaunpur                                                                                             ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Major Raja Bahadur Birendra Bahadur Singh","Male","Raipur                                                                                              ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Jang Bahadur Singh Bisht","Male","Almora                                                                                              ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Bhola Nath Biswas","Male","Katihar                                                                                             ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Rajagopala Rao Boddiapalli","Male","Srikakulam                                                                                          ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Prafulla Chandra Borooah","Male","Sibsagar                                                                                            ","Assam                                                       ","Congress"
"Second Lok Sabha","Shri Prabhat Chandra Bose","Male","Dhanbad                                                                                             ","Bihar                                                       ","Congress"
"Second Lok Sabha","Chowdhury Brahm Perkash","Male","Delhi Sadar                                                                                         ","Delhi                                                       ","Congress"
"Second Lok Sabha","Pandit Braj Naraian Brajesh","Male","Shivpuri                                                                                            ","Madhya Pradesh                                              ","Hindu Mahasabha"
"Second Lok Sabha","Shri Brajeshwar Prasad","Male","Gaya-SC                                                                                             ","Bihar                                                       ","Congress"
"Second Lok Sabha","Smt. Renu Chakravartty","Female","Basirhat                                                                                            ","West Bengal                                                 ","Communist Party"
"Second Lok Sabha","Shri Anil Kumar Chanda","Male","Birbhum-SC                                                                                          ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri BHikulal Lachhimichand Chandak","Male","Chhindwara                                                                                          ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Kalo Chandramani","Male","Sundergarh-ST                                                                                       ","Odisha                                                      ","Ganatantra Parishad"
"Second Lok Sabha","Shri Manishankar Bhat Chandrashanker","Male","Broach                                                                                              ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Rohanlal Chaturvedi","Male","Etawah                                                                                              ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Ranbir Singh Chaudhari","Male","Rohtak                                                                                              ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Tridib Chaudhuri","Male","Berhampore                                                                                          ","West Bengal                                                 ","Revolutionary Socialist Party"
"Second Lok Sabha","Shri Suresh Chandra Chaudhury","Male","Dumka-ST                                                                                            ","Bihar                                                       ","Jharkhand Party"
"Second Lok Sabha","Shri Dajisaheb Ramrao Chavan","Male","Karad                                                                                               ","Bombay                                                      ","Peasants And Workers` Party of India"
"Second Lok Sabha","Shri Akbarbhai Dalumiya Chavda","Male","Banaskantha                                                                                         ","Bombay                                                      ","Congress"
"Second Lok Sabha","Dr. Chandra Mani Lal Chawdhary","Male","Hajipur-SC                                                                                          ","Bihar                                                       ","Congress"
"Second Lok Sabha","Smt. Ila Pal Choudhuri","Female","Nabadwip-SC                                                                                         ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Chuni Lal","Male","Ambala-SC                                                                                           ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Fatehsinhji Ratansinhji Dabhi Thakor","Male","Kaira                                                                                               ","Bombay                                                      ","Mahagujarat Janata Parishad"
"Second Lok Sabha","Sardar Daljit Singh","Male","Kangra                                                                                              ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Suraj Ratan Fatehchand Damani","Male","Jalore-SC                                                                                           ","Rajasthan                                                   ","Congress"
"Second Lok Sabha","Shri Amar Singh Damar","Male","Jhabua-ST                                                                                           ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Shripad Amrit Dange","Male","Bombay City Central-SC                                                                              ","Bombay                                                      ","Communist Party"
"Second Lok Sabha","Shri Kamal Krishna Das","Male","Birbhum-SC                                                                                          ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Dr. Mono Mohan Das","Male","Asansol                                                                                             ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Nayan Tara Das","Male","Monghyr                                                                                             ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Ram Dhani Das","Male","Nawada-SC                                                                                           ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Shree Narayan Das","Male","Darbhanga                                                                                           ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri H.C. Dasappa","Male","Bangalore                                                                                           ","Mysore                                                      ","Congress"
"Second Lok Sabha","Shri Balwantrao Nageshrao Datar","Male","Belgaum                                                                                             ","Mysore                                                      ","Congress"
"Second Lok Sabha","Chaudhary Pratap Singh Daulta","Male","Jhajjar-Rewari                                                                                      ","Punjab                                                      ","Communist Party"
"Second Lok Sabha","Shri Dasaratha Deb","Male","Tripura East-ST                                                                                     ","Tripura                                                     ","Communist Party"
"Second Lok Sabha","Shri Narasingha Malla Ugal Sanda Deb","Male","Midnapore                                                                                           ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Laxmi Narayan Bhanja Deo","Male","Keonjhar-ST                                                                                         ","Odisha                                                      ","Independent"
"Second Lok Sabha","Shri Pratap Keshari Deo","Male","Kalahandi                                                                                           ","Odisha                                                      ","Ganatantra Parishad"
"Second Lok Sabha","Shri Shankar Deo","Male","Gulbarga                                                                                            ","Mysore                                                      ","Congress"
"Second Lok Sabha","Shri Morarji Ranchhodji Desai","Male","Surat-ST                                                                                            ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Krishnarao Gulabrao Deshmukh","Male","Ramtek                                                                                              ","Bombay                                                      ","Congress"
"Second Lok Sabha","Dr. Punjabrao Shamrao Deshmukh","Male","Amravati                                                                                            ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Banshi Das Dhanagar","Male","Mainpuri                                                                                            ","Uttar Pradesh                                               ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri R. Dharmalingam","Male","Tiruvannamalai                                                                                      ","Madras                                                      ","Independent"
"Second Lok Sabha","Shri Shankarrao Khanderao Dige","Male","Kolhapur-SC                                                                                         ","Bombay                                                      ","Scheduled Castes Federation"
"Second Lok Sabha","Shri Jaljibhai Koyabhai Dindod","Male","Dohad-ST                                                                                            ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Dinesh Singh","Male","Banda                                                                                               ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Dippala Suri Dora","Male","Parvathipuram-ST                                                                                    ","Andhra Pradesh                                              ","Socialist"
"Second Lok Sabha","Shri Mulchand Dube","Male","Farrukhabad                                                                                         ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Vishnu Sharan Dublish","Male","Sardhana                                                                                            ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Mannoolal Dwivedi","Male","Hamirpur                                                                                            ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Surendranath Dwivedy","Male","Kendrapara                                                                                          ","Odisha                                                      ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri S. Easwaran Iyer","Male","Trivandrum                                                                                          ","Kerala                                                      ","Independent"
"Second Lok Sabha","Shri L. Elayaperumal","Male","Chidambaram-SC                                                                                      ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Mohammed Elias","Male","Howrah                                                                                              ","West Bengal                                                 ","Communist Party"
"Second Lok Sabha","Shri D. Ering","Male","NA","N.E.F.A.                                                    ","Congress"
"Second Lok Sabha","Shri Fatesinghrao Pratapsinghrao Gaewad","Male","Baroda                                                                                              ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri B.K. Gaikwad","Male","Nasik                                                                                               ","Bombay                                                      ","Scheduled Castes Federation"
"Second Lok Sabha","Shri T. Ganapathy","Male","Tiruchendur                                                                                         ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Ganapati Ram","Male","Jaunpur                                                                                             ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Feroze Gandhi","Male","Raebareli                                                                                           ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Maneklal Maganlal Gandhi","Male","Panchmahals                                                                                         ","Bombay                                                      ","Congress"
"Second Lok Sabha","Smt. Ganga Devi","Female","Unnao-SC                                                                                            ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Badakumar Pratap Gangadeb","Male","Angul                                                                                               ","Odisha                                                      ","Ganatantra Parishad"
"Second Lok Sabha","Shri Ganpat Sahai","Male","Sultanpur                                                                                           ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Chintaman Dhivruji Gautam","Male","Balaghat                                                                                            ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri A.Vnekatrao Ghare","Male","Jalna                                                                                               ","Bombay                                                      ","Peasants And Workers` Party of India"
"Second Lok Sabha","Shri Aurobindo Ghosal","Male","Uluberia                                                                                            ","West Bengal                                                 ","Forward Bloc (Marxist)"
"Second Lok Sabha","Shri Bimal Comar Ghose","Male","Barrackpore                                                                                         ","West Bengal                                                 ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri Subiman Ghose","Male","Burdwan                                                                                             ","West Bengal                                                 ","Forward Bloc (Marxist)"
"Second Lok Sabha","Shri Atulya Ghosh","Male","Asansol                                                                                             ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Mohindra Kumar Ghosh","Male","Jamshedpur                                                                                          ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Nalini Ranjan Ghosh","Male","Cooch Behar-SC                                                                                      ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Shambhu Charan Godsora","Male","Singhbhum-ST                                                                                        ","Bihar                                                       ","Jharkhand Party"
"Second Lok Sabha","Shri Chowkhamoon Gohain","Male","NA","Assam                                                       ","Congress"
"Second Lok Sabha","Dr. Deorao Yeshwantrao Gohokar","Male","Yeotmal                                                                                             ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Ayillath Kuttieri Gopalan","Male","Kasaragod                                                                                           ","Kerala                                                      ","Communist Party"
"Second Lok Sabha","Shri Narayan Ganesh Goray","Male","Poona                                                                                               ","Bombay                                                      ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri N.P. Shanmugha Goundar","Male","Tindivanam                                                                                          ","Madras                                                      ","Congress Reforms Committee"
"Second Lok Sabha","Shri A. Doraiswami Gounder","Male","Tiruppattur                                                                                         ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri K. Periaswami Gounder","Male","Karur                                                                                               ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Arun Chandra Guha","Male","Barasat                                                                                             ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Bibhuti Bhushan Das Gupta","Male","Purulia                                                                                             ","West Bengal                                                 ","Manbhum Lok Sevak Sangh"
"Second Lok Sabha","Shri Chheda Lal Gupta","Male","Hardoi-SC                                                                                           ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Indrajit Gupta","Male","Calcutta                                                                                            ","West Bengal                                                 ","Communist Party"
"Second Lok Sabha","Shri Ram Krishan Gupta","Male","Mahendragarh                                                                                        ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Sadhan Ch. Gupta","Male","Calcutta East                                                                                       ","West Bengal                                                 ","Communist Party"
"Second Lok Sabha","Shri Ramchandra Matand Hajarnavis","Male","Bhandara-SC                                                                                         ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Kansari Halder","Male","Diamond Harbour                                                                                     ","West Bengal                                                 ","Communist Party"
"Second Lok Sabha","Shri Subodh Chandra Hansda","Male","Midnapore                                                                                           ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Har Govind","Male","Almora                                                                                              ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Ansar Harvani","Male","Fatehpur                                                                                            ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Jaisukhlal Lalshankar Hathi","Male","Halar                                                                                               ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri J.N. Hazarika","Male","Dibrugarh                                                                                           ","Assam                                                       ","Congress"
"Second Lok Sabha","Shri Harish Chandra Heda","Male","Nizamabad                                                                                           ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Hem Barua","Male","Gauhati                                                                                             ","Assam                                                       ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri Hem Raj","Male","Kangra                                                                                              ","Punjab                                                      ","Congress"
"Second Lok Sabha","Maulana Mohammad Hifzur Rahman","Male","Amroha                                                                                              ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Hynniewta Hoover","Male","Autonomous District-ST                                                                              ","Assam                                                       ","Independent"
"Second Lok Sabha","Shri J. Mohamed Imam","Male","Chitradurga                                                                                         ","Mysore                                                      ","Swatantra Party"
"Second Lok Sabha","Sardar Iqbal Singh","Male","Ferozepur                                                                                           ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri V. Eacharan Iyyani","Male","Palghat                                                                                             ","Kerala                                                      ","Congress"
"Second Lok Sabha","Shri Yadav Narain Jadhav","Male","Malegaon                                                                                            ","Bombay                                                      ","Praja Socialist Party (PSP)"
"Second Lok Sabha","Shri Jagjivan Ram","Male","Sasaram-SC                                                                                          ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri Ajit Prasad Jain","Male","Saharanpur                                                                                          ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Mool Chand Jain","Male","Kaithal                                                                                             ","Punjab                                                      ","Congress"
"Second Lok Sabha","Shri Jaipal Singh","Male","Ranchi West-ST                                                                                      ","Bihar                                                       ","Jharkhand Party"
"Second Lok Sabha","Shri Resham Lal Jangde","Male","Bilaspur-SC                                                                                         ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Gulabrao Keshavrao Jedhe","Male","Baramati                                                                                            ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Keshavrao Marutirao Jedhe","Male","Baramati                                                                                            ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Kanhu Charan Jena","Male","Balasore                                                                                            ","Odisha                                                      ","Congress"
"Second Lok Sabha","Shri Banarsi Prasad Jhunjhunwala","Male","Bhagalpur Central                                                                                   ","Bihar                                                       ","Congress"
"Second Lok Sabha","Shri M.K. Jinachandran","Male","Tellicherry                                                                                         ","Kerala                                                      ","Congress"
"Second Lok Sabha","Shri Jogendra Sen","Male","Mandi                                                                                               ","Himachal Pradesh                                            ","Congress"
"Second Lok Sabha","Sardar Jogendra Singh","Male","Bahraich Distt. (West)                                                                              ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Anand Chandra Joshi","Male","Shahdol-ST                                                                                          ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Liladhar Joshi","Male","Shajapur-SC                                                                                         ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Smt. Subhadra Joshi","Female","Ambala-SC                                                                                           ","Punjab                                                      ","Congress"
"Second Lok Sabha","Maharajkumar Chandikeshwar Sharan Singh Ju Deo","Male","Surguja-ST                                                                                          ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Pandit Jwala Prasad Jyotishi","Male","Sagar-SC                                                                                            ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Smt. Anasuyabai Purushottam Kale","Female","Nagpur                                                                                              ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri Bapu Chandrasen Kamble","Male","Kopargaon-SC                                                                                        ","Bombay                                                      ","Independent"
"Second Lok Sabha","Dr. Devrao Namdevrao Pathrikar Kamble","Male","Nanded-SC                                                                                           ","Bombay                                                      ","Congress"
"Second Lok Sabha","Shri R. Kanakasabai Pillai","Male","Chidambaram-SC                                                                                      ","Madras                                                      ","Congress"
"Second Lok Sabha","Shri Nityanand Kanungo","Male","Cuttack                                                                                             ","Odisha                                                      ","Congress"
"Second Lok Sabha","Shri Prabhat Kar","Male","Hooghly                                                                                             ","West Bengal                                                 ","Communist Party"
"Second Lok Sabha","Shri Dattatraya Parasuram Karmarkar","Male","Dharwad North                                                                                       ","Mysore                                                      ","Congress"
"Second Lok Sabha","Dr.Maharaja Bikaner Karni Singh","Male","Bikaner                                                                                             ","Rajasthan                                                   ","Independent"
"Second Lok Sabha","Shri V. Kashi Ram","Male","Nalgonda                                                                                            ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Nemi Chandra Kasliwal","Male","Kota                                                                                                ","Rajasthan                                                   ","Congress"
"Second Lok Sabha","Shri Datta Appa Katti","Male","Chikodi-SC                                                                                          ","Mysore                                                      ","Scheduled Castes Federation"
"Second Lok Sabha","Shri Paresh Nath Kayal","Male","Basirhat                                                                                            ","West Bengal                                                 ","Congress"
"Second Lok Sabha","Shri Chhaganbhai Madaribhai Kedaria","Male","Mandavi-ST                                                                                          ","Bombay                                                      ","Congress"
"Second Lok Sabha","Devi,Rani Kesar Kumari","Female","Raipur                                                                                              ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri N. alias N. Keshavaiengar Keshava","Male","Bangalore City                                                                                      ","Mysore                                                      ","Congress"
"Second Lok Sabha","Dr. Balkrishna Vishwanath Keskar","Male","Musafirkhana                                                                                        ","Uttar Pradesh                                               ","Congress"
"Second Lok Sabha","Shri Raghunath Keshav Khadilkar","Male","Ahmednagar                                                                                          ","Bombay                                                      ","Mazdoor Kisan Party"
"Second Lok Sabha","Shri Kanhaiyalal Khadiwala","Male","Indore                                                                                              ","Madhya Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Osman Ali S. Khan","Male","Kurnool                                                                                             ","Andhra Pradesh                                              ","Congress"
"Second Lok Sabha","Shri Sadath Ali Khan","Male","Warangal                                                                                            ","Andhra Pradesh                                              ","Congress"
