-----
{
 "description": "The table refers to block wise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.8.csv", 
 "title": "Download CSV for Block wise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.8.csv"
}
-----
State,District,Block,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,1,452,104,2,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,4,960,449,0,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,8,0,201,68,0,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,1,184,48,2,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,0,353,234,0,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,1,0,93,9,18,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,0,187,0,0,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,1,0,112,377,16,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,1,155,357,0,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,2,527,134,1,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,1,91,0,0,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,1,79,19,0,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,1,1,429,112,0,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,22,1,316,8,1,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,1,369,8,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,7,676,47,44,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,0,24,56,0,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,1,147,68,0,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,2,130,0,0,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,3,0,70,10,0,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,1,0,30,10,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,2,0,470,54,0,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,13,3,559,93,1,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,0,1,195,80,0,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,5,0,50,19,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,0,58,1,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,12,3,360,38,0,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,5,1,56,33,0,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,1,115,6,26,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,6,0,6,15,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,0,1,154,1,0,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,82,13,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,52,25,0,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,53,19,0,72
