-----
{
 "description": "The table refers to Statewise Potential Utilized through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.13.csv", 
 "title": "Download CSV for Statewise Potential Utilized through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.13.csv"
}
-----
"State","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH",545629,358630,90340,15790,1010389
"ASSAM",76055,63705,2939,9463,152162
"BIHAR",818630,1294115,95476,79025,2287246
"CHHATTISGARH",101121,61027,1495,3936,167579
"GOA",0,2,52,5,59
"GUJ ARAT",69029,91905,41736,26354,229024
"HARYANA",902207,1108543,2709,437,2013896
"HIMACHAL PRADESH",3263,4544,81,24,7912
"JAMMU & KASHMIR",2721,2661,46,0,5428
"JHARKHAND",1072,1368,80,38,2558
"KARNATAKA",372390,112917,205340,142523,833170
"KERALA",913,699,2997,922,5531
"MADHYA PRADESH",22359,667915,7385,8215,705874
"MAHARASHTRA",42010,43078,24066,5460,114614
"MANIPUR",0,15,0,0,15
"MEGHALAYA",345,96,19,8,468
"NAGALAND",0,0,0,0,0
"ORISSA",18139,45177,2318,677,66311
"PUNJAB",2778304,2766641,62221,12459,5619625
"RAJASTHAN",35152,536303,2976,3683,578114
"TAMIL NADU",117546,72557,27846,10503,228452
"TRIPURA",2241,2928,92,134,5395
"UTTAR PRADESH",4260326,5678255,1622190,610351,12171122
"UTTARANCHAL",69075,63817,44863,6856,184611
"WEST BENGAL",419013,281717,20389,515038,1236157
"CHANDIGARH",235,235,18,21,509
"DELHI",14327,22442,66,33,36868
"PONDICHERRY",4480,3402,2257740,786,9900
"ALL INDIA",10676582,13284694,4515480,1452741,27672989
