-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "TripuraNSDPcurrent_1.csv", 
 "title": "Download CSV for Tripura Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/TripuraNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09 (P)","2009-10 (A)","2010-11 (Q)","2011-12(AQ)","2012-13"
"Agriculture","176851","190507","189146","198010","216837","236969","257101","278943","302641"
"Foresty and Logging","24269","33620","36833","37433","37881","52461","67041","73075","79651"
"Fishing","11924","13226","16091","22274","25492","29714","33936","38758","44265"
"Ag and Allied","213044","237353","242070","257717","280210","319144","358078","390776","426558"
"Mining and Quarrying","10695","12540","14812","15060","16678","16354","23550","33912","38659"
"Sub total of primary","223739","249893","256882","272777","296888","335498","381628","424688","465217"
"Manufacturing","32893","21940","25954","29877","30753","33733","43088","50559","64607"
"Registered","22276","9338","10448","11824","12729","14878","20085","22496","30369"
"Unregistered","10617","12602","15506","18053","18024","18855","23003","28064","34238"
"Construction","135964","172635","204954","204962","252948","240481","290982","334629","404901"
"Electricity, Gas and water Supply","5805","9602","9443","13026","19537","23505","28206","32968","38533"
"Sub total of secondary","174662","204177","240351","247865","303238","297719","362276","418156","508041"
"Industry","185357","216717","255163","262925","319916","314073","385826","452068","546701"
"Transport Storage and Communication","23313","26398","30176","39004","43573","55924","63182","71342","75652"
"Railways","117","115","166","197","148","174","261","313","376"
"Transport by other means","15033","16746","19747","28297","32713","43601","48833","54693","56334"
"Storage","170","191","229","273","332","514","591","680","782"
"Communication","7993","9346","10034","10237","10380","11635","13497","15656","18161"
"Trade, hotels and restaurants","110520","117672","132574","145050","162632","182200","193132","204720","217003"
"Banking and Insurance","15753","19200","22349","24963","28285","35009","41733","48828","51269"
"Real estate, ownership of dwelling and business","44540","49576","55762","65827","73731","80678","99234","111142","120033"
"Pubic Administration","89015","96375","117885","109085","139427","175657","194979","224226","242164"
"Other Services","135427","140754","142082","176238","203126","253549","286510","323757","346420"
"Sub total of tertiary","418568","449975","500828","560167","650774","783017","878770","984015","1052542"
"State domestic product","816969","904045","998061","1080809","1250900","1416234","1622675","1826858","2025800"

"Figures are in Rs. Lakh"
