-----
{
 "description": "The table refers to Statewise Construction of Surface Lift Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.1.csv", 
 "title": "Download CSV for Statewise Construction of Surface Lift Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.1.csv"
}
-----
"State","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH",12685,2227,1872,2210,1943,1640,1119,497,24193
"ARUNACHAL PRADESH",10,0,3,2,1,1,0,4,21
"ASSAM",622,33,121,83,55,151,415,228,1708
"BIHAR",2202,139,165,115,79,60,55,72,2887
"CHHATTISGARH",16450,344,380,488,525,427,517,6295,25426
"GOA",764,50,34,39,28,35,24,10,984
"GUJARAT",2760,54,41,47,59,137,28,65,3191
"HARYANA",445,55,21,22,61,11,9,22,646
"HIMACHAL PRADESH",572,13,32,17,20,57,13,0,724
"JAMMU & KASHMIR",434,2,10,13,7,11,9,19,505
"JHARKHAND",10594,344,306,262,146,133,76,136,11997
"KARNATAKA",31544,5567,4718,4934,4971,3192,2477,2966,60369
"KERALA",8722,913,920,800,713,603,620,202,13493
"MADHYA PRADESH",136879,8854,9406,9656,9565,7555,5952,8275,196142
"MAHARASHTRA",61592,7606,6555,6406,6087,4783,3607,3266,99902
"MANIPUR",7,4,2,1,5,3,15,7,44
"MEGHALAYA",11,0,0,0,0,0,0,0,11
"MIZORAM",166,24,13,7,2,2,0,2,216
"NAGALAND",24,1,3,10,0,0,0,0,38
"ORISSA",23651,2003,1130,1264,1201,1129,739,1727,32844
"PUNJAB",1149,96,60,57,34,23,12,10,1441
"RAJASTHAN",1519,68,102,79,107,88,167,94,2224
"TAMIL NADU",7999,297,127,252,568,109,145,589,10086
"TRIPURA",395,57,80,61,87,129,161,197,1167
"UTTAR PRADESH",2526,921,853,716,581,440,307,200,6544
"UTTARANCHAL",522,35,19,34,21,25,28,24,708
"WEST Bengal",63811,7295,7397,7161,7400,6913,4474,3144,107595
"ANDAMAN & NICOBARS",1191,81,86,111,39,47,38,103,1696
"DADRA & NAGAR HAVELI",60,1,1,5,0,2,2,0,71
"DELHI",33,1,1,3,0,0,0,0,38
"PONDICHERRY",7,0,0,0,0,0,0,0,7
"ALL INDIA",389346,37085,34458,34855,34305,27706,21009,28154,606918
