-----
{
 "description": "The table refers to district wise distribution of surface lift schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.6.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.6.csv"
}
-----
"State","District","Schemes in use","Schemes not in use - Temporary","Schemes not in use - Abandoned (Salinity)","Schemes not in use - Dried up","Schemes not in use - Sinking","Schemes not in use - Others","Schemes not in use - Total","Grand total"
"ANDHRA PRADESH","ADILABAD",1744,22,4,1,1,28,56,1800
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",100,1,0,0,0,4,5,105
"ANDHRA PRADESH","CUDDAPAH",70,1,0,1,0,1,3,73
"ANDHRA PRADESH","EAST GODAVARI",75,3,0,0,0,0,3,78
"ANDHRA PRADESH","GUNTUR",1271,25,3,5,0,1,34,1305
"ANDHRA PRADESH","KARIMNAGAR",374,2,0,0,0,2,4,378
"ANDHRA PRADESH","KHAMMAM",4491,65,0,1,0,1,67,4558
"ANDHRA PRADESH","KRISHNA",83,2,14,0,0,1,17,100
"ANDHRA PRADESH","KURNOOL",1565,17,0,0,0,1,18,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",939,35,0,1,0,1,37,976
"ANDHRA PRADESH","MEDAK",201,28,0,0,0,0,28,229
"ANDHRA PRADESH","NALGONDA",1810,76,0,0,0,0,76,1886
"ANDHRA PRADESH","NELLORE",2366,77,2,0,0,55,134,2500
"ANDHRA PRADESH","NIZAMABAD",1251,79,0,5,0,0,84,1335
"ANDHRA PRADESH","PRAKASAM",1010,11,0,0,1,2,14,1024
"ANDHRA PRADESH","RANGA REDDY",487,7,0,0,0,2,9,496
"ANDHRA PRADESH","SRIKAKULUM",42,1,0,0,0,1,2,44
"ANDHRA PRADESH","VIJAYA NAGARAM",140,8,1,0,0,3,12,152
"ANDHRA PRADESH","VISAKHAPATNAM",44,5,0,0,0,0,5,49
"ANDHRA PRADESH","WARANGAL",604,5,0,0,0,0,5,609
"ANDHRA PRADESH","WEST GODAVARI",144,0,0,1,0,0,1,145
"ASSAM","BARPETA",200,55,2,0,5,2,64,264
"ASSAM","BONGAIGAON",87,49,0,0,0,0,49,136
"ASSAM","CACHAR",55,5,0,0,1,1,7,62
"ASSAM","DARRANG",481,61,2,0,0,0,63,544
"ASSAM","DHEMAJI",114,29,0,0,0,0,29,143
"ASSAM","DHUBRI",59,36,0,0,0,0,36,95
"ASSAM","DIBRUGARH",315,74,0,1,0,0,75,390
"ASSAM","GOALPARA",403,80,0,0,0,0,80,483
"ASSAM","GOLAGHAT",314,37,1,1,4,0,43,357
"ASSAM","HAILAKANDI",16,1,0,0,0,0,1,17
"ASSAM","JORHAT",1252,63,0,0,0,0,63,1315
"ASSAM","KAMRUP",623,98,0,9,9,8,124,747
"ASSAM","KARBI ANGLONG",47,1,0,0,0,0,1,48
"ASSAM","KARIMGANJ",17,7,0,0,0,0,7,24
"ASSAM","KOKRAJHAR",60,59,0,0,0,0,59,119
"ASSAM","LAKHIMPUR",115,37,0,0,1,0,38,153
"ASSAM","MARIGAON",401,65,0,1,0,0,66,467
"ASSAM","NAGAON",1612,353,0,1,0,0,354,1966
"ASSAM","NALBARI",194,28,0,4,0,0,32,226
"ASSAM","NORTH CACHAR HILLS",6,0,0,0,0,0,0,6
"ASSAM","SIBSAGAR",535,85,0,1,1,0,87,622
"ASSAM","SONITPUR",361,165,2,0,12,1,180,541
"ASSAM","TINSUKIA",297,85,3,0,0,0,88,385
"BIHAR","ARARIA",0,6,0,0,2,1,9,9
"BIHAR","AURANGABAD",43,8,0,1,1,4,14,57
"BIHAR","BANKA",145,1,0,0,1,0,2,147
"BIHAR","BEGUSARAI",38,14,2,1,0,5,22,60
"BIHAR","BHABUA",51,6,0,0,1,3,10,61
"BIHAR","BHAGALPUR",232,2,0,1,1,2,6,238
"BIHAR","BHOJPUR",41,3,0,0,1,0,4,45
"BIHAR","BOKARO",2,2,0,1,8,1,12,14
"BIHAR","BUXAR",13,0,0,1,0,0,1,14
"BIHAR","CHAMPARAN EAST",45,15,0,4,12,2,33,78
"BIHAR","CHAMPARAN WEST",19,18,0,8,0,0,26,45
"BIHAR","CHATRA",244,2,0,3,0,3,8,252
"BIHAR","DARBHANGA",11,23,0,0,2,2,27,38
"BIHAR","DEOGHAR",552,9,0,13,0,0,22,574
"BIHAR","DHANBAD",75,2,0,16,4,2,24,99
"BIHAR","DUMKA",1217,354,0,163,9,59,585,1802
"BIHAR","GARHWA",61,12,0,3,8,0,23,84
"BIHAR","GAYA",37,18,0,1,3,0,22,59
"BIHAR","GIRIDIH",161,5,0,1,2,0,8,169
"BIHAR","GODDA",335,26,0,29,2,4,61,396
"BIHAR","GOPALGANJ",9,2,0,0,0,0,2,11
"BIHAR","GUMLA",282,66,0,2,4,24,96,378
"BIHAR","HAZARIBAG",65,22,0,3,2,2,29,94
"BIHAR","JAMUI",67,7,0,0,2,0,9,76
"BIHAR","JEHANABAD",4,1,0,0,0,0,1,5
"BIHAR","KATIHAR",7,0,0,0,0,0,0,7
"BIHAR","KHAGARIA",434,4,0,2,0,1,7,441
"BIHAR","KISHANGANJ",3,7,0,0,0,0,7,10
"BIHAR","KODARMA",66,4,0,0,1,0,5,71
"BIHAR","LAKHISARAI",1,0,0,0,0,0,0,1
"BIHAR","LOHARDAGA",67,9,0,13,6,3,31,98
"BIHAR","MADHEPURA",3,2,0,0,1,0,3,6
"BIHAR","MADHUBANI",264,16,0,1,0,10,27,291
"BIHAR","MUNGER",11,0,0,0,0,0,0,11
"BIHAR","MUZAFFARPUR",16,7,0,0,2,1,10,26
"BIHAR","NALANDA",116,8,0,2,1,0,11,127
"BIHAR","NAWADA",21,6,0,1,0,1,8,29
"BIHAR","PAKUR",141,6,0,2,2,1,11,152
"BIHAR","PATNA",43,3,0,1,0,2,6,49
"BIHAR","PURNIA",13,1,0,0,0,5,6,19
"BIHAR","RANCHI",348,39,0,12,7,11,69,417
"BIHAR","ROHTAS",57,3,0,0,1,5,9,66
"BIHAR","SAHARSA",4,6,0,0,0,0,6,10
"BIHAR","SAHEBGANJ",1731,36,0,129,21,1,187,1918
"BIHAR","SAMASTIPUR",12,25,0,2,2,10,39,51
"BIHAR","SARAN",23,0,0,0,0,0,0,23
"BIHAR","SHEIKHPURA",31,0,0,4,0,0,4,35
"BIHAR","SHEOHAR",0,1,0,0,0,0,1,1
"BIHAR","SINGHBHUM EAST",452,42,0,24,15,7,88,540
"BIHAR","SINGHBHUM WEST",1203,211,0,45,95,11,362,1565
"BIHAR","SITAMARHI",22,12,0,7,2,6,27,49
"BIHAR","SIWAN",131,9,0,7,3,7,26,157
"BIHAR","SUPAUL",54,0,0,0,0,7,7,61
