-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.9.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.9.csv"
}
-----
State,District,Block,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,605,2,0,0,0,0,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,559,0,0,0,0,0,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1412,0,0,0,1,0,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,261,16,0,0,0,0,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,234,0,0,1,0,0,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,581,6,0,0,0,0,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,121,0,0,0,0,0,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,187,0,0,0,0,0,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,506,0,0,0,0,0,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,514,0,0,0,0,0,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,663,0,0,0,0,1,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,92,0,0,0,0,0,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,97,2,0,0,0,0,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,527,16,0,0,0,0,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,322,25,1,0,0,0,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,378,0,0,0,0,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,774,0,0,0,0,0,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,79,0,0,0,1,0,80
