-----
{
 "description": "High Powered Expert Committee (HPEC) under the Chairpersonship of Dr. Isher Judge Ahluwalia was constituted for estimating the investment requirements for urban infrastructure services. The estimates are worked out by committee at 2009-10 prices and by using the benchmarks of services standard ...", 
 "file_name": "Sector_Wise_Investment.xls", 
 "title": "Download XLS for Estimates Of Urban Transport Investments By High Powered Expert Committee (HPEC)", 
 "url": "http://data.gov.in/sites/default/files/Sector_Wise_Investment.xls"
}
-----
"Sector ","Investment from all sources (in Rs. Cr) over 20 year period","Percentage share in investment  in urban sector (In Percentage)"
"Urban Roads ",1728941.0,55.8
"Urban Transport ",449426.0,14.5
"Traffic support infrastructure ",97985.0,3.2
"Street lighting ",18580.0,0.6
"Total ",2294932.0,74.1
