-----
{
 "description": "CAG Local Bodies Audit reports are prepared by the concerned state Accountant Generals (AGs). On being approved by the CAG, the Local Bodies Audit reports are categorized into two types as 'Tabled in the Legislature' and 'Issued to State Government'.\r\rDuring the period 2003-04 to 2010-11, five ...", 
 "file_name": "Local_Bodies_Reports_From_2003-04_To_2010-11.xls", 
 "title": "Download XLS for CAG Local Bodies Audit Reports From 2003-04 To 2010-11", 
 "url": "http://data.gov.in/sites/default/files/Local_Bodies_Reports_From_2003-04_To_2010-11.xls"
}
-----
"Year","State Name","Sector","No. of Reports"
"2012-13","Karnataka","Economic and Revenue Services",1.0
"2012-13","Karnataka","General and Social",1.0
"2012-13","Karnataka","Public Sector Undertakings",1.0
"2012-13","Karnataka","Revenue",1.0
"2012-13","Karnataka","State Finance",1.0
"2012-13","Odisha","Economic",1.0
"2012-13","Odisha","General and Social",1.0
"2012-13","Odisha","Revenue",1.0
"2012-13","Orissa","Public Sector Undertakings",1.0
"2012-13","Rajasthan","General and Social",1.0
"2012-13","Tamil Nadu","Economic",1.0
"2012-13","Tamil Nadu","Public Sector Undertakings",1.0
"2012-13","Tamil Nadu","Revenue",1.0
"2011-12","Andhra Pradesh","Land Allotment",1.0
"2011-12","Assam","Public Sector Undertakings",1.0
"2011-12","Assam","Revenue",1.0
"2011-12","Assam","Revenue (Performance Audit on Forest Receipts)",1.0
"2011-12","Assam","Social, General and Economic",1.0
"2011-12","Assam","State Finance",1.0
"2011-12","Bihar","State Finance",1.0
"2011-12","Chhattisgarh","Assessment, Levy and Collection of Major and Minor Mineral Receipts",1.0
"2011-12","Chhattisgarh","Public Sector Undertakings",1.0
"2011-12","Chhattisgarh","Revenue",1.0
"2011-12","Chhattisgarh","State Finance",1.0
"2011-12","Delhi","General and Economic",1.0
"2011-12","Delhi","Revenue, Social, General and Economic",1.0
"2011-12","Delhi","Social",1.0
"2011-12","Delhi","State Finance",1.0
"2011-12","Gujrat","Economic",1.0
"2011-12","Gujrat","Public Sector Undertakings",1.0
"2011-12","Gujrat","Revenue",1.0
"2011-12","Gujrat","State Finance",1.0
"2011-12","Haryana","Public Sector Undertakings",1.0
"2011-12","Haryana","Revenue",1.0
"2011-12","Haryana","Social, General and Economic",1.0
"2011-12","Haryana","State Finance",1.0
"2011-12","Himachal Pradsesh","District Kinnaur",1.0
"2011-12","Himachal Pradsesh","Economic",1.0
"2011-12","Himachal Pradsesh","Revenue",1.0
"2011-12","Himachal Pradsesh","Social, General and Economic",1.0
"2011-12","Himachal Pradsesh","State Finance",1.0
"2011-12","Jammu & Kashmir","Budgam",1.0
"2011-12","Jammu & Kashmir","Social, General and Economic",1.0
"2011-12","Jammu & Kashmir","Social, General, Economic and Revenue",1.0
"2011-12","Jammu & Kashmir","State Finance",1.0
"2011-12","Karnataka","De-notification of land by Government and Allotment of sites by Bangalore Development Authority",1.0
"2011-12","Karnataka","Revenue",1.0
"2011-12","Kerala","Gerenal and Social",1.0
"2011-12","Kerala","Public Sector Undertakings",1.0
"2011-12","Kerala","Revenue",1.0
"2011-12","Kerala","State Finance",1.0
"2011-12","Maharashtra","Economic",1.0
"2011-12","Maharashtra","General and Social",1.0
"2011-12","Maharashtra","Public Sector Undertakings",1.0
"2011-12","Maharashtra","Revenue Receipts",1.0
"2011-12","Maharashtra","State Finance",1.0
"2011-12","Manipur","Social, Economic and Revenue",1.0
"2011-12","Manipur","State Finance",1.0
"2011-12","Nagaland","State Finance",1.0
"2011-12","Odisha","District Boudha",1.0
"2011-12","Odisha","General and Social",1.0
"2011-12","Odisha","State Finance",1.0
"2011-12","Punjab","District Ludhiana",1.0
"2011-12","Punjab","Public Sector Undertakings",1.0
"2011-12","Punjab","Revenue",1.0
"2011-12","Punjab","Social, General and Economic",1.0
"2011-12","Punjab","State Finance",1.0
"2011-12","Rajasthan","Public Sector Undertakings",1.0
"2011-12","Rajasthan","State Finance",1.0
"2011-12","Sikkim","Social, General, Economic and Revenue",1.0
"2011-12","Sikkim","State Finance",1.0
"2011-12","Tamil Nadu","General and Social",1.0
"2011-12","Tamil Nadu","State Finance",1.0
"2011-12","Uttar Pradesh","State Finance",1.0
"2010-11","(blank)","Assessment, Levy and Collection of Major and Minor Mineral Receipts",1.0
"2010-11","Andhra Pradesh","Civil",1.0
"2010-11","Andhra Pradesh","Commercial",1.0
"2010-11","Andhra Pradesh","Revenue",1.0
"2010-11","Andhra Pradesh","State Finance",1.0
"2010-11","Arunanchal Pradesh","Civil",1.0
"2010-11","Arunanchal Pradesh","Lower Subansiri District",1.0
"2010-11","Arunanchal Pradesh","State Finance",1.0
"2010-11","Assam","Civil",1.0
"2010-11","Assam","Commercial",1.0
"2010-11","Assam","District Nagaon",1.0
"2010-11","Assam","Revenue Receipts",1.0
"2010-11","Assam","State Finance",1.0
"2010-11","Bihar","Civil",1.0
"2010-11","Bihar","Commercial",1.0
"2010-11","Bihar","Revenue",1.0
"2010-11","Bihar","State Finance",1.0
"2010-11","Chattisgarh","Civil & Commercial",1.0
"2010-11","Chattisgarh","Revenue",1.0
"2010-11","Chattisgarh","State Finance",1.0
"2010-11","Delhi","Civil & Commercial",1.0
"2010-11","Delhi","Revenue",1.0
"2010-11","Delhi","State Finance",1.0
"2010-11","Delhi","XIX Commonwealth Games 2010",1.0
"2010-11","District Meghalaya","West Garo Hill District",1.0
"2010-11","Goa","Civil",1.0
"2010-11","Goa","State Finance",1.0
"2010-11","Gujrat","Commercial",1.0
"2010-11","Gujrat","Revenue",1.0
"2010-11","Haryana","Civil",1.0
"2010-11","Haryana","Commercial",1.0
"2010-11","Haryana","Revenue",1.0
"2010-11","Haryana","State Finance",1.0
"2010-11","Himachal Pradsesh","Civil",1.0
"2010-11","Himachal Pradsesh","Commercial",1.0
"2010-11","Himachal Pradsesh","District Mandi",1.0
"2010-11","Himachal Pradsesh","Revenue",1.0
"2010-11","Himachal Pradsesh","State Finance",1.0
"2010-11","Jammu & Kashmir","Civil & Commercial",1.0
"2010-11","Jammu & Kashmir","District Baramulla",1.0
"2010-11","Jammu & Kashmir","District Jammu",1.0
"2010-11","Jammu & Kashmir","Revenue",1.0
"2010-11","Jammu & Kashmir","State Finance",1.0
"2010-11","Jharkhand","Civil & Commercial",1.0
"2010-11","Jharkhand","Revenue Receipts",1.0
"2010-11","Jharkhand","State Finance",1.0
"2010-11","Karnataka","Acquisition and allotment of land",1.0
"2010-11","Karnataka","Civil",1.0
"2010-11","Karnataka","Commercial",1.0
"2010-11","Karnataka","Revenue Receipts",1.0
"2010-11","Karnataka","State Finance",1.0
"2010-11","Kerala","Civil",1.0
"2010-11","Kerala","Commercial",1.0
"2010-11","Kerala","Revenue",1.0
"2010-11","Kerala","State Excise Department",1.0
"2010-11","Kerala","State Finance",1.0
"2010-11","Madhya Pradesh","Civil",1.0
"2010-11","Madhya Pradesh","Commercial",1.0
"2010-11","Madhya Pradesh","Revenue Receipts",1.0
"2010-11","Madhya Pradesh","State Finance",1.0
"2010-11","Maharashtra","Civil",1.0
"2010-11","Maharashtra","Commercial",1.0
"2010-11","Maharashtra","Revenue",1.0
"2010-11","Maharashtra","State Finance",1.0
"2010-11","Manipur","Civil",1.0
"2010-11","Manipur","State Finance",1.0
"2010-11","Meghalaya","Civil & Commercial",1.0
"2010-11","Meghalaya","Revenue",1.0
"2010-11","Meghalaya","State Finance",1.0
"2010-11","Mizoram","Civil, Revenue and Commercial",1.0
"2010-11","Mizoram","State Finance",1.0
"2010-11","Nagaland","Civil",1.0
"2010-11","Nagaland","Public Distribution System",1.0
"2010-11","Nagaland","State Finance",1.0
"2010-11","Odisha","Agriculture Wing",1.0
"2010-11","Orissa","Civil",1.0
"2010-11","Orissa","Commercial",1.0
"2010-11","Orissa","Revenue",1.0
"2010-11","Orissa","State Finance",1.0
"2010-11","Puducherry","Civil",1.0
"2010-11","Puducherry","Union Territory Finances",1.0
"2010-11","Punjab","Civil",1.0
"2010-11","Punjab","Commercial",1.0
"2010-11","Punjab","Revenue",1.0
"2010-11","Punjab","Stand Alone",1.0
"2010-11","Punjab","State Finance",1.0
"2010-11","Rajasthan","Civil",1.0
"2010-11","Rajasthan","Commercial",1.0
"2010-11","Rajasthan","Levy and Collection of Stamp Duty and Registration Fees",1.0
"2010-11","Rajasthan","Revenue Receipts",1.0
"2010-11","Rajasthan","State Finance",1.0
"2010-11","Sikkim","Civil",1.0
"2010-11","Sikkim","Impact of Implementation of Developmental Schemes in South District ",1.0
"2010-11","Sikkim","State Finance",1.0
"2010-11","Tamil Nadu","Civil",1.0
"2010-11","Tamil Nadu","Commercial",1.0
"2010-11","Tamil Nadu","Revenue Receipts",1.0
"2010-11","Tamil Nadu","State Finance",1.0
"2010-11","Tripura","Civil",1.0
"2010-11","Tripura","State Finance",1.0
"2010-11","Uttar Pradesh","Civil",1.0
"2010-11","Uttar Pradesh","Commercial",1.0
"2010-11","Uttar Pradesh","Compliance with Environmental Laws in Lucknow City",1.0
"2010-11","Uttar Pradesh","National Rural Health Mission (NRHM)",1.0
"2010-11","Uttar Pradesh","Revenue Receipts",1.0
"2010-11","Uttar Pradesh","Sale of Sugar Mills of Uttar Pradesh State Sugar Corporation Limited",1.0
"2010-11","Uttar Pradesh","State Finance",1.0
"2010-11","Uttarakhand","Civil",1.0
"2010-11","Uttarakhand","State Finance",1.0
"2010-11","West Bengal","Civil",1.0
"2010-11","West Bengal","Commercial",1.0
"2010-11","West Bengal","Revenue",1.0
"2010-11","West Bengal","State Finance",1.0
"2009-10","(blank)","Arrears of Sales Tax",1.0
"2009-10","Andhra Pradesh","Civil",1.0
"2009-10","Andhra Pradesh","Commercial",1.0
"2009-10","Andhra Pradesh","Revenue",1.0
"2009-10","Andhra Pradesh","Revenue Receipts",1.0
"2009-10","Andhra Pradesh","State Finance",1.0
"2009-10","Arunachal Pradesh","Civil & Commercial",1.0
"2009-10","Arunachal Pradesh","State Finance",1.0
"2009-10","Assam","Civil",1.0
"2009-10","Assam","Commercial",1.0
"2009-10","Assam","Revenue",1.0
"2009-10","Assam","Stand Alone Reports",1.0
"2009-10","Assam","State Finance",1.0
"2009-10","Bihar","Civil",1.0
"2009-10","Bihar","Commercial",1.0
"2009-10","Bihar","Revenue",1.0
"2009-10","Bihar","State Finance",1.0
"2009-10","Chattisgarh","Civil & Commercial",1.0
"2009-10","Chattisgarh","Revenue",1.0
"2009-10","Chattisgarh","State Finance",1.0
"2009-10","Delhi","Civil & Commercial",1.0
"2009-10","Delhi","Revenue",1.0
"2009-10","Delhi","State Finance",1.0
"2009-10","Goa","Civil & Commercial",1.0
"2009-10","Goa","State Finance",1.0
"2009-10","Gujarat","Civil",1.0
"2009-10","Gujarat","Commercial",1.0
"2009-10","Gujarat","State Finance",1.0
"2009-10","Gujrat","Revenue",1.0
"2009-10","Haryana","Civil",1.0
"2009-10","Haryana","Commercial",1.0
"2009-10","Haryana","Revenue",1.0
"2009-10","Haryana","State Finance",1.0
"2009-10","Himachal Pradesh","Civil",1.0
"2009-10","Himachal Pradesh","Commercial",1.0
"2009-10","Himachal Pradesh","Revenue",1.0
