-----
{
 "description": "The table states head count ratio and number of poor persons (in lakh) for 1973-74, 1983, 1993-94 and 2004-05 for Rural India, Urban India and on country level.", 
 "file_name": "RD02.csv", 
 "title": "Download CSV for Headcount Ratio and Number of Poor Persons Below Poverty Line in India (Combined, Rural and Urban Both)", 
 "url": "http://data.gov.in/sites/default/files/RD02.csv"
}
-----
States/Uts,Headcount Ratio Below Poverty Line in India (Combined) 1973-74,Headcount Ratio Below Poverty Line in India (Combined) 1983,Headcount Ratio Below Poverty Line in India (Combined) 1993-94,Headcount Ratio Below Poverty Line in India (Combined) 2004-05,No. of poor persons (in Lakh) Below Poverty Line in India (Combined)1973-74,No. of poor persons (in Lakh) Below Poverty Line in India (Combined) 1983,No. of poor persons (in Lakh) Below Poverty Line in India (Combined) 1993-94,No. of poor persons (in Lakh) Below Poverty Line in India (Combined) 2004-05
Andhra Pradesh,48.9,28.9,22.2,15.8,225.7,164.6,154,126.1
Assam,51.2,40.5,40.9,19.7,81.8,77.7,96.4,55.8
Bihar,61.9,62.2,55,41.4,370.6,462.1,493.4,369.2
Delhi,49.6,26.2,14.7,14.7,22.8,18.4,15.5,22.9
Goa,44.3,18.9,14.9,13.8,4.9,2.2,1.9,2
Gujrat,48.2,32.8,24.2,16.8,138.4,117.9,105.2,90.7
Haryana,35.4,21.4,25.1,14,38.3,29.6,43.9,32.1
Himanchal,26.4,16.4,28.4,10,9.7,7.4,15.9,6.4
Karnataka,54.5,38.2,33.2,25,170.7,149.8,156.5,138.9
Kerala,58.8,40.4,25.4,15,135.5,106.8,76.4,49.6
Madhya Pradesh,61.8,49.8,42.5,38.3,276.3,278,298.5,249.7
Maharashtra,53.2,43.4,36.9,30.7,287.4,290.9,305.2,317.4
Odisha,66.2,65.3,48.6,46.4,154.5,181.3,160.6,178.5
Punjab,28.2,16.2,11.8,8.4,40.5,28.6,25.1,21.6
Rajasthan,46.1,34.5,27.4,22.1,128.5,126.8,128.5,134.9
Tamil Nadu,54.9,51.7,35,22.5,239.5,260.1,202.1,145.6
Uttar Pradesh,57.1,47.1,40.9,32.8,535.7,556.7,604.5,590
West Bengal,63.4,54.9,35.7,24.7,299.3,318.7,254.6,208.4
Chattishgarh, ,,,40.9,,,,91
Jharkhand,,,,40.3,,,,116.4
Uttrakhand,,,,39.6,,,,36
Chandigarh,28,23.8,11.4,7.1,0.8,1.2,0.8,0.7
Dadra & Nagar Haweli,46.6,15.7,50.8,33.2,0.4,0.2,0.8,0.8
J&k,40.8,24.2,25.2,5.4,20.5,15.6,20.9,5.9
All India,54.9,44.5,36,27.5,"3,213.40","3,229.00","3,203.70","3,017.20"
