-----
{
 "description": "This table provides details on performance of Freight Business of Indian Railways during Eleventh Five Year Plan.", 
 "file_name": "Performance_of_Freight_Business_of_Indian_Railways.xls", 
 "title": "Download XLS for Performance Of Freight Business Of Indian Railways During Eleventh Five Year Plan", 
 "url": "http://data.gov.in/sites/default/files/Performance_of_Freight_Business_of_Indian_Railways.xls"
}
-----
"Item","Tenth Plan Actuals in Terminal Year 2006-07","Eleventh Plan Targets for Terminal Year (2011-12)","Eleventh Plan Revised Targets in Mid-Term Review for Terminal Year 2011-12","2007-08","2008-09","2009-10","2010-11","2011-12","CAGR"
"Originating Tonnage (Million Tonnes)",728.4,1100.0,1020.0,794.21,833.31,887.99,921.5,970.0,"NA"
"Growth in Originating (Percentage)","NA",8.6,7.0,9.03,4.92,6.56,3.77,5.26,5.8
"NTKM (Billion)",475.0,702.0,674.0,511.8,538.23,584.76,605.99,639.77,"NA"
"Growth in NTKM (Percentage)","NA",7.8,7.0,7.7,5.16,8.65,3.63,8.67,6.1
