-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.5.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.5.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.12.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.12.csv"
}
-----
"State","District","Block","Total","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ANDHRA PRADESH","ADILABAD","ADILABAD",14,0,36,0
"ANDHRA PRADESH","ADILABAD","ASIFABAD",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BEJJUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHAINSA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHEEMINI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BOATH",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","CHENNUR",5,0,108,0
"ANDHRA PRADESH","ADILABAD","DAHEGAON",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",12,0,65,0
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","ICHODA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAINAD",31,1,29,0
"ANDHRA PRADESH","ADILABAD","JAINOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAIPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JANNARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",22,0,192,0
"ANDHRA PRADESH","ADILABAD","KASIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KERAMERI",9,0,2,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOUTHALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUBEER",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUNTALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAHESRA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MAMDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MUDHOLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NARNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NENNAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NIRMAL",2,0,0,180
"ANDHRA PRADESH","ADILABAD","REBBENA",NA,NA,NA,NA
