-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "KeralaNSDPcurrent_1.csv", 
 "title": "Download CSV for Kerala Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/KeralaNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","20010-11","2011-12"
"Agriculture","1365071","1511407","1660454","1802034","2131605","2144916","2829220","3288132"
"Foresty and Logging","202195","255804","226424","257189","346842","411579","375251","435398"
"Fishing","158049","217359","230130","230592","230677","270607","285272","306617"
"Ag and Allied","1725315","1984570","2117008","2289815","2709124","2827102","3489743","4030146"
"Mining and Quarrying","38328","58281","51158","112042","103643","132506","134835","140455"
"Sub total of primary","1763643","2042851","2168166","2401857","2812767","2959608","3624578","4170601"
"Manufacturing","808608","861032","973874","1226886","1395116","1396171","1604585","1830722"
"Registered","347573","366553","378969","507407","657576","601266","703830","807662"
"Unregistered","461035","494479","594905","719479","737540","794905","900755","1023059"
"Construction","1392541","1675325","1913115","2081891","2209540","2685130","3227685","3758819"
"Electricity, Gas and water Supply","97464","102965","110382","111677","130291","166919","200828","256673"
"Sub total of secondary","2298613","2639322","2997371","3420454","3734947","4248219","5033098","5846214"
"Industry","2336941","2697603","3048529","3532496","3838590","4380725","5167933","5986669"
"Transport Storage and Communication","1003398","1135787","1274851","1378198","1664270","1938356","2242071","2610334"
"Railways","41337","41417","47941","50036","70782","93295","94138","108491"
"Transport by other means","711989","824374","935873","1016133","1261806","1484705","1714015","1994325"
"Storage","4702","4940","5980","7141","8472","10276","12335","14942"
"Communication","245370","265056","285057","304888","323210","350080","421582","492576"
"Trade, hotels and restaurants","2302700","2690736","3037247","3425501","4060844","4938857","5664889","6768993"
"Banking and Insurance","594202","655275","747213","856525","1008342","1110216","1366672","1635985"
"Real estate, ownership of dwelling and business","1064637","1282983","1494663","1799188","2187422","2507252","2730787","3237846"
"Pubic Administration","400442","444781","517578","619474","752687","794293","944122","1119052"
"Other Services","1049970","1135177","1273348","1496881","1792157","2110177","2336368","2698058"
"Sub total of tertiary","6415349","7344739","8344900","9575767","11465722","13399152","15284909","18070269"
"State domestic product","10477605","12026912","13510437","15398078","18013436","20606979","23942585","28087084"

"Figures are in Rs. Lakh"
