-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,511,91,34,11,83,730
ANDHRA PRADESH,EAST GODAVARI,KARAPA,24,0,0,0,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,680,2,1,0,0,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,344,40,2,0,0,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,246,0,0,0,0,246
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,56,0,2,0,0,58
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,1563,0,0,0,0,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,2035,0,0,0,0,2035
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,381,0,0,0,52,433
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,676,1,0,0,27,704
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,467,0,0,0,0,467
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,788,0,0,0,0,788
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,39,0,3,0,304,346
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,257,0,0,0,0,257
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,339,0,0,0,0,339
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,356,39,2,0,0,397
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,320,2,1,0,0,323
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),192,0,0,0,0,192
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,82,0,0,0,0,82
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,2,20,12,0,582,616
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,7,0,0,31,0,38
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,1214,0,4,0,1,1219
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,0,1,0,0,366,367
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,133,0,0,0,32,165
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,110,0,0,0,0,110
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,52,0,0,0,4,56
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,241,50,0,0,0,291
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,701,0,1,0,0,702
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,27,0,0,0,0,27
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,20,281,1,61,2,365
