-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total
ASSAM,BONGAIGAON,BOROBAZAR,318,0,0,0,4,322
ASSAM,BONGAIGAON,DANGTOLA,513,0,0,0,287,800
ASSAM,BONGAIGAON,MANIKPUR,1236,0,0,0,411,1647
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,357,0,0,0,29,386
ASSAM,BONGAIGAON,SRIJANGRAM,1110,0,0,0,386,1496
ASSAM,BONGAIGAON,TAPALARI,843,0,0,0,253,1096
ASSAM,DARRANG,BECHIMARI,423,0,0,0,28,451
ASSAM,DARRANG,BHERGAON,194,0,0,0,1,195
ASSAM,DARRANG,DOLGAON-SIALMARI,610,0,0,0,18,628
ASSAM,DARRANG,KALAIGAON,1239,0,0,0,14,1253
ASSAM,DARRANG,KHIRABARI,149,0,0,0,0,149
ASSAM,DARRANG,MAZBAT,403,0,0,0,0,403
ASSAM,DARRANG,PACHIM-MANGALDAI,734,0,2,0,0,736
ASSAM,DARRANG,PUB-MANGALDAI,858,0,0,0,17,875
ASSAM,DARRANG,RAWTA,54,0,0,0,0,54
ASSAM,DARRANG,SIPAJHAR,906,0,0,0,14,920
ASSAM,DARRANG,UDALGURI,97,0,0,0,0,97
ASSAM,DHEMAJI,BORDOLONI,36,0,0,0,73,109
ASSAM,DHEMAJI,DHEMAJI,71,0,0,0,178,249
ASSAM,DHEMAJI,MACH KHOWA,59,0,0,0,1,60
ASSAM,DHEMAJI,MSTD BLOCK,6,0,0,0,10,16
ASSAM,DHEMAJI,SISSIBOR GAON,345,0,0,0,14,359
ASSAM,DHUBRI,AGAMONI,13,0,0,0,1050,1063
ASSAM,DHUBRI,BILASHI PARA,0,0,0,0,350,350
ASSAM,DHUBRI,BIRASHINGJARUA,0,0,0,0,148,148
ASSAM,DHUBRI,CHAPAR-SALKOCHS,300,0,0,0,240,540
ASSAM,DHUBRI,DEBITOLA,279,0,2,0,267,548
ASSAM,DHUBRI,FEKAMANI,2,0,0,0,442,444
ASSAM,DHUBRI,GAURIPUR,9,2,2,0,929,942
ASSAM,DHUBRI,GOLOKGANJ,55,15,114,50,726,960
ASSAM,DHUBRI,JAMADARHAT,3,0,0,0,17,20
ASSAM,DHUBRI,MAHAMAYA,2,0,1,0,1108,1111
ASSAM,DHUBRI,MANKACHAR,8,0,0,2,707,717
ASSAM,DHUBRI,NAYERALGA,1,0,478,0,149,628
ASSAM,DHUBRI,RUPSI PT.,1,0,0,2,1414,1417
ASSAM,DHUBRI,SOUTH SALMARA,22,0,0,0,525,547
ASSAM,DIBRUGARH,BARBARUA,0,0,0,0,628,628
ASSAM,DIBRUGARH,JOYPUR,0,0,0,0,677,677
ASSAM,DIBRUGARH,KHOWANG,0,0,0,0,798,798
ASSAM,DIBRUGARH,LAHOWAL,1,0,0,0,230,231
ASSAM,DIBRUGARH,PANITOLA,2,0,0,0,395,397
ASSAM,DIBRUGARH,TENGAKHAT,0,0,0,0,661,661
ASSAM,DIBRUGARH,TINGKHONG,2,0,0,0,758,760
ASSAM,GOALPARA,BALIJAN,42,0,27,101,54,224
ASSAM,GOALPARA,DUDHNAI,27,0,3,4,11,45
ASSAM,GOALPARA,JALESWAR,321,0,151,1,5,478
ASSAM,GOALPARA,KHARMUJA,964,0,0,0,12,976
ASSAM,GOALPARA,KRISHNAI,135,0,0,0,0,135
ASSAM,GOALPARA,KUSHDHAWA,8,4,4,53,6,75
ASSAM,GOALPARA,LAKHIPUR,544,0,13,0,2,559
ASSAM,GOALPARA,MATIA,147,0,2,136,10,295
ASSAM,GOLAGHAT,GAMARIGURI,22,0,0,0,163,185
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,12,0,0,0,89,101
ASSAM,GOLAGHAT,GOLAGHAT EAST,1,0,0,0,136,137
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,0,0,0,269,269
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,275,0,0,0,250,525
ASSAM,GOLAGHAT,GOLAGHAT WEST,34,0,0,0,577,611
ASSAM,GOLAGHAT,KAKODONGA,1,0,0,0,229,230
ASSAM,GOLAGHAT,MORONGI,0,0,0,0,212,212
ASSAM,HAILAKANDI,ALGAPUR,0,0,1,0,0,1
ASSAM,JORHAT,JORHAT CENTRAL,11,16,1,0,2,30
ASSAM,JORHAT,JORHAT EAST,11,0,0,0,0,11
ASSAM,JORHAT,JORHAT NORTH WEST,125,187,13,12,40,377
ASSAM,JORHAT,KALIAPANI,268,0,0,0,0,268
ASSAM,JORHAT,MAJULI,227,0,0,0,0,227
ASSAM,JORHAT,TITABAR,10,24,0,0,0,34
ASSAM,JORHAT,UJANI MAJULI,40,3,0,0,241,284
ASSAM,KAMRUP,BEZERA,0,0,0,0,281,281
ASSAM,KAMRUP,BIHDIA -JAJIKENA,231,0,0,0,0,231
ASSAM,KAMRUP,BOKO BONGAON,0,0,0,0,106,106
ASSAM,KAMRUP,BONGAON,0,0,0,0,179,179
ASSAM,KAMRUP,CHAMARIA,1172,0,0,0,6,1178
ASSAM,KAMRUP,CHANDRAPUR,81,0,0,0,0,81
ASSAM,KAMRUP,CHAYANI BARDUAR,0,0,0,0,126,126
ASSAM,KAMRUP,CHHAYGAON,1,0,0,0,330,331
ASSAM,KAMRUP,DIMORIA,0,0,0,0,149,149
ASSAM,KAMRUP,GAROI MARI,3,0,0,1,430,434
ASSAM,KAMRUP,GORESWAR,279,0,0,0,0,279
ASSAM,KAMRUP,HAJO,1656,0,2,0,3,1661
ASSAM,KAMRUP,KAMALPUR,354,0,1,0,2,357
ASSAM,KAMRUP,RAMPUR (PALAS BARI),2,0,0,0,434,436
ASSAM,KAMRUP,RANGIA,1,0,0,0,376,377
ASSAM,KAMRUP,RANI,1,0,0,0,36,37
ASSAM,KAMRUP,SUALKUCHI,491,0,0,0,0,491
ASSAM,KARBIANGLONG,RONGKHAG,0,0,0,0,65,65
ASSAM,KARIMGANJ,NORTH KARIMGANJ,0,0,0,0,0,0
ASSAM,KOKRAJHAR,DOTOMA,4,38,90,143,390,665
ASSAM,KOKRAJHAR,GOSSAIGAON,5,0,0,0,395,400
ASSAM,KOKRAJHAR,HATIDHURA,0,0,0,0,138,138
ASSAM,KOKRAJHAR,KACHUGAON,0,0,0,0,109,109
ASSAM,KOKRAJHAR,KOKRAJHAR,0,1,1,0,1024,1026
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,0,0,0,24,68,92
ASSAM,LAKHIMPUR,BIHPURIA,77,17,17,0,18,129
ASSAM,LAKHIMPUR,BOGINODI,0,0,61,3,25,89
ASSAM,LAKHIMPUR,DHAKUAKHANA,0,0,0,0,135,135
ASSAM,LAKHIMPUR,GHILAMARI,0,0,0,0,2,2
ASSAM,LAKHIMPUR,KARUNABARI,44,0,0,0,26,70
ASSAM,LAKHIMPUR,LAKHIMPUR,0,0,0,0,95,95
ASSAM,LAKHIMPUR,NARAYANPUR,241,4,7,6,34,292
ASSAM,LAKHIMPUR,NOWBOICHA,0,0,0,1,114,115
ASSAM,LAKHIMPUR,TELAHI,17,0,14,0,16,47
ASSAM,MORIGAON,BHUR- BANDHA,481,0,0,0,1,482
ASSAM,MORIGAON,DULONGGHAT,248,0,0,0,0,248
ASSAM,MORIGAON,KAPILI,0,0,0,0,0,0
ASSAM,MORIGAON,LAHORIGHAT,2469,0,0,0,0,2469
ASSAM,MORIGAON,MAIRABARI,582,0,0,0,0,582
ASSAM,MORIGAON,MAYONG,1614,0,0,0,1,1615
ASSAM,NAGOAN,BAJIAGAON,54,7,0,0,842,903
ASSAM,NAGOAN,BARHAMPUR,1,0,3,0,41,45
ASSAM,NAGOAN,BATADRAWA,1,2,0,0,878,881
ASSAM,NAGOAN,BINNAKANDI,0,0,9,20,83,112
ASSAM,NAGOAN,DALONG GHAT,20,3,2,21,114,160
ASSAM,NAGOAN,DHALPUKHURI,26,9,0,1,705,741
ASSAM,NAGOAN,JOGIJAN,322,0,1,12,92,427
ASSAM,NAGOAN,JURIA,8,2,0,0,1267,1277
ASSAM,NAGOAN,KALIABOR,192,0,0,0,0,192
ASSAM,NAGOAN,KATHITOLI,321,1,97,3,148,570
ASSAM,NAGOAN,KHAGARIJAN,7,0,142,3,88,240
ASSAM,NAGOAN,LAO-KHOWA,0,0,0,0,407,407
ASSAM,NAGOAN,LIMDING DEV,0,0,0,0,1,1
ASSAM,NAGOAN,PACHIM KALIABOR,25,0,0,0,0,25
ASSAM,NAGOAN,PAKHIMORIA,76,0,0,0,2,78
ASSAM,NAGOAN,RAHA,0,0,0,0,104,104
ASSAM,NAGOAN,RUPAHI,1,5,0,0,381,387
ASSAM,NAGOAN,UDALI,1,0,0,0,16,17
ASSAM,NALBARI,BARBHAG,65,0,54,0,39,158
ASSAM,NALBARI,BARIGOG-BANBHAG,150,0,0,0,0,150
ASSAM,NALBARI,BARKHETRI,1524,0,16,11,62,1613
ASSAM,NALBARI,BASKA,70,22,4,2,4,102
ASSAM,NALBARI,DHAMDHAMA,5,27,0,0,0,32
ASSAM,NALBARI,MADHUPUR,27,16,8,20,1,72
ASSAM,NALBARI,NAGRIJULI,25,15,28,72,225,365
ASSAM,NALBARI,PACHIM NALBARI,233,83,7,21,0,344
ASSAM,NALBARI,PUB-NALBARI,25,0,0,0,151,176
ASSAM,NALBARI,TAMULPUR,58,1,8,1,6,74
ASSAM,NALBARI,TIHU,49,0,21,37,27,134
ASSAM,NALBARI,TIHU BARAMA,16,0,66,37,39,158
ASSAM,SIBSAGAR,DEMOW,81,0,1,3,522,607
ASSAM,SIBSAGAR,GOURISAGAR,182,10,46,8,59,305
ASSAM,SIBSAGAR,LAKWA,45,0,3,3,0,51
ASSAM,SIBSAGAR,NAZIRA,0,0,0,0,0,0
ASSAM,SIBSAGAR,PACHIM ABHOYPUR,0,0,0,38,0,38
ASSAM,SIBSAGAR,SEPEKHATI,6,0,0,0,211,217
ASSAM,SIBSAGAR,SIBSAGAR,424,0,0,0,9,433
ASSAM,SIBSAGAR,SONARI,138,1,26,20,5,190
ASSAM,SONITPUR,BAGHMARA,71,0,0,0,14,85
ASSAM,SONITPUR,BALIPARA,18,31,61,223,141,474
ASSAM,SONITPUR,BEHELI,47,0,0,0,10,57
ASSAM,SONITPUR,BIHAGURI,108,0,0,0,61,169
ASSAM,SONITPUR,BISHWANATH,25,0,0,0,9,34
ASSAM,SONITPUR,BORCHALA,612,1,7,0,14,634
ASSAM,SONITPUR,CHAIDUAR,4,0,0,0,8,12
ASSAM,SONITPUR,CHATIA,42,0,0,0,0,42
ASSAM,SONITPUR,DHEKIAJULI,12,0,0,0,247,259
ASSAM,SONITPUR,GABHARU,380,0,0,0,52,432
ASSAM,SONITPUR,NADUAR,147,0,0,0,86,233
ASSAM,SONITPUR,PUB-CHAIDUAR,25,0,0,0,21,46
ASSAM,SONITPUR,RANGAPARA,2,0,0,0,20,22
ASSAM,SONITPUR,SOKAMATHA,24,0,0,0,2,26
ASSAM,TINSUKIA,GUIJAN,204,0,0,0,12,216
ASSAM,TINSUKIA,HAPJAN,400,0,0,0,17,417
ASSAM,TINSUKIA,ITAKHULI,170,0,0,0,47,217
ASSAM,TINSUKIA,KAKAPATHAR,7,0,0,0,636,643
ASSAM,TINSUKIA,MARGHERITA,1,0,0,0,288,289
ASSAM,TINSUKIA,SADIYA,90,0,0,0,0,90
ASSAM,TINSUKIA,SAIKHOWA,240,0,0,0,25,265
BIHAR,ARARIA,ARARIA,64,430,510,1,0,1005
BIHAR,ARARIA,BHARGAMA,7,1481,1177,231,0,2896
BIHAR,ARARIA,FORBESGANJ,470,156,1031,0,1,1658
BIHAR,ARARIA,JOKIHAT,643,176,909,0,70,1798
BIHAR,ARARIA,KURSAKANTA,188,64,638,214,2,1106
BIHAR,ARARIA,NARPATGANJ,12,66,781,611,0,1470
BIHAR,ARARIA,PALASI,111,0,1183,0,40,1334
BIHAR,ARARIA,RANIGANJ,474,1,809,0,0,1284
BIHAR,ARARIA,SIKTI,241,0,325,0,0,566
BIHAR,AURANGABAD,AURANGABAD,0,105,33,189,2,329
BIHAR,AURANGABAD,BARUN,0,228,33,191,391,843
BIHAR,AURANGABAD,DAUDNAGAR,0,48,89,229,133,499
BIHAR,AURANGABAD,DEO,0,24,5,32,0,61
BIHAR,AURANGABAD,GOH,0,300,1119,111,96,1626
BIHAR,AURANGABAD,HASPURA,0,335,959,38,0,1332
BIHAR,AURANGABAD,KUTUMBA,1,29,47,362,33,472
BIHAR,AURANGABAD,MADANPUR,0,97,158,215,8,478
BIHAR,AURANGABAD,NABINAGAR,0,32,20,82,0,134
BIHAR,AURANGABAD,OBRA,0,78,535,0,80,693
BIHAR,AURANGABAD,RAFIGANAJ,0,79,685,572,1,1337
BIHAR,BANKA,AMARPUR,0,31,16,1052,0,1099
BIHAR,BANKA,BANKA,98,0,26,208,0,332
BIHAR,BANKA,BARAHAT,0,0,85,249,0,334
BIHAR,BANKA,BELHAR,470,0,0,7,22,499
BIHAR,BANKA,BOUNSI,0,0,0,79,12,91
BIHAR,BANKA,DHORAIYA,1,107,40,870,43,1061
BIHAR,BANKA,PHULLIDUMER,2,0,3,96,0,101
BIHAR,BANKA,RAJOUN,6,0,904,1,1,912
BIHAR,BANKA,SAMBHUGANJ,106,2,381,418,0,907
BIHAR,BEGUSARAI,BACHHAWARA,757,0,1150,0,1,1908
BIHAR,BEGUSARAI,BAKHRI,443,55,200,22,0,720
BIHAR,BEGUSARAI,BALLIA,576,3,504,3,0,1086
BIHAR,BEGUSARAI,BARAUNI,1156,12,202,2,0,1372
BIHAR,BEGUSARAI,BEGUSARAI,2238,11,119,13,120,2501
BIHAR,BEGUSARAI,BHAGWANPUR,266,182,282,154,217,1101
BIHAR,BEGUSARAI,BIRPUR,467,0,205,282,2,956
BIHAR,BEGUSARAI,CH.BARIYARPUR,1034,0,56,34,38,1162
BIHAR,BEGUSARAI,CHHAURAHI,1095,2,165,0,0,1262
BIHAR,BEGUSARAI,DANDARI,345,12,65,159,3,584
BIHAR,BEGUSARAI,GADHPURA,174,32,548,0,0,754
BIHAR,BEGUSARAI,KHODAWANDPUR,84,118,199,0,334,735
BIHAR,BEGUSARAI,MANSOORCHAK,304,0,167,0,0,471
BIHAR,BEGUSARAI,MATIHANI,1035,2,11,11,338,1397
BIHAR,BEGUSARAI,NAWAKOTHI,732,99,158,0,62,1051
BIHAR,BEGUSARAI,S.KAMAL,719,0,60,1,894,1674
BIHAR,BEGUSARAI,SAMHO AKHA KURHA,229,0,3,0,20,252
BIHAR,BEGUSARAI,TEGHRA,753,11,9,0,32,805
BIHAR,BHAGALPUR,BIHPUR,713,0,68,322,177,1280
BIHAR,BHAGALPUR,GOPALPUR,728,0,0,0,0,728
BIHAR,BHAGALPUR,GOURADIH,225,0,54,96,3,378
BIHAR,BHAGALPUR,ISMAILPUR,176,0,0,13,0,189
BIHAR,BHAGALPUR,JAGDISHPUR,15,1,11,0,37,64
BIHAR,BHAGALPUR,KAHALGAON,77,0,21,362,0,460
BIHAR,BHAGALPUR,KHARIK,886,0,5,1,3,895
BIHAR,BHAGALPUR,NARAYANPUR,83,0,19,33,283,418
BIHAR,BHAGALPUR,NATHNAGAR,641,7,125,62,0,835
BIHAR,BHAGALPUR,NAVGACHHIA,505,304,78,198,18,1103
BIHAR,BHAGALPUR,PIRPAINTY,443,0,6,564,0,1013
BIHAR,BHAGALPUR,RANGRA CHOWK,410,0,0,2,0,412
BIHAR,BHAGALPUR,SABOUR,375,1,38,24,1,439
BIHAR,BHAGALPUR,SANHAULA,402,17,227,406,29,1081
BIHAR,BHAGALPUR,SHAHKUND,414,11,185,995,95,1700
BIHAR,BHAGALPUR,SULTANGANJ,254,0,30,552,0,836
BIHAR,BHOJPUR,AGIAON,429,52,2,142,306,931
BIHAR,BHOJPUR,ARA,1445,7,44,1,23,1520
BIHAR,BHOJPUR,BARHARA,401,1,214,20,22,658
BIHAR,BHOJPUR,BEHEA,553,25,622,92,248,1540
BIHAR,BHOJPUR,CHARPOKHARI,574,21,24,17,126,762
BIHAR,BHOJPUR,GARHANI,551,0,64,2,56,673
BIHAR,BHOJPUR,JAGDISHPUR,1085,591,1312,128,64,3180
BIHAR,BHOJPUR,KOILWAR,419,7,607,218,77,1328
BIHAR,BHOJPUR,PIRO,1428,56,114,117,517,2232
BIHAR,BHOJPUR,SAHAR,80,0,5,0,215,300
BIHAR,BHOJPUR,SANDESH,111,0,268,207,402,988
BIHAR,BHOJPUR,SHAHPUR,306,7,255,195,425,1188
BIHAR,BHOJPUR,TARARI,505,0,2,9,857,1373
BIHAR,BHOJPUR,UDWANTNAGAR,182,326,633,22,7,1170
BIHAR,BUXAR,BRAHMPUR,1,174,323,5,1157,1660
BIHAR,BUXAR,BUXAR,1276,0,0,18,164,1458
BIHAR,BUXAR,CHAKKI,3,0,1,0,191,195
BIHAR,BUXAR,CHOUGAI,0,0,0,579,0,579
BIHAR,BUXAR,CHOUSA,0,10,59,0,830,899
BIHAR,BUXAR,DUMRAON,37,372,0,216,199,824
BIHAR,BUXAR,ITARHI,2,16,206,0,1854,2078
BIHAR,BUXAR,KESATH,3,231,120,0,1,355
BIHAR,BUXAR,NAWANAGAR,353,20,213,247,241,1074
BIHAR,BUXAR,RAJPUR,5,521,79,1,1782,2388
BIHAR,BUXAR,SIMRI,1,30,64,5,1277,1377
BIHAR,DARBHANGA,ALINAGAR,0,0,351,0,0,351
BIHAR,DARBHANGA,BAHADURPUR,0,0,0,0,784,784
BIHAR,DARBHANGA,BAHERI,0,0,0,0,1733,1733
BIHAR,DARBHANGA,BENIPUR,0,0,771,0,0,771
BIHAR,DARBHANGA,BIRAUL,0,0,0,0,1256,1256
BIHAR,DARBHANGA,DARBHANGA,0,0,0,0,809,809
BIHAR,DARBHANGA,GAURA BAURAM,0,0,0,6,744,750
BIHAR,DARBHANGA,GHANSHYAMPUR,0,0,0,0,441,441
BIHAR,DARBHANGA,HANUMAN NAGAR,0,0,0,0,642,642
BIHAR,DARBHANGA,HAYAGHAT,0,0,0,0,475,475
BIHAR,DARBHANGA,JALE,0,0,0,0,707,707
BIHAR,DARBHANGA,KEOTI RUNWAY,0,0,0,0,845,845
BIHAR,DARBHANGA,KIRATPUR,0,0,0,0,186,186
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,0,0,0,0,329,329
BIHAR,DARBHANGA,KUSESHWAR ASTHAN (E),0,0,279,0,0,279
BIHAR,DARBHANGA,MANIGACHHI,0,0,0,0,514,514
BIHAR,DARBHANGA,SINGHWARA,0,0,0,0,882,882
BIHAR,DARBHANGA,TARDIH,0,0,0,0,345,345
BIHAR,EAST CHAMPARAN,ADAPUR,981,0,8,0,355,1344
BIHAR,EAST CHAMPARAN,AREARAJ,617,2,165,10,94,888
BIHAR,EAST CHAMPARAN,BANJARIYA,968,0,0,0,2,970
BIHAR,EAST CHAMPARAN,BANKATWA,22,0,640,0,0,662
BIHAR,EAST CHAMPARAN,CHAKIYA,116,119,1531,4,6,1776
BIHAR,EAST CHAMPARAN,CHAURADANO,660,0,166,1,458,1285
BIHAR,EAST CHAMPARAN,CHIRIYA,98,584,206,16,0,904
BIHAR,EAST CHAMPARAN,DHAKA,259,235,558,186,2,1240
BIHAR,EAST CHAMPARAN,GHORASAHAN,164,0,753,0,1,918
BIHAR,EAST CHAMPARAN,HARSIDHI,470,710,91,13,899,2183
BIHAR,EAST CHAMPARAN,KALYANPUR,435,0,0,0,1799,2234
BIHAR,EAST CHAMPARAN,KESARIA,811,2,0,98,0,911
BIHAR,EAST CHAMPARAN,KOTWA,640,0,0,0,1,641
BIHAR,EAST CHAMPARAN,MADHUBAN,214,11,119,10,1558,1912
BIHAR,EAST CHAMPARAN,MEHSI,1381,110,443,35,9,1978
BIHAR,EAST CHAMPARAN,MOTIHARI,657,1,940,0,113,1711
BIHAR,EAST CHAMPARAN,PAHARPUR,356,148,841,173,0,1518
BIHAR,EAST CHAMPARAN,PAKRIDYAL,1,5,244,13,1220,1483
BIHAR,EAST CHAMPARAN,PATAHI,676,463,48,0,0,1187
BIHAR,EAST CHAMPARAN,PHENHARA,115,0,311,0,485,911
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,762,3,5,0,0,770
BIHAR,EAST CHAMPARAN,RAMGARHWA,262,252,207,1,0,722
BIHAR,EAST CHAMPARAN,RAXAUL,300,42,252,49,34,677
BIHAR,EAST CHAMPARAN,SANGRAMPUR,717,25,48,0,2,792
BIHAR,EAST CHAMPARAN,SUGAULI,4,512,797,6,11,1330
BIHAR,EAST CHAMPARAN,TETARIA,136,0,31,8,944,1119
BIHAR,EAST CHAMPARAN,TURKAULIA,467,27,8,63,818,1383
BIHAR,GAYA,AMAS,0,6,0,12,166,184
BIHAR,GAYA,ATRI,0,119,391,7,127,644
BIHAR,GAYA,BANKE BAZAR,1,70,0,145,529,745
BIHAR,GAYA,BARACHATTY,0,0,0,242,209,451
BIHAR,GAYA,BATHANI,0,0,230,66,340,636
BIHAR,GAYA,BELAGANJ,0,58,63,288,2003,2412
BIHAR,GAYA,BODHGAYA,0,175,0,146,437,758
BIHAR,GAYA,DOBHI,0,53,24,0,281,358
BIHAR,GAYA,DUMARIYA,0,0,0,56,331,387
BIHAR,GAYA,FATEHPUR,0,12,27,158,500,697
BIHAR,GAYA,GAYA NAGAR,0,1225,48,0,230,1503
BIHAR,GAYA,GURARU,0,24,137,345,284,790
BIHAR,GAYA,GURUA,0,9,809,17,381,1216
BIHAR,GAYA,IMAMGANJ,0,0,30,1,926,957
BIHAR,GAYA,KHIZARSARAI,0,0,11,0,2219,2230
BIHAR,GAYA,KONCH,0,6,175,152,1686,2019
BIHAR,GAYA,MANPUR,0,146,419,18,362,945
BIHAR,GAYA,MOHANPUR,0,0,313,0,16,329
BIHAR,GAYA,PARAIYA,0,114,480,3,600,1197
BIHAR,GAYA,SHERGHATTY,0,64,43,27,406,540
BIHAR,GAYA,TANKUPPA,0,218,313,289,22,842
BIHAR,GAYA,TEKARI,0,15,54,181,2185,2435
BIHAR,GAYA,WAZIRGANJ,0,150,50,700,559,1459
BIHAR,GOPAALGANJ,BAIKUNTHPUR,1452,11,120,142,41,1766
BIHAR,GOPAALGANJ,BARAULI,2,353,586,109,444,1494
BIHAR,GOPAALGANJ,BHOREY,2056,0,18,0,242,2316
BIHAR,GOPAALGANJ,BIJAIPUR,635,0,761,678,60,2134
BIHAR,GOPAALGANJ,GOPALGANJ,1,0,424,0,493,918
BIHAR,GOPAALGANJ,HATHUA,1484,6,203,223,74,1990
BIHAR,GOPAALGANJ,KATEYA,0,1,773,11,442,1227
BIHAR,GOPAALGANJ,KUCHAIKOTE,18,82,53,54,2356,2563
BIHAR,GOPAALGANJ,MANJHA,8,255,1063,9,158,1493
BIHAR,GOPAALGANJ,PANCHDEWRI,0,0,327,63,535,925
BIHAR,GOPAALGANJ,PHULWARIYA,0,123,143,267,531,1064
BIHAR,GOPAALGANJ,SIDHWALIYA,1,0,124,0,407,532
BIHAR,GOPAALGANJ,THAWE,29,0,573,0,6,608
BIHAR,GOPAALGANJ,UCHKAGAON,2,0,236,0,1444,1682
BIHAR,JAMUI,ALIGANJ,0,0,13,0,175,188
BIHAR,JAMUI,BARHAT,0,0,0,0,20,20
BIHAR,JAMUI,CHAKAI,4,0,1,0,0,5
BIHAR,JAMUI,GHIDHOR,0,69,73,49,256,447
BIHAR,JAMUI,JAMUI,1055,7,37,178,37,1314
BIHAR,JAMUI,JHAJHA,50,26,13,132,0,221
BIHAR,JAMUI,KHAIRA,7,220,418,353,0,998
BIHAR,JAMUI,LAXMIPUR,27,0,0,0,0,27
BIHAR,JAMUI,SIKANDARA,198,0,45,281,0,524
BIHAR,JAMUI,SONO,137,39,12,18,12,218
BIHAR,JEHANABAD,ARWAL,177,103,452,112,13,857
BIHAR,JEHANABAD,GHOSHI,86,33,835,177,443,1574
BIHAR,JEHANABAD,HULASGANJ,0,55,421,169,406,1051
BIHAR,JEHANABAD,JEHANABAD,156,49,1484,369,28,2086
BIHAR,JEHANABAD,KAKO,660,592,1154,100,83,2589
BIHAR,JEHANABAD,KALER,231,234,156,0,2,623
BIHAR,JEHANABAD,KARPI,723,217,1254,85,2,2281
BIHAR,JEHANABAD,KURTHA,598,570,249,121,161,1699
BIHAR,JEHANABAD,MAKHDUMPUR,1130,904,284,53,0,2371
BIHAR,JEHANABAD,MODANGANJ,39,8,634,238,159,1078
BIHAR,JEHANABAD,RATNI,499,178,1102,106,21,1906
BIHAR,JEHANABAD,VANSHI,225,127,511,100,77,1040
BIHAR,KAIMUR (BHABUA),BHABUA,1191,395,34,59,0,1679
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,85,0,139,43,0,267
BIHAR,KAIMUR (BHABUA),CHAINPUR,364,0,0,121,61,546
BIHAR,KAIMUR (BHABUA),CHAND,245,74,95,46,16,476
BIHAR,KAIMUR (BHABUA),DURGAWATI,685,400,281,92,1,1459
BIHAR,KAIMUR (BHABUA),KUDRA,1274,373,198,119,775,2739
BIHAR,KAIMUR (BHABUA),MOHANIA,378,312,772,370,15,1847
BIHAR,KAIMUR (BHABUA),NUAON,364,480,474,95,0,1413
BIHAR,KAIMUR (BHABUA),RAMGARH,24,1015,70,0,0,1109
BIHAR,KAIMUR (BHABUA),RAMPUR,389,2,47,54,44,536
BIHAR,KATIHAR,AMDABAD,816,18,79,0,157,1070
BIHAR,KATIHAR,AZAMNAGAR,7,0,0,0,5439,5446
BIHAR,KATIHAR,BALRAMPUR,2457,0,0,0,100,2557
BIHAR,KATIHAR,BARARI,1297,323,886,249,189,2944
BIHAR,KATIHAR,BARSOI,3298,0,17,0,8,3323
BIHAR,KATIHAR,DANDKHORA,35,0,0,0,1228,1263
BIHAR,KATIHAR,FALKA,1226,5,57,0,100,1388
BIHAR,KATIHAR,HASANGANJ,279,0,0,0,607,886
BIHAR,KATIHAR,KADWA,1030,786,1548,20,1295,4679
BIHAR,KATIHAR,KATIHAR,261,0,0,3,573,837
BIHAR,KATIHAR,KORHA,1987,49,591,60,104,2791
BIHAR,KATIHAR,KURSELA,491,0,12,0,0,503
BIHAR,KATIHAR,MANIHARI,1686,0,0,0,9,1695
BIHAR,KATIHAR,MANSAHI,793,13,26,0,0,832
BIHAR,KATIHAR,PRANPUR,2220,0,0,0,0,2220
BIHAR,KATIHAR,SAMELI,1154,0,2,0,298,1454
BIHAR,KHAGARIA,ALAULI,1910,5,10,0,2,1927
BIHAR,KHAGARIA,BELDAUR,889,1055,143,35,0,2122
BIHAR,KHAGARIA,CHAUTHAM,1590,4,98,0,8,1700
BIHAR,KHAGARIA,GOGRI,238,38,188,386,1029,1879
BIHAR,KHAGARIA,KHAGARIA,2191,169,231,0,21,2612
BIHAR,KHAGARIA,MANSI,700,0,0,0,0,700
BIHAR,KHAGARIA,PARBATTA,848,236,1360,384,0,2828
BIHAR,KISHANGANJ,BAHADURGANJ,676,0,876,0,0,1552
BIHAR,KISHANGANJ,DIGHAL BANK,1,1167,235,0,1,1404
BIHAR,KISHANGANJ,KISHANGANJ,198,72,716,1,0,987
BIHAR,KISHANGANJ,KOCHADHAMAN,1128,144,1412,12,1,2697
BIHAR,KISHANGANJ,POTHIA,1063,27,191,1,33,1315
