-----
{
 "description": "The dataset comprises latest quarterly estimates of Gross Domestic Product, Final Consumption Expenditure and other macro economic aggregates at constant(2004-05) prices.", 
 "file_name": "qtr_const_31may13_1.xls", 
 "title": "Download XLS for Quarterly Estimates of GDP at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/qtr_const_31may13_1.xls"
}
-----
"Industry","2004-05:Q1","2004-05:Q2","2004-05:Q3","2004-05:Q4","2005-06:Q1","2005-06:Q2","2005-06:Q3","2005-06:Q4","2006-07:Q1","2006-07:Q2","2006-07:Q3","2006-07:Q4","2007-08:Q1","2007-08:Q2","2007-08:Q3","2007-08:Q4","2008-09:Q1","2008-09:Q2","2008-09:Q3","2008-09:Q4","2009-10:Q1","2009-10:Q2","2009-10:Q3","2009-10:Q4","2010-11:Q1","2010-11:Q2","2010-11:Q3","2010-11:Q4","2011-12:Q1","2011-12:Q2","2011-12:Q3","2011-12:Q4","2012-13:Q1","2012-13:Q2","2012-13:Q3","2012-13:Q4"
"Agriculture, forestry & fishing",135745.285003,108878.891233,172400.855283,148401.165955,139404.326867,113023.227125,185750.113566,156309.196745,144789.486569,116946.985962,193208.754986,164244.495289,151336.287829,122418.659415,211649.363075,169676.906198,155734.38286,123779.553818,203809.604838,172364.916711,156673.54591,126274.622886,201085.021149,176954.095233,163231.126981,134678.458013,224697.958792,190868.164846,171965.94864,138986.505869,233893.568131,194649.0,176887.860211,141334.296443,238105.547521,197281.584236
"Mining & quarrying",20274.8406471,20067.3196926,21743.7124795,22942.3408808,21110.3863707,19649.5778701,21745.226928,23636.280946,22187.2331786,20901.0500924,23607.7772081,25882.3747247,22390.5731115,21837.2438514,24619.9570389,27149.1402829,23072.253301,22328.8933652,25467.9229645,27185.7512666,24521.2896104,23581.7976347,26481.7039231,29245.2088318,26317.7343529,25291.3789349,28083.0610292,29245.6030335,26204.5250315,23941.5953694,27344.5452868,30758.3343122,26302.3961094,24344.8593072,27156.783198,29814.872681
"Manufacturing",104207.816817,110614.293627,115718.266207,122684.210017,117189.436738,120671.900363,126163.960843,134994.702056,131959.119938,137616.184859,143793.05551,157089.639692,148706.378723,152133.037053,158014.3832,170219.201025,166691.203391,165642.549565,162644.960732,161323.286312,170061.76044,179189.547988,183107.922624,198076.861627,189313.293597,193940.692739,201333.627182,216888.803436,203349.190993,199872.886617,202664.838864,217135.940914,201229.853068,200001.113975,207689.249507,222728.196933
"Electricity, gas & water supply",15370.0459414,15738.1151161,15669.3870791,15897.4518634,16774.3528265,16450.4052369,16736.9810226,17161.260914,18054.759644,18076.9522724,18562.2676121,18668.0204715,19839.5926586,19680.4424038,19824.417649,20085.5472886,20613.9657264,20649.2263686,20750.9433954,21035.8645096,21890.9972674,22163.2003444,21644.9256857,22519.3338082,22992.8030518,22684.518444,22929.8784879,24164.9375767,24507.8090428,24599.3238955,24686.2630056,25020.2922181,26017.8761352,25386.4236514,25798.2404886,25715.8771212
"Construction",54628.1185204,55319.9296457,57933.8346982,60973.2283438,60666.5841436,60889.3808038,66694.3825954,69878.7983647,67522.3408405,67185.0548604,72818.5304969,77279.5952119,75363.1716317,76547.1751306,80378.9342507,83205.5263632,82341.0759148,81612.0984347,80870.2124317,87505.9847772,85728.7244583,86057.4062562,88021.1210426,94628.8211543,94837.5042291,93092.5884345,97625.2785018,105136.694226,98409.8211799,99166.7661821,104350.043411,110485.416466,105340.352884,102267.353061,107347.010557,115322.244336
"Trade, hotels, transport & communication",166533.887111,173257.913195,186954.787748,200973.87775,188804.944782,193771.803493,207862.23762,224967.834762,208196.158568,217247.270561,233528.608708,251112.113656,234407.146802,238927.741941,257642.506391,278542.255744,266149.271804,266043.935702,271619.270807,281312.407609,279572.567068,289201.475448,301208.568966,327907.62234,318593.295493,323780.832057,333815.395091,369471.275258,348902.669154,346451.646772,356768.090661,388189.335907,370197.375065,369996.310156,379549.610795,412291.433688
"Financing, insurance,real estate and business services",105801.790164,106112.679316,110412.299277,114846.770186,117726.694641,119827.14767,123278.74769,131507.817151,133495.670831,136317.222044,141315.143137,149935.097117,150450.178793,153451.315868,158335.471835,165886.557953,167557.507411,170253.137128,177074.172807,188744.488003,187610.955317,189650.193831,193063.941372,201579.90948,205748.264254,208712.481097,214127.741617,221043.513033,229638.224436,234459.620054,238585.677421,246124.47809,250955.336272,253996.492932,257216.423009,268516.203334
"Community, social & personal services",92439.0920249,100790.307803,100221.276308,117910.277505,98402.8537393,107993.266958,107907.148407,126122.976168,104671.760628,111542.646736,109403.620948,127205.215072,109109.804332,119533.35724,115353.340105,139920.827723,118787.690597,131290.062898,142756.333899,151662.838072,134067.739778,156387.461686,153632.088574,164281.709962,139577.171629,163083.544993,152526.988068,179170.29531,144517.087483,173627.941754,162959.448697,191364.522066,157323.73601,188204.092303,172006.137511,199111.337535
"GDP at factor cost",695000.87623,690779.449628,781054.41908,804629.322501,760079.580109,752276.70952,856138.798673,884578.867106,830876.530199,825833.367388,936237.758605,971416.551235,911603.133881,904528.972903,1025818.37355,1054685.96258,1000947.35101,981599.45728,1084993.42187,1091135.53726,1060127.57985,1072505.70607,1168245.29334,1215193.56244,1160611.19359,1165264.49471,1275139.92877,1335989.28672,1247496.0,1241106.28651,1351252.47548,1403726.62354,1314254.78575,1305530.94183,1414869.00259,1470781.74986
"Net indirect taxes",55042.079355,67302.5307372,69332.8783194,79067.5115885,59146.3181795,69815.5548054,70557.4201093,90651.7069059,49022.1639952,80432.1310085,78285.7305352,99384.9744611,63409.3018425,84573.005077,95710.0556869,110618.637394,52885.3030632,74122.1548852,53746.8951809,76919.6468707,46331.8480522,56672.4801856,63992.1581074,107779.513655,62931.8863182,76496.5122484,93022.7335128,126650.867921,77711.5036267,79547.5713786,96074.3101518,134463.614843,55958.9684908,48099.3595693,91339.8779066,112829.153712
"Indirect taxes",74374.8959347,88521.3311931,91028.7474391,110042.025433,81489.3370725,97870.5121138,100709.443076,125647.707738,88311.6522172,110480.034294,114223.419107,143781.894381,98814.6356979,115581.092103,129834.790788,159116.481411,97435.5939206,114305.204906,121245.505692,141022.695481,86678.2201564,105336.584611,113948.499593,156090.69564,106463.642071,126892.949785,138439.773346,186601.634798,122788.439993,137555.746568,146039.02055,199122.79289,125751.328566,144731.438765,155978.980581,216653.888236
"Subsidies",19332.8165797,21218.8004559,21695.8691197,30974.5138447,22343.018893,28054.9573084,30152.0229662,34996.0008323,39289.488222,30047.9032859,35937.6885722,44396.91992,35405.3338554,31008.0870257,34124.7351011,48497.8440179,44550.2908574,40183.050021,67498.6105115,64103.0486101,40346.3721042,48664.104425,49956.3414854,48311.1819854,43531.7557527,50396.4375365,45417.0398331,59950.7668776,45076.9363665,58008.1751889,49964.7103977,64659.1780469,69792.3600749,96632.0791955,64639.1026747,103824.734524
"GDP at market prices",750042.955585,758081.980365,850387.297399,883696.83409,819225.898288,822092.264325,926696.218782,975230.574012,879898.694194,906265.498396,1014523.48914,1070801.5257,975012.435724,989101.97798,1121528.42923,1165304.59997,1053832.65407,1055721.61217,1138740.31706,1168055.18413,1106459.4279,1129178.18626,1232237.45144,1322973.07609,1223543.07991,1241761.00696,1368162.66228,1462640.15464,1325206.77959,1320653.85789,1447326.78563,1538191.0,1370213.75424,1353630.3014,1506208.88049,1583610.90358
"GFCE",73582.0170127,80525.012547,82553.083589,117857.886851,75362.1806079,94142.1614031,100130.557354,116372.100635,105841.730202,80921.0496749,95676.4961235,118139.724,105445.772094,90880.9977686,99623.5262829,142968.703854,103501.282567,92465.07094,149885.996871,138606.649621,119024.0,115886.0,160412.0,156381.0,129868.319675,125732.23603,164954.762061,163797.682234,140749.341848,139195.798882,178362.438046,176252.421224,150860.432579,148795.64554,182198.418175,177381.402817
"PFCE",452848.967241,447004.00075,523869.810359,493785.22165,497297.534313,487991.736226,564787.803596,533232.377765,533481.223024,542216.862694,607361.448465,576832.776549,581044.848752,587299.041859,668885.411349,634167.848752,639466.450894,632933.352406,711280.903409,665929.574675,681427.312643,690167.219194,761778.899914,711929.642938,753058.372792,760342.14763,814070.951334,761408.849484,802762.488651,808518.50319,888613.135676,835006.304496,837194.783304,837130.004271,925543.704849,866854.218521
