-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Temporary Diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,2,5,7,14,23,37,6,0,6
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,3,0,3,184,0,184,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,3,1,4,4,1,5,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,2,2,4,672,348,1020,631,299,931
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,1,0,1,4,0,4,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,1,0,1,61,0,61,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,0,1,23,0,23,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,2,0,2,25,0,25,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,8,0,8,22,0,22,22,0,22
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,1,0,1,4,0,4,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,1,0,1,77,0,77,0,0,0
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,5,0,5,52,0,52,38,0,38
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,1,0,1,63,0,63,0,0,0
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,IRALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,K V P PURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,7,0,7,23,0,23,0,0,0
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,0,0,0,0,0,0,0
