-----
{
 "description": "This table shows the Operations of Road Transport in India  for the years 1950-51, 1960-61, 1970-71, 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and 2011-12. It gives details regarding various operational parameters such as Length of roads, Length of national highways, Length of ...", 
 "file_name": "tab127.xls", 
 "title": "Download XLS for Operations of Road Transport(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab127.xls"
}
-----
"1.27 OPERATIONS OF ROAD TRANSPORT","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","1950-51","1960-61","1970-71","1980-81","1990-91","2000-01","2008-09","2009-10","2010-11","2011-12"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
"1. Length of roads","(Thousand km)","","","","","","","","","",""
"    Total a","",399.9,524.5,914.9,1485.4,2327.4,3373.5,4471.5,4582.4,4690.3,"na"
"     Surfaced","",157.0,263.0,398.0,684.0,1091.0,1601.7,2324.5,2432.8,2524.7,"na"
"2. Length of national highways","(Thousand km)","","","","","","","","","",""
"     Total","",19.8,23.8,23.8,31.7,33.7,57.7,70.5,70.9,70.9,"na"
"     Surfaced","","NA",21.0,23.3,31.5,33.4,57.7,70.5,70.9,70.9,"na"
"3. Length of state highways","(Thousand km)","","","","","","","","","",""
"     Total","","NA","na",56.8,94.4,127.3,132.1,158.5,160.2,163.9,"na"
"     Surfaced","","NA","na",51.7,90.3,124.8,129.9,156.7,158.2,161.9,"na"
"4. Number of registered vehicles ","(Thousand)","","","","","","","","","",""
"     All vehicles","",306.0,665.0,1865.0,5391.0,21374.0,54991.0,114951.0,127746.0,141866.0,"na"
"     Goods vehicles","",82.0,168.0,343.0,554.0,1356.0,2948.0,6041.0,6432.0,7064.0,"na"
"     Buses","",34.0,57.0,94.0,162.0,331.0,634.0,1486.0,1527.0,1604.0,"na"
"5. Revenue from road transport ","(Rs. crore)","","","","","","","","","",""
"     Central","",34.8,111.7,451.8,930.9,4596.0,23861.0,"","","",""
"     States","",12.6,55.2,231.4,750.4,3259.6,12901.7,53098.0,48386.9,75453.2,75572.5
"Source : Department of Road Transport & Highways.","","","","","","","",34241.0,39512.6,45992.4,53577.3
"a:  Includes roads constructed under the Pradhan Mantri Gram Sadak Yojana (PMGSY) since December 2000 and erstwhile Jawahar Rozgar Yojana (JRY) of the 1990s.","","","","","","","","","","",""
"   na: – Not Available.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Sources: National Highways - Roads Wing, Ministry of Road Transport & Highways","","","","","","","","","","",""
"             : State Highways – State Public Works Departments","","","","","","","","","","",""
"             : Registered Vehicles – Office of the State Transport Commissioners","","","","","","","","","","",""
"             : Revenue from Road Transport (Central) – Directorate of Data Management, Central Excise and Customs.","","","","","","","","","","",""
"             : Revenue from Road Transport (States) – State Finances- A Study of Budgets 2007-08 by RBI and its earlier issues.","","","","","","","","","","",""
